[IRV | KN | NT | Galatians | Chapter 4 | Verse 1] ಆದರೆ ನಾನು ಹೇಳುವುದೇನಂದರೆ, ವಾರಸುದಾರನು, ತಾನು ಆಸ್ತಿಗೆಲ್ಲಾ ಒಡೆಯನಾಗಿದ್ದರೂ ಬಾಲಕನಾಗಿರುವ ತನಕ ದಾಸನಂತೆಯೇ ಇರುವನು.
[IRV | KN | NT | Galatians | Chapter 4 | Verse 2] ತಂದೆಯು ಗೊತ್ತುಮಾಡಿದ ಸಮಯದವರೆಗೂ ಪಾಲಕರ ಮತ್ತು ಕಾರ್ಯನಿರ್ವಾಹಕರ ಅಧೀನದಲ್ಲಿರುವನು.
[IRV | KN | NT | Galatians | Chapter 4 | Verse 3] ಹಾಗೆಯೇ ನಾವು ಸಹ ಬಾಲಕರಾಗಿದ್ದಾಗ ಲೋಕದ ಮೂಲತತ್ವಗಳಿಗೆ ಅಧೀನರಾಗಿದ್ದೆವು.
[IRV | KN | NT | Galatians | Chapter 4 | Verse 4] ಆದರೆ ಸೂಕ್ತಸಮಯ ಬಂದಾಗ ದೇವರು ತನ್ನ ಮಗನನ್ನು ಕಳುಹಿಸಿಕೊಟ್ಟನು. ಧರ್ಮಶಾಸ್ತ್ರಕ್ಕೆ ಅಧೀನರಾದವರನ್ನು ಬಿಡಿಸಬೇಕೆಂತಲೂ, ಪುತ್ರರ ಬಾಧ್ಯತೆಯ ಪದವಿಯನ್ನು ನಮಗೆ ದೊರಕಿಸಿಕೊಡಬೇಕೆಂತಲೂ ಆತನು ಸ್ತ್ರೀಯಲ್ಲಿ ಹುಟ್ಟಿದವನಾಗಿಯೂ, ಧರ್ಮಶಾಸ್ತ್ರಾಧೀನನಾಗಿಯೂ ಬಂದನು.
[IRV | KN | NT | Galatians | Chapter 4 | Verse 5] <range>
[IRV | KN | NT | Galatians | Chapter 4 | Verse 6] ನೀವು ಪುತ್ರರಾಗಿರುವುದರಿಂದ ದೇವರು, “ಅಪ್ಪಾ ತಂದೆಯೇ” ಎಂದು ಕೂಗುವ ತನ್ನ ಮಗನ ಆತ್ಮನನ್ನು ನಮ್ಮ ಹೃದಯಗಳಲ್ಲಿ ಕಳುಹಿಸಿಕೊಟ್ಟನು.
[IRV | KN | NT | Galatians | Chapter 4 | Verse 7] ಹೀಗಿರುವಲ್ಲಿ ಇನ್ನು ನೀನು ಸೇವಕನಲ್ಲ, ಮಗನಾಗಿದ್ದೀ. ಮಗನೆಂದ ಮೇಲೆ ದೇವರ ಮೂಲಕ ವಾರಸುದಾರನು ಆಗಿದ್ದೀ.
[IRV | KN | NT | Galatians | Chapter 4 | Verse 8] ಹಿಂದೆ ನೀವು ದೇವರನ್ನು ಅರಿಯದೆ, ಸ್ವಾಭಾವಿಕವಾಗಿ ದೇವರಲ್ಲದವರುಗಳಿಗೆ ದಾಸರಾಗಿದ್ದೀರಿ.
[IRV | KN | NT | Galatians | Chapter 4 | Verse 9] ಈಗಲಾದರೋ ನೀವು ದೇವರನ್ನು ತಿಳಿದುಕೊಂಡಿದ್ದೀರಿ, ಅಥವಾ ದೇವರು ನಿಮ್ಮನ್ನು ತಿಳಿದುಕೊಂಡಿದ್ದಾನೆ. ಹೀಗಿರಲಾಗಿ ನೀವು ಬಲವಿಲ್ಲದ, ಕೆಲಸಕ್ಕೆ ಬಾರದ, ದರಿದ್ರವಾದ ಮೂಲತತ್ವಗಳಿಗೆ ಹಿಂತಿರುಗಿ ಅದಕ್ಕೆ ದಾಸರಾಗುವುದಕ್ಕೆ ಏಕೆ ಬಯಸುತ್ತೀರಿ?
[IRV | KN | NT | Galatians | Chapter 4 | Verse 10] ನೀವು ಆಯಾ ದಿನಗಳನ್ನೂ, ತಿಂಗಳುಗಳನ್ನೂ, ಕಾಲಗಳನ್ನೂ, ಸಂವತ್ಸರಗಳನ್ನೂ ನಿಷ್ಠೆಯಿಂದ ಆಚರಿಸಿದ್ದೀರಿ.
[IRV | KN | NT | Galatians | Chapter 4 | Verse 11] ನಾನು ನಿಮಗೋಸ್ಕರ ಪ್ರಯಾಸಪಟ್ಟದ್ದು ನಿಷ್ಫಲವಾಯಿತೋ ಏನೋ ಎಂದು ನಿಮ್ಮ ಕುರಿತು ಭಯಪಡುತ್ತೇನೆ.
