[IRV | KN | NT | Galatians | Chapter 6 | Verse 1] ಸಹೋದರರೇ, ನಿಮ್ಮಲ್ಲಿ ಯಾರಾದರೂ ಯಾವುದಾದರೂ ಪಾಪದಲ್ಲಿ ಸಿಕ್ಕಿಹಾಕಿಕೊಂಡಿದ್ದರೆ ಅಂಥವರನ್ನು ಆತ್ಮಭರಿತರಾದ ನೀವು ಶಾಂತಭಾವದಿಂದ ತಿದ್ದಿ ಸರಿಮಾಡಿರಿ. ನೀವಾದರೂ ಶೋಧನೆಗೆ ಒಳಗಾಗದಂತೆ ನಿಮ್ಮ ವಿಷಯದಲ್ಲಿ ಎಚ್ಚರಿಕೆಯಾಗಿರಿ.
[IRV | KN | NT | Galatians | Chapter 6 | Verse 2] ಒಬ್ಬರು ಮತ್ತೊಬ್ಬರ ಭಾರವನ್ನು ಹೊತ್ತುಕೊಳ್ಳಲಿ, ಹೀಗೆ ಕ್ರಿಸ್ತನ ನೀತಿನಿಯಮಗಳನ್ನು ನೆರವೇರಿಸಿರಿ.
[IRV | KN | NT | Galatians | Chapter 6 | Verse 3] ಯಾವನಾದರೂ ಅಲ್ಪನಾಗಿದ್ದು ತಾನು ದೊಡ್ಡವನೆಂದು ಭಾವಿಸಿಕೊಂಡರೆ ತನ್ನನ್ನು ತಾನೇ ಮೋಸಗೊಳಿಸಿಕೊಳ್ಳುವನಾಗಿದ್ದಾನೆ.
[IRV | KN | NT | Galatians | Chapter 6 | Verse 4] ಪ್ರತಿಯೊಬ್ಬನು ತಾನು ಮಾಡಿದ ಕೆಲಸವನ್ನು ಪರೀಕ್ಷಿಸಿಕೊಳ್ಳಲಿ. ಆಗ ಅವನು ತನ್ನ ನಿಮಿತ್ತದಿಂದ ಹೆಚ್ಚಳಪಡಬಹುದೇ ಹೊರತು ಮತ್ತೊಬ್ಬನೊಂದಿಗೆ ಹೋಲಿಸಿಕೊಂಡು ಹೆಚ್ಚಳಪಡಬೇಕಾಗಿರುವುದಿಲ್ಲ.
[IRV | KN | NT | Galatians | Chapter 6 | Verse 5] ಏಕೆಂದರೆ ಪ್ರತಿಯೊಬ್ಬನು ತನ್ನ ಸ್ವಂತ ಹೊರೆಯನ್ನು ತಾನೇ ಹೊತ್ತುಕೊಳ್ಳಬೇಕು.
[IRV | KN | NT | Galatians | Chapter 6 | Verse 6] ದೇವರ ವಾಕ್ಯವನ್ನು ಕಲಿಯುವವನು, ಅದನ್ನು ಕಲಿಸುವವನಿಗೆ ತನ್ನಲ್ಲಿರುವ ಎಲ್ಲಾ ಮೇಲುಗಳಲ್ಲಿಯೂ ಪಾಲನ್ನು ಕೊಡಬೇಕು.
[IRV | KN | NT | Galatians | Chapter 6 | Verse 7] ಮೋಸಹೋಗಬೇಡಿರಿ. ದೇವರನ್ನು ಅಪಹಾಸ್ಯ ಮಾಡಲಾಗುವುದಿಲ್ಲ. ಮನುಷ್ಯನು ತಾನು ಏನು ಬಿತ್ತುತ್ತಾನೋ ಅದನ್ನೇ ಕೊಯ್ಯಬೇಕು.
[IRV | KN | NT | Galatians | Chapter 6 | Verse 8] ತನ್ನ ಶರೀರಭಾವವನ್ನು ಕುರಿತು ಬಿತ್ತುವವನು ಆ ಭಾವದಿಂದ ನಾಶವನ್ನು ಕೊಯ್ಯುವನು. ಆತ್ಮನ ಕುರಿತಾಗಿ ಬಿತ್ತುವವನು ಆತ್ಮನಿಂದ ನಿತ್ಯಜೀವವನ್ನು ಕೊಯ್ಯುವನು.
[IRV | KN | NT | Galatians | Chapter 6 | Verse 9] ಒಳ್ಳೆಯದನ್ನು ಮಾಡುವುದರಲ್ಲಿ ಬೇಸರಗೊಳ್ಳದೇ ಇರೋಣ. ಏಕೆಂದರೆ ಮನಗುಂದದಿದ್ದರೆ ತಕ್ಕ ಸಮಯದಲ್ಲಿ ಬೆಳೆಯನ್ನು ಕೊಯ್ಯುವೆವು.
[IRV | KN | NT | Galatians | Chapter 6 | Verse 10] ಆದ್ದರಿಂದ ಅವಕಾಶ ಸಿಕ್ಕಿದಾಗಲೆಲ್ಲಾ ಎಲ್ಲರಿಗೂ ಒಳ್ಳೆಯದನ್ನು ಮಾಡೋಣ, ವಿಶೇಷವಾಗಿ ಒಂದೇ ಮನೆಯವರಂತಿರುವ ಕ್ರೈಸ್ತ ವಿಶ್ವಾಸಿಗಳಿಗೆ ಮಾಡೋಣ.
[IRV | KN | NT | Galatians | Chapter 6 | Verse 11] ಇಗೋ ನೋಡಿರಿ, ಸ್ವಂತ ಕೈಯಿಂದ ಎಂಥಾ ದೊಡ್ಡ ಅಕ್ಷರಗಳಲ್ಲಿ ನಿಮಗೆ ಬರೆಯುತ್ತಾ ಇದ್ದೇನೆ.
[IRV | KN | NT | Galatians | Chapter 6 | Verse 12] ದೈಹಿಕವಾಗಿ ಪ್ರಶಂಸೆಯನ್ನು ಹೊಂದಬೇಕೆಂದಿರುವವರು ಸುನ್ನತಿ ಮಾಡಿಸಿಕೊಳ್ಳಿರಿ ಎಂಬುದಾಗಿ ನಿಮ್ಮನ್ನು ಒತ್ತಾಯಿಸುತ್ತಾರೆ. ಏಕೆಂದರೆ ಕ್ರಿಸ್ತನ ಶಿಲುಬೆಯ ದೆಸೆಯಿಂದ ತಮಗೆ ಹಿಂಸೆಯಾಗಬಾರದೆಂಬುದೇ ಅವರ ಉದ್ದೇಶ.
[IRV | KN | NT | Galatians | Chapter 6 | Verse 13] ಸುನ್ನತಿ ಮಾಡಿಸಿಕೊಂಡವರೇ ಧರ್ಮಶಾಸ್ತ್ರವನ್ನು ಕೈಕೊಂಡು ನಡೆಯುತ್ತಿಲ್ಲವಲ್ಲಾ. ಅವರು ನಿಮ್ಮ ಶರೀರದ ವಿಷಯದಲ್ಲಿ ಹೆಚ್ಚಳಪಡುವುದಕ್ಕಾಗಿ ನಿಮಗೆ ಸುನ್ನತಿಯಾಗಬೇಕೆಂದು ಅಪೇಕ್ಷಿಸುತ್ತಾರೆ.
[IRV | KN | NT | Galatians | Chapter 6 | Verse 14] ನನಗಾದರೋ ನಮ್ಮ ಕರ್ತನಾದ ಯೇಸು ಕ್ರಿಸ್ತನ ಶಿಲುಬೆಯ ವಿಷಯದಲ್ಲಿಯೇ ಹೊರತು ಬೇರೆ ಯಾವ ವಿಷಯದಲ್ಲಿಯೂ ಹೆಚ್ಚಳಪಡುವುದು ಬೇಕಾಗಿಲ್ಲ. ಆತನ ಮೂಲಕ ನಾನು ಲೋಕಕ್ಕೂ, ಲೋಕವು ನನಗಾಗಿಯೂ ಶಿಲುಬೆಗೆ ಹಾಕಿಕೊಂಡು ಸತ್ತಿತು.
[IRV | KN | NT | Galatians | Chapter 6 | Verse 15] ಸುನ್ನತಿ ಮಾಡಿಸಿಕೊಳ್ಳುವುದೋ ಅಥವಾ ಮಾಡಿಸಿಕೊಳ್ಳದಿರುವುದೋ ಏನು ಅಲ್ಲ, ಆದರೆ ಹೊಸ ಸೃಷ್ಟಿಯಾಗುವುದೇ ಪ್ರಮುಖವಾದುದು.
[IRV | KN | NT | Galatians | Chapter 6 | Verse 16] ಈ ನಿಯಮಗಳನ್ನು ಸರಿಯಾಗಿ ನಡೆಯುವವರೆಲ್ಲರಿಗೂ ಮತ್ತು ದೇವರ ಇಸ್ರಾಯೇಲ್ಯರಿಗೆ ಶಾಂತಿಯೂ, ಕರುಣೆಯೂ ಉಂಟಾಗಲಿ.
[IRV | KN | NT | Galatians | Chapter 6 | Verse 17] ಇನ್ನು ಮೇಲೆ ಯಾರೂ ನನಗೆ ತೊಂದರೆಪಡಿಸಬಾರದು, ನನ್ನ ದೇಹದಲ್ಲಿ ಯೇಸುಕ್ರಿಸ್ತನ ಗುರುತುಗಳನ್ನು ಮುದ್ರಿಸಿಕೊಂಡಿದ್ದೇನೆ.
[IRV | KN | NT | Galatians | Chapter 6 | Verse 18] ಸಹೋದರರೇ, ನಮ್ಮ ಕರ್ತನಾದ ಯೇಸು ಕ್ರಿಸ್ತನ ಕೃಪೆಯು ನಿಮ್ಮ ಆತ್ಮದೊಂದಿಗಿರಲಿ. ಆಮೆನ್.
