[IRV | KN | OT | Psalms | Chapter 38 | Verse 1] ಯೆಹೋವನೇ, ಕೋಪದಿಂದ ನನ್ನನ್ನು ಶಿಕ್ಷಿಸಬೇಡ; ರೋಷದಿಂದ ನನ್ನನ್ನು ದಂಡಿಸಬೇಡ.
[IRV | KN | OT | Psalms | Chapter 38 | Verse 2] ನಿನ್ನ ಬಾಣಗಳು ನನ್ನೊಳಗೆ ಹೊಕ್ಕಿವೆ; ನಿನ್ನ ಶಿಕ್ಷಾಹಸ್ತವು ನನ್ನ ಮೇಲೆ ಭಾರವಾಗಿದೆ.
[IRV | KN | OT | Psalms | Chapter 38 | Verse 3] ನಿನ್ನ ಸಿಟ್ಟಿನಿಂದ ನನ್ನ ಶರೀರದಲ್ಲಿ ಸ್ವಸ್ಥತೆ ತಪ್ಪಿ ಹೋಗಿದೆ; ನನ್ನ ಪಾಪದಿಂದ ನನ್ನ ಎಲುಬುಗಳಲ್ಲಿ ಸ್ವಲ್ಪವೂ ಕ್ಷೇಮವಿಲ್ಲ.
[IRV | KN | OT | Psalms | Chapter 38 | Verse 4] ನನ್ನ ಅಪರಾಧಗಳು ನನ್ನನ್ನು ಮುಳುಗಿಸಿಬಿಟ್ಟಿವೆ; ಅವು ಹೊರಲಾರದಷ್ಟು ಭಾರವಾದ ಹೊರೆಯಂತಿವೆ.
[IRV | KN | OT | Psalms | Chapter 38 | Verse 5] ನನ್ನ ಮೂರ್ಖತನದ ಫಲವಾದ ಬಾಸುಂಡೆಗಳು, ಕೀವು ಸೋರಿ ದುರ್ವಾಸನೆಯಿಂದ ನಾರುತ್ತಿದೆ.
[IRV | KN | OT | Psalms | Chapter 38 | Verse 6] ನಾನು ಬಹಳವಾಗಿ ಬಾಗಿ ಕುಗ್ಗಿದ್ದೇನೆ; ಯಾವಾಗಲೂ ದುಃಖದಿಂದ ವಿಕಾರಿಯಾಗಿ ಅಲೆಯುತ್ತೇನೆ.
[IRV | KN | OT | Psalms | Chapter 38 | Verse 7] ನನ್ನ ಸೊಂಟಕ್ಕೆ ಉರಿಬಡಿದಂತಿದೆ; ನನ್ನ ದೇಹದಲ್ಲಿ ಸ್ವಲ್ಪವಾದರೂ ಕ್ಷೇಮವಿಲ್ಲ.
[IRV | KN | OT | Psalms | Chapter 38 | Verse 8] ನನಗೆ ಜೋಮುಹಿಡಿದಂತಿದೆ; ಬಹಳ ಮನಗುಂದಿದವನಾದೆನು. ಹೃದಯದ ಸಂಕಟದ ದೆಸೆಯಿಂದ ಅರಚಿಕೊಳ್ಳುತ್ತಾ ಇದ್ದೇನೆ.
[IRV | KN | OT | Psalms | Chapter 38 | Verse 9] ಕರ್ತನೇ, ನನ್ನ ಅಪೇಕ್ಷೆ ನಿನಗೆ ಗೊತ್ತುಂಟು; ನನ್ನ ನಿಟ್ಟುಸಿರು ನಿನಗೆ ಮರೆಯಾಗಿಲ್ಲ.
[IRV | KN | OT | Psalms | Chapter 38 | Verse 10] ನನ್ನ ಹೃದಯವು ಬಡಿದುಕೊಳ್ಳುತ್ತಿದೆ; ನನ್ನ ಚೈತನ್ಯವು ಕುಗ್ಗಿಹೋಯಿತು; ನನ್ನ ಕಣ್ಣುಗಳೂ ಮೊಬ್ಬಾಗಿ ಹೋದವು.
[IRV | KN | OT | Psalms | Chapter 38 | Verse 11] ನನ್ನ ಆಪ್ತಸ್ನೇಹಿತರು ಮತ್ತು ಜೊತೆಗಾರರು, ನನ್ನ ರೋಗವನ್ನು ನೋಡಿ ಓರೆಯಾಗಿ ಹೋಗುತ್ತಾರೆ; ನನ್ನ ಬಂಧುಗಳು ದೂರ ನಿಲ್ಲುತ್ತಾರೆ.
