[IRV | KN | OT | Psalms | Chapter 5 | Verse 1] ಯೆಹೋವನೇ ನನ್ನ ಮೊರೆಗೆ ಕಿವಿಗೊಡು; ನನ್ನ ನರಳಾಟವನ್ನು ಲಕ್ಷ್ಯಕ್ಕೆ ತಂದುಕೋ.
[IRV | KN | OT | Psalms | Chapter 5 | Verse 2] ನನ್ನ ಅರಸನೇ, ನನ್ನ ದೇವರೇ, ನಿನ್ನನ್ನೇ ಪ್ರಾರ್ಥಿಸುವೆನು; ನನ್ನ ಮೊರೆಯನ್ನು ಆಲಿಸು.
[IRV | KN | OT | Psalms | Chapter 5 | Verse 3] ಯೆಹೋವನೇ, ಉದಯಕಾಲದಲ್ಲಿ ನನ್ನ ಸ್ವರವು ನಿನಗೆ ಕೇಳಿಸುವುದು; ಉದಯಕಾಲದಲ್ಲಿಯೇ ನನ್ನ ಪ್ರಾರ್ಥನೆಯನ್ನು ನಿನಗೆ ಸಮರ್ಪಿಸಿ, ನಿನ್ನಿಂದ ಸದುತ್ತರವನ್ನು ಎದುರುನೋಡುತ್ತಿರುವೆನು.
[IRV | KN | OT | Psalms | Chapter 5 | Verse 4] ನೀನು ದುಷ್ಟತ್ವದಲ್ಲಿ ಸಂತೋಷಿಸುವ ದೇವರಲ್ಲ; ಕೆಟ್ಟದ್ದು ನಿನ್ನ ಬಳಿಯಲ್ಲಿ ತಂಗಲಾರದು.
[IRV | KN | OT | Psalms | Chapter 5 | Verse 5] ಸೊಕ್ಕಿನವರು ನಿನ್ನ ಸನ್ನಿಧಿಯಲ್ಲಿ ನಿಲ್ಲಲಾರರು; ಅಧರ್ಮಿಗಳೆಲ್ಲರನ್ನು ನೀನು ಹಗೆಮಾಡುವಿ.
[IRV | KN | OT | Psalms | Chapter 5 | Verse 6] ಸುಳ್ಳು ಹೇಳುವವರನ್ನು ನಾಶಮಾಡುವಿ; ಯೆಹೋವನೇ, ನರಹತ್ಯ ಮಾಡುವವರು ಮತ್ತು ಕಪಟಿಗಳು ನಿನಗೆ ಅಸಹ್ಯರಾಗಿದ್ದಾರೆ.
[IRV | KN | OT | Psalms | Chapter 5 | Verse 7] ನಾನಂತು ನಿನ್ನ ಮಹಾಕೃಪೆಯನ್ನು ಹೊಂದಿದವನಾಗಿ ನಿನ್ನ ಮಂದಿರದೊಳಕ್ಕೆ ಪ್ರವೇಶಿಸುವೆನು; ನಿನ್ನಲ್ಲಿಯೇ ಭಯಭಕ್ತಿಯುಳ್ಳವನಾಗಿ, ನಿನ್ನ ಪರಿಶುದ್ಧ ಆಲಯದ ಕಡೆಗೆ ಅಡ್ಡಬೀಳುವೆನು.
[IRV | KN | OT | Psalms | Chapter 5 | Verse 8] ಯೆಹೋವನೇ, ವಿರೋಧಿಗಳು ನನಗೆ ಕೇಡನ್ನೇ ಹಾರೈಸುತ್ತಿರುವುದರಿಂದ ನಿನ್ನ ನೀತಿಗೆ ಸರಿಯಾಗಿ ನನ್ನನ್ನು ನಡೆಸು; ನನ್ನ ಮುಂದೆ ನಿನ್ನ ಮಾರ್ಗವನ್ನು ಸರಾಗಮಾಡು.
[IRV | KN | OT | Psalms | Chapter 5 | Verse 9] ಅವರ ಬಾಯಲ್ಲಿ ಯಥಾರ್ಥತ್ವವಿಲ್ಲ; ಅವರು ನಾಲಿಗೆಯಿಂದ ಸವಿಮಾತನಾಡಿದರೂ, ಅವರ ಹೃದಯವು ನಾಶಕರವಾದ ಗುಂಡಿ, ಅವರ ಗಂಟಲು ತೆರೆದಿರುವ ಸಮಾಧಿ.
[IRV | KN | OT | Psalms | Chapter 5 | Verse 10] ದೇವರೇ, ಅವರು ನಿನಗೆ ವಿರುದ್ಧವಾಗಿ ತಿರುಗಿಬಿದ್ದವರು; ಆದುದರಿಂದ ಅವರನ್ನು ಅಪರಾಧಿಗಳೆಂದು ನಿರ್ಣಯಿಸು; ಅವರು ತಮ್ಮ ಕುಯುಕ್ತಿಯಿಂದಲೇ ಮೋಸ ಹೋಗಲಿ; ಅವರ ದ್ರೋಹವು ಅಪಾರವಾಗಿರುವುದರಿಂದ ಅವರನ್ನು ತಳ್ಳಿಬಿಡು.
[IRV | KN | OT | Psalms | Chapter 5 | Verse 11] ನಿನ್ನನ್ನು ಮೊರೆಹೊಕ್ಕವರೆಲ್ಲರು ನಿನ್ನಲ್ಲಿ ಸಂತೋಷಪಡುವರು; ನೀನು ಕಾಪಾಡುವವನೆಂದು ಅವರು ಯಾವಾಗಲೂ ಆನಂದ ಧ್ವನಿಮಾಡುವರು. ನಿನ್ನ ನಾಮವನ್ನು ಪ್ರೀತಿಸುವವರು ನಿನ್ನಲ್ಲಿ ಉಲ್ಲಾಸಗೊಳ್ಳುವರು.
[IRV | KN | OT | Psalms | Chapter 5 | Verse 12] ಯೆಹೋವನೇ, ನೀತಿವಂತನನ್ನು ಆಶೀರ್ವದಿಸುವವನು ನೀನೇ; ನಿನ್ನ ದಯವು ದೊಡ್ಡ ಗುರಾಣಿಯಂತೆ ಅವನನ್ನು ಆವರಿಸಿಕೊಳ್ಳುವುದು.
