[IRV | KN | OT | Psalms | Chapter 29 | Verse 1] ದೇವದೂತರುಗಳಿರಾ, ಪರಮಪ್ರಭಾವವು, ಯೆಹೋವನದೇ, ಯೆಹೋವನದೇ ಎಂದು ಹೇಳಿ ಕೊಂಡಾಡಿರಿ.
[IRV | KN | OT | Psalms | Chapter 29 | Verse 2] ಯೆಹೋವನ ನಾಮಕ್ಕೆ ಯೋಗ್ಯವಾದ ಘನತೆಯನ್ನು ಸಲ್ಲಿಸಿರಿ; ಪರಿಶುದ್ಧತ್ವವೆಂಬ ಭೂಷಣದೊಡನೆ ಯೆಹೋವನಿಗೆ ಅಡ್ಡಬೀಳಿರಿ.
[IRV | KN | OT | Psalms | Chapter 29 | Verse 3] ಯೆಹೋವನ ಮಹಾಧ್ವನಿಯು ಮೇಘಮಂಡಲದಲ್ಲಿ ಕೇಳಿಸುತ್ತದೆ; ಪ್ರಭಾವಸ್ವರೂಪನಾದ ದೇವರು ಗುಡುಗುತ್ತಾನೆ; ಯೆಹೋವನು ಆಕಾಶದ ಜಲರಾಶಿಗಳ ಮೇಲೆ ಇದ್ದಾನೆ.
[IRV | KN | OT | Psalms | Chapter 29 | Verse 4] ಯೆಹೋವನ ಧ್ವನಿಯು ಎಷ್ಟೋ ಬಲವುಳ್ಳದ್ದು, ಎಷ್ಟೋ ಗಂಭೀರವಾದದ್ದು.
[IRV | KN | OT | Psalms | Chapter 29 | Verse 5] ಯೆಹೋವನ ಗರ್ಜನೆಗೆ ದೇವದಾರು ವೃಕ್ಷಗಳು ದಡಲ್ ಎಂದು ಮುರಿದು ಬೀಳುತ್ತವೆ; ಯೆಹೋವನು ಲೆಬನೋನ್ ಪರ್ವತದಲ್ಲಿನ ಮಹಾದೇವದಾರುಗಳನ್ನೂ ಮುರಿದುಬಿಡುತ್ತಾನೆ.
[IRV | KN | OT | Psalms | Chapter 29 | Verse 6] ಲೆಬನೋನ್ ಪರ್ವತವು ಕರುವಿನೋಪಾದಿಯಲ್ಲಿಯೂ, ಸಿರ್ಯೋನ್ ಬೆಟ್ಟವು ಕಾಡುಕೋಣದ ಮರಿಯಂತೆಯೂ ಹಾರಾಡುವ ಹಾಗೆ ಮಾಡುತ್ತಾನೆ.
[IRV | KN | OT | Psalms | Chapter 29 | Verse 7] ಯೆಹೋವನ ಗರ್ಜನೆಗೆ ಮಿಂಚುಗಳು ಥಳಥಳನೆ ಹೊಳೆಯುತ್ತವೆ.
[IRV | KN | OT | Psalms | Chapter 29 | Verse 8] ಯೆಹೋವನ ಗರ್ಜನೆಗೆ ಕಾಡು ಹೊರಳಾಡುತ್ತದೆ; ಕಾದೇಶ್ ಅರಣ್ಯವು ಕಂಪಿಸುತ್ತದೆ.
[IRV | KN | OT | Psalms | Chapter 29 | Verse 9] ಯೆಹೋವನ ಗರ್ಜನೆಯು ದೇವದಾರು ಮರಗಳನ್ನು ಕದಲಿಸುತ್ತದೆ; ಕಾಡಿನ ಮರಗಳು ಬರಿದಾಗುತ್ತವೆ. ಆಗ ಆತನ ಮಂದಿರದಲ್ಲಿರುವವರೆಲ್ಲರು, “ಎಷ್ಟೋ ಪ್ರಭಾವ!” ಎನ್ನುತ್ತಾರೆ.
[IRV | KN | OT | Psalms | Chapter 29 | Verse 10] ಯೆಹೋವನು ಜಲಪ್ರಳಯದಲ್ಲಿ ಆಸೀನನಾಗಿರುವನು; ಆತನು ಸದಾಕಾಲವೂ ಅರಸನಾಗಿ ಕುಳಿತಿರುವನು.
[IRV | KN | OT | Psalms | Chapter 29 | Verse 11] ಯೆಹೋವನು ತನ್ನ ಜನರಿಗೆ ಬಲವನ್ನು ಅನುಗ್ರಹಿಸುವನು; ಆತನು ತನ್ನ ಪ್ರಜೆಗೆ ಸುಕ್ಷೇಮವನ್ನು ದಯಪಾಲಿಸುವನು.
