[IRV | KN | OT | Psalms | Chapter 136 | Verse 1] ಯೆಹೋವನಿಗೆ ಕೃತಜ್ಞತಾಸ್ತುತಿ ಮಾಡಿರಿ, ಆತನು ಒಳ್ಳೆಯವನು. ಆತನ ಪ್ರೀತಿಯು ಶಾಶ್ವತವಾದದ್ದು.
[IRV | KN | OT | Psalms | Chapter 136 | Verse 2] ದೇವಾಧಿದೇವನಿಗೆ ಕೃತಜ್ಞತಾಸ್ತುತಿ ಮಾಡಿರಿ, ಆತನ ಪ್ರೀತಿಯು ಶಾಶ್ವತವಾದದ್ದು.
[IRV | KN | OT | Psalms | Chapter 136 | Verse 3] ಕರ್ತರ ಕರ್ತನಿಗೆ ಕೃತಜ್ಞತಾಸ್ತುತಿ ಮಾಡಿರಿ, ಆತನ ಪ್ರೀತಿಯು ಶಾಶ್ವತವಾದದ್ದು.
[IRV | KN | OT | Psalms | Chapter 136 | Verse 4] ಮಹತ್ಕಾರ್ಯಗಳನ್ನು ನಡೆಸುವುದಕ್ಕೆ ಆತನೊಬ್ಬನೇ ಶಕ್ತನು, ಆತನ ಪ್ರೀತಿಯು ಶಾಶ್ವತವಾದದ್ದು.
[IRV | KN | OT | Psalms | Chapter 136 | Verse 5] ಆತನು ಆಕಾಶವನ್ನು ಜ್ಞಾನದಿಂದ ನಿರ್ಮಿಸಿದ್ದಾನೆ, ಆತನ ಪ್ರೀತಿಯು ಶಾಶ್ವತವಾದದ್ದು.
[IRV | KN | OT | Psalms | Chapter 136 | Verse 6] ಆತನು ಭೂಮಿಯನ್ನು ಜಲರಾಶಿಗಳ ಮೇಲೆ ಹಾಸಿದ್ದಾನೆ, ಆತನ ಪ್ರೀತಿಯು ಶಾಶ್ವತವಾದದ್ದು.
[IRV | KN | OT | Psalms | Chapter 136 | Verse 7] ಆತನು ಮಹಾ ಜ್ಯೋತಿರ್ಮಂಡಲಗಳನ್ನು ಸೃಷ್ಟಿಸಿದ್ದಾನೆ, ಆತನ ಪ್ರೀತಿಯು ಶಾಶ್ವತವಾದದ್ದು.
[IRV | KN | OT | Psalms | Chapter 136 | Verse 8] ಸೂರ್ಯನು ಹಗಲನ್ನು ಆಳುತ್ತಾನೆ, ಆತನ ಪ್ರೀತಿಯು ಶಾಶ್ವತವಾದದ್ದು.
[IRV | KN | OT | Psalms | Chapter 136 | Verse 9] ಚಂದ್ರ, ನಕ್ಷತ್ರಗಳು ರಾತ್ರಿಯನ್ನು ಆಳುತ್ತವೆ, ಆತನ ಪ್ರೀತಿಯು ಶಾಶ್ವತವಾದದ್ದು.
[IRV | KN | OT | Psalms | Chapter 136 | Verse 10] ಆತನು ಐಗುಪ್ತ್ಯರ ಚೊಚ್ಚಲ ಮಕ್ಕಳನ್ನು ಸಂಹರಿಸಿದನು, ಆತನ ಪ್ರೀತಿಯು ಶಾಶ್ವತವಾದದ್ದು.
[IRV | KN | OT | Psalms | Chapter 136 | Verse 11] ಇಸ್ರಾಯೇಲರನ್ನು ಅವರ ಮಧ್ಯದಿಂದ ಹೊರಗೆ ತಂದನು, ಆತನ ಪ್ರೀತಿಯು ಶಾಶ್ವತವಾದದ್ದು.
