[IRV | KN | OT | Psalms | Chapter 22 | Verse 1] ನನ್ನ ದೇವರೇ, ನನ್ನ ದೇವರೇ, ಏಕೆ ನನ್ನನ್ನು ಕೈಬಿಟ್ಟಿದ್ದೀ? ನೀನು ಏಕೆ ನನಗೆ ಸಹಾಯಮಾಡದೆಯೂ, ನನ್ನ ಕೂಗನ್ನು ಕೇಳದೆಯೂ ದೂರವಾಗಿದ್ದೀ?
[IRV | KN | OT | Psalms | Chapter 22 | Verse 2] ನನ್ನ ದೇವರೇ, ಹಗಲಿನಲ್ಲಿ ಮೊರೆಯಿಡುತ್ತೇನೆ; ಪ್ರತ್ಯುತ್ತರವೇ ಇಲ್ಲ; ರಾತ್ರಿಯಲ್ಲಿಯೂ ನನಗೆ ಉಪಶಮನವಿಲ್ಲ.
[IRV | KN | OT | Psalms | Chapter 22 | Verse 3] ಇಸ್ರಾಯೇಲರ ಸ್ತೋತ್ರಸಿಂಹಾಸನದಲ್ಲಿ ಇರುವಾತನೇ, ನೀನು ಪವಿತ್ರಸ್ವರೂಪನು.
[IRV | KN | OT | Psalms | Chapter 22 | Verse 4] ನಮ್ಮ ಪೂರ್ವಿಕರು ನಿನ್ನಲ್ಲಿ ಭರವಸವಿಟ್ಟರು; ನಿನ್ನನ್ನು ನಂಬಿ ಉದ್ಧಾರವಾದರು.
[IRV | KN | OT | Psalms | Chapter 22 | Verse 5] ನಿನಗೆ ಮೊರೆಯಿಟ್ಟು ವಿಮುಕ್ತರಾದರು; ನಿನ್ನಲ್ಲಿ ವಿಶ್ವಾಸವಿಟ್ಟು ಆಶಾಭಂಗಪಡಲಿಲ್ಲ.
[IRV | KN | OT | Psalms | Chapter 22 | Verse 6] ನಾನಾದರೋ ಹುಳದಂಥವನೇ ಹೊರತು ಮನುಷ್ಯನಲ್ಲ; ಮನುಷ್ಯರಿಂದ ನಿಂದಿಸಲ್ಪಟ್ಟು ಜನರಿಂದ ತಿರಸ್ಕಾರ ಹೊಂದಿದ್ದೇನೆ.
[IRV | KN | OT | Psalms | Chapter 22 | Verse 7] ನನ್ನನ್ನು ನೋಡುವವರೆಲ್ಲರೂ ಹಾಸ್ಯಮಾಡುತ್ತಾರೆ; ಅವರು ಓರೇ ತುಟಿ ಮಾಡಿ ತಲೆ ಆಡಿಸುತ್ತಾ,
[IRV | KN | OT | Psalms | Chapter 22 | Verse 8] “ಯೆಹೋವನು ತನ್ನನ್ನು ರಕ್ಷಿಸುವನೆಂದು ಆತನಲ್ಲಿ ಭರವಸವಿಟ್ಟಿದ್ದಾನಲ್ಲಾ; ಆತನು ಇವನನ್ನು ಮೆಚ್ಚಿದ್ದಾದರೆ ರಕ್ಷಿಸಲಿ” ಎಂದು ಹೇಳುತ್ತಾರೆ.
[IRV | KN | OT | Psalms | Chapter 22 | Verse 9] ತಾಯಿಯ ಗರ್ಭದೊಳಗಿಂದ ನನ್ನನ್ನು ಬರಮಾಡಿದವನು ನೀನೇ ಅಲ್ಲವೇ. ತಾಯಿಯ ಎದೆಯಲ್ಲಿ ನನ್ನನ್ನು ನಿಶ್ಚಿಂತೆಯಿಂದ ಇರಿಸಿದವನು ನೀನೇ ಅಲ್ಲವೇ.
[IRV | KN | OT | Psalms | Chapter 22 | Verse 10] ಹುಟ್ಟಿದಂದಿನಿಂದ ನೀನೇ ನನಗೆ ಆಧಾರ; ತಾಯಿ ಹೆತ್ತಂದಿನಿಂದ ನನ್ನ ದೇವರು ನೀನೇ.
[IRV | KN | OT | Psalms | Chapter 22 | Verse 11] ನನಗೀಗ ಕಷ್ಟವು ಪ್ರಾಪ್ತವಾಗಿದೆ; ಸಹಾಯಕರು ಯಾರೂ ಇಲ್ಲ, ದೂರವಾಗಿರಬೇಡ.
[IRV | KN | OT | Psalms | Chapter 22 | Verse 12] ಬಹಳ ಗೂಳಿಗಳು ನನ್ನನ್ನು ಸುತ್ತಿಕೊಂಡಿವೆ; ಬಾಷಾನಿನ ಬಲವುಳ್ಳ ಹೋರಿಗಳು ನನ್ನನ್ನು ಮುತ್ತಿಕೊಂಡಿವೆ.
[IRV | KN | OT | Psalms | Chapter 22 | Verse 13] ಅವರು ಗರ್ಜಿಸುವ ಉಗ್ರಸಿಂಹಗಳಂತೆ ನನ್ನನ್ನು ನುಂಗುವುದಕ್ಕೆ ಬಾಯಿ ತೆರೆದಿದ್ದಾರೆ.
[IRV | KN | OT | Psalms | Chapter 22 | Verse 14] ನಾನು ಹೊಯ್ಯಲ್ಪಟ್ಟ ನೀರಿನಂತಿದ್ದೇನೆ; ನನ್ನ ಎಲುಬುಗಳೆಲ್ಲಾ ಕೀಲು ತಪ್ಪಿದೆ. ನನ್ನ ಹೃದಯ ಮೇಣದಂತೆ ನನ್ನಲ್ಲಿ ಕರಗಿಹೋಗಿದೆ.
[IRV | KN | OT | Psalms | Chapter 22 | Verse 15] ನನ್ನ ಶಕ್ತಿಯು ಬೋಕಿಯ ಹಾಗೆ ಒಣಗಿಹೋಗಿದೆ; ನನ್ನ ನಾಲಿಗೆಯು ಬಾಯಿಯ ಅಂಗಳಕ್ಕೆ ಹತ್ತಿಹೋಗಿದೆ. ನೀನು ನನ್ನನ್ನು ಮಣ್ಣಿಗೆ ಸೇರಿಸುತ್ತೀ.
