[IRV | KN | OT | Psalms | Chapter 86 | Verse 1] ಯೆಹೋವನೇ, ಕಿವಿಗೊಡು; ನನಗೆ ಸದುತ್ತರವನ್ನು ದಯಪಾಲಿಸು; ಕುಗ್ಗಿದವನೂ, ದಿಕ್ಕಿಲ್ಲದವನೂ ಆಗಿದ್ದೇನೆ.
[IRV | KN | OT | Psalms | Chapter 86 | Verse 2] ನಾನು ನಿನ್ನ ಭಕ್ತನು; ನನ್ನ ಪ್ರಾಣವನ್ನು ಉಳಿಸು; ನೀನೇ ನನ್ನ ದೇವರು; ನಿನ್ನಲ್ಲಿ ಭರವಸವಿಟ್ಟಿರುವ ನಿನ್ನ ಸೇವಕನನ್ನು ರಕ್ಷಿಸು.
[IRV | KN | OT | Psalms | Chapter 86 | Verse 3] ಕರ್ತನೇ, ಕರುಣಿಸು; ದಿನವೆಲ್ಲಾ ನಿನಗೆ ಮೊರೆಯಿಡುತ್ತೇನೆ.
[IRV | KN | OT | Psalms | Chapter 86 | Verse 4] ಕರ್ತನೇ, ನಿನ್ನ ಸೇವಕನ ಹೃದಯವನ್ನು ಆನಂದಗೊಳಿಸು; ನಿನ್ನನ್ನೇ ನಿರೀಕ್ಷಿಸುತ್ತಿರುವೆನಲ್ಲಾ.
[IRV | KN | OT | Psalms | Chapter 86 | Verse 5] ಕರ್ತನೇ, ನೀನು ಒಳ್ಳೆಯವನೂ, ಕ್ಷಮಿಸುವವನೂ, ನಿನಗೆ ಮೊರೆಯಿಡುವವರೆಲ್ಲರಲ್ಲಿ ಕೃಪಾಪೂರ್ಣನೂ ಆಗಿದ್ದಿಯಲ್ಲಾ.
[IRV | KN | OT | Psalms | Chapter 86 | Verse 6] ಯೆಹೋವನೇ, ನನ್ನ ಪ್ರಾರ್ಥನೆಗೆ ಕಿವಿಗೊಡು; ನನ್ನ ವಿಜ್ಞಾಪನೆಗಳ ಕೂಗನ್ನು ಲಾಲಿಸು.
[IRV | KN | OT | Psalms | Chapter 86 | Verse 7] ನೀನು ಸದುತ್ತರವನ್ನು ದಯಪಾಲಿಸುವಿಯೆಂದು ನಂಬಿ, ನನ್ನ ಇಕ್ಕಟ್ಟಿನ ದಿನದಲ್ಲಿ ನಿನ್ನನ್ನೇ ಕರೆಯುವೆನು.
[IRV | KN | OT | Psalms | Chapter 86 | Verse 8] ಕರ್ತನೇ, ದೇವರುಗಳಲ್ಲಿ ನಿನಗೆ ಸಮಾನನೇ ಇಲ್ಲ; ನಿನ್ನ ಕೃತ್ಯಗಳಿಗೆ ಸರಿಯಾದದ್ದು ಇನ್ನೊಂದಿಲ್ಲ.
[IRV | KN | OT | Psalms | Chapter 86 | Verse 9] ಕರ್ತನೇ, ನಿನ್ನಿಂದುಂಟಾದ ಎಲ್ಲಾ ಜನಾಂಗಗಳು ಬಂದು, ನಿನಗೆ ಅಡ್ಡಬಿದ್ದು ನಿನ್ನ ನಾಮವನ್ನು ಘನಪಡಿಸುವವು.
[IRV | KN | OT | Psalms | Chapter 86 | Verse 10] ಮಹೋನ್ನತನು, ಮಹತ್ಕಾರ್ಯಗಳನ್ನು ನಡೆಸುವವನು ನೀನು; ನೀನೊಬ್ಬನೇ ದೇವರು.
[IRV | KN | OT | Psalms | Chapter 86 | Verse 11] ಯೆಹೋವನೇ, ನಿನ್ನ ಮಾರ್ಗವನ್ನು ನನಗೆ ಬೋಧಿಸು; ನಿನ್ನ ಸತ್ಯತೆಯನ್ನು ನನ್ನ ದೃಷ್ಟಿಯಲ್ಲೇ ಇಟ್ಟುಕೊಂಡು ನಡೆಯುವೆನು. ನಾನು ನಿನ್ನ ನಾಮದಲ್ಲಿ ಭಯಭಕ್ತಿಯಿಂದಿರುವಂತೆ ಏಕಮನಸ್ಸನ್ನು ಅನುಗ್ರಹಿಸು.
[IRV | KN | OT | Psalms | Chapter 86 | Verse 12] ಕರ್ತನೇ, ನನ್ನ ದೇವರೇ, ಮನಃಪೂರ್ವಕವಾಗಿ ನಿನ್ನನ್ನು ಕೊಂಡಾಡುವೆನು; ಎಂದೆಂದಿಗೂ ನಿನ್ನ ನಾಮವನ್ನು ಘನಪಡಿಸುವೆನು.
[IRV | KN | OT | Psalms | Chapter 86 | Verse 13] ನೀನು ಬಹಳವಾಗಿ ಕನಿಕರಿಸಿ, ನನ್ನ ಪ್ರಾಣವನ್ನು ಪಾತಾಳದ ತಳದಿಂದ ತಪ್ಪಿಸಿದ್ದಿಯಲ್ಲಾ.
[IRV | KN | OT | Psalms | Chapter 86 | Verse 14] ದೇವರೇ, ಅಹಂಕಾರಿಗಳು ನನಗೆ ವಿರುದ್ಧವಾಗಿ ಎದ್ದಿದ್ದಾರೆ; ಬಲಾತ್ಕಾರಿಗಳ ಗುಂಪು ನನ್ನ ಪ್ರಾಣಕ್ಕಾಗಿ ಕಾದಿದೆ. ಅವರು ನಿನ್ನನ್ನು ಲಕ್ಷಿಸುವುದಿಲ್ಲ.
[IRV | KN | OT | Psalms | Chapter 86 | Verse 15] ಕರ್ತನೇ, ನೀನು ಕನಿಕರವೂ, ದಯೆಯೂ ಉಳ್ಳ ದೇವರು; ದೀರ್ಘಶಾಂತನು, ಬಹಳ ಪ್ರೀತಿಯೂ, ನಂಬಿಕೆಯೂ ಉಳ್ಳವನು.
[IRV | KN | OT | Psalms | Chapter 86 | Verse 16] ಕಟಾಕ್ಷವಿಟ್ಟು ನನ್ನನ್ನು ಕರುಣಿಸು; ನಿನ್ನ ಸೇವಕನಿಗೆ ಬಲವನ್ನು ಅನುಗ್ರಹಿಸು; ನಿನ್ನ ಸೇವಕಳ ಮಗನನ್ನು ರಕ್ಷಿಸು.
[IRV | KN | OT | Psalms | Chapter 86 | Verse 17] ನನಗಾಗಿ ಒಂದು ಶುಭಸೂಚನೆಯನ್ನು ತೋರಿಸು; ನನ್ನ ಶತ್ರುಗಳು ನೋಡಿ, “ಯೆಹೋವನು ಸಹಾಯಕನಾಗಿ ಇವನನ್ನು ಸಂತೈಸಿದ್ದಾನೆ” ಎಂದು ನಾಚಿಕೆಪಡಲಿ.
