[IRV | KN | OT | Psalms | Chapter 92 | Verse 1] ಯೆಹೋವನೇ, ನಿನ್ನನ್ನು ಕೊಂಡಾಡುವುದೂ, ಪರಾತ್ಪರನಾದ ದೇವರೇ, ನಿನ್ನ ನಾಮವನ್ನು ಸಂಕೀರ್ತಿಸುವುದೂ ಯುಕ್ತವಾಗಿದೆ.
[IRV | KN | OT | Psalms | Chapter 92 | Verse 2] ವೀಣೆ, ಸ್ವರಮಂಡಲಗಳಿಂದಲೂ, ಕಿನ್ನರಿಯ ಘನಸ್ವರದಿಂದಲೂ,
[IRV | KN | OT | Psalms | Chapter 92 | Verse 3] ಹೊತ್ತಾರೆಯಲ್ಲಿ ನಿನ್ನ ಪ್ರೇಮವನ್ನೂ, ರಾತ್ರಿಯಲ್ಲಿ ನಿನ್ನ ಸತ್ಯವನ್ನೂ ವರ್ಣಿಸುವುದು ಉಚಿತವಾಗಿದೆ.
[IRV | KN | OT | Psalms | Chapter 92 | Verse 4] ಯೆಹೋವನೇ, ನಿನ್ನ ಕ್ರಿಯೆಗಳಿಂದ ನನ್ನನ್ನು ಸಂತೋಷಪಡಿಸಿದ್ದಿ; ನಿನ್ನ ಕೆಲಸಗಳಿಗಾಗಿ ಉತ್ಸಾಹಧ್ವನಿ ಮಾಡುತ್ತೇನೆ.
[IRV | KN | OT | Psalms | Chapter 92 | Verse 5] ಯೆಹೋವನೇ, ನಿನ್ನ ಕೃತ್ಯಗಳು ಎಷ್ಟೋ ಶ್ರೇಷ್ಠವಾಗಿವೆ; ನಿನ್ನ ಆಲೋಚನೆಗಳು ಅಶೋಧ್ಯವಾಗಿವೆ.
[IRV | KN | OT | Psalms | Chapter 92 | Verse 6] ಪಶುಪ್ರಾಯನು ಅರಿಯನು; ಮೂರ್ಖನು ಇದನ್ನು ಗ್ರಹಿಸಿಕೊಳ್ಳನು.
[IRV | KN | OT | Psalms | Chapter 92 | Verse 7] ದುಷ್ಟರು ಹುಲ್ಲಿನಂತೆ ಬೆಳೆಯುವುದೂ, ಕೆಡುಕರು ಹೂವಿನಂತೆ ಮೆರೆಯುವುದೂ ತೀರಾ ಹಾಳಾಗುವುದಕ್ಕಾಗಿಯೇ.
[IRV | KN | OT | Psalms | Chapter 92 | Verse 8] ಯೆಹೋವನೇ, ನೀನಾದರೋ ಸದಾ ಉನ್ನತಸ್ಥಾನದಲ್ಲಿರುತ್ತೀ.
[IRV | KN | OT | Psalms | Chapter 92 | Verse 9] ಯೆಹೋವನೇ, ಇಗೋ ನಿನ್ನ ಶತ್ರುಗಳು! ಅವರೆಲ್ಲಾ ನಾಶವಾಗುತ್ತಿದ್ದಾರೆ. ಅಧರ್ಮಿಗಳೆಲ್ಲಾ ಚದರಿಹೋಗುವರು.
[IRV | KN | OT | Psalms | Chapter 92 | Verse 10] ಆದರೆ ನನ್ನ ಕೊಂಬನ್ನು ಕಾಡುಕೋಣದ ಕೊಂಬಿನಂತೆ ಎತ್ತಿದ್ದಿ; ಚೈತನ್ಯತೈಲದಿಂದ ನನ್ನನ್ನು ಅಭಿಷೇಕಿಸಿದ್ದಿ.
[IRV | KN | OT | Psalms | Chapter 92 | Verse 11] ನನ್ನ ಶತ್ರುಗಳಿಗುಂಟಾದ ದುರ್ಗತಿಯನ್ನು ಕಣ್ಣಾರೆ ಕಂಡಿದ್ದೇನೆ; ನನಗೆ ವಿರುದ್ಧವಾಗಿ ಎದ್ದವರ ವಿಪತ್ತನ್ನು ಕಿವಿಯಾರೆ ಕೇಳಿದ್ದೇನೆ.
[IRV | KN | OT | Psalms | Chapter 92 | Verse 12] ನೀತಿವಂತರು ಖರ್ಜೂರದ ಮರದಂತೆ ಬೆಳೆಯುವರು; ಲೆಬನೋನಿನ ದೇವದಾರು ವೃಕ್ಷದ ಹಾಗೆ ವೃದ್ಧಿಯಾಗುವರು.
[IRV | KN | OT | Psalms | Chapter 92 | Verse 13] ಯೆಹೋವನ ಆಲಯದಲ್ಲಿ ಸಸಿಗಳಂತೆ ನೆಡಲ್ಪಟ್ಟವರು, ನಮ್ಮ ದೇವರ ಅಂಗಳದಲ್ಲಿ ಚೆನ್ನಾಗಿ ಬೆಳೆಯುವರು.
[IRV | KN | OT | Psalms | Chapter 92 | Verse 14] ಮುಪ್ಪಿನಲ್ಲಿಯೂ ಫಲಿಸುವರು; ಪುಷ್ಟಿಯಾಗಿದ್ದು ಶೋಭಿಸುವರು.
[IRV | KN | OT | Psalms | Chapter 92 | Verse 15] ಹೀಗೆ ಅವರು ಯೆಹೋವನ ಸತ್ಯಸಂಧತೆಗೆ ದೃಷ್ಟಾಂತರಾಗಿರುವರು. ಆತನೇ ನನ್ನ ಬಂಡೆಯು; ಆತನು ನಿರ್ವಂಚಕನು.
