[IRV | KN | OT | Psalms | Chapter 60 | Verse 1] ದೇವರೇ, ನೀನು ನಮ್ಮನ್ನು ಕೋಪದಿಂದ ತಳ್ಳಿ ಕೆಡವಿಬಿಟ್ಟಿದ್ದೀ; ನಮ್ಮ ರಕ್ಷಣಾ ಸಾಧನವನ್ನು ಮುರಿದುಬಿಟ್ಟಿದ್ದೀ; ನಮ್ಮನ್ನು ಪುನಃ ಸ್ಥಿರವಾಗಿ ನಿಲ್ಲಿಸು.
[IRV | KN | OT | Psalms | Chapter 60 | Verse 2] ನೀನು ದೇಶವನ್ನು ಕಂಪನಗೊಳಿಸಿ ಒಡೆದುಬಿಟ್ಟಿದ್ದೀ; ಅದು ನಡುಗುತ್ತಿರುವುದಲ್ಲಾ. ಅದರ ಒಡಕುಗಳನ್ನು ಸರಿಮಾಡು;
[IRV | KN | OT | Psalms | Chapter 60 | Verse 3] ನಿನ್ನ ಜನರನ್ನು ಸಂಕಟಕ್ಕೆ ಗುರಿಪಡಿಸಿದ್ದೀ; ನೀನು ನಮಗೆ ರೋಷವೆಂಬ ಪಾತ್ರೆಯಿಂದ ಪಾನಮಾಡಿಸಿದಿ.
[IRV | KN | OT | Psalms | Chapter 60 | Verse 4] ನೀನು ನಿನ್ನ ಭಕ್ತರಿಗೆ ಧ್ವಜವನ್ನು ಕೊಟ್ಟಿದ್ದು, ಆದ್ದರಿಂದ ಅವರು ಬಿಲ್ಲಿನಿಂದ ತಪ್ಪಿಸಿಕೊಳ್ಳಬಹುದು. ಸೆಲಾ
[IRV | KN | OT | Psalms | Chapter 60 | Verse 5] ನಿನ್ನ ಪ್ರಿಯರಾದ ನಮ್ಮ ಮೊರೆಯನ್ನು ಲಾಲಿಸಿ ರಕ್ಷಿಸು. ನಿನ್ನ ಭುಜಬಲದಿಂದ ನಮ್ಮನ್ನು ಜಯಗೊಳಿಸು.
[IRV | KN | OT | Psalms | Chapter 60 | Verse 6] ದೇವರು ತನ್ನ ಪವಿತ್ರಸ್ಥಳದಲ್ಲಿ ನುಡಿದಿದ್ದಾನೆ. ಜಯಘೋಷಮಾಡುವೆನು; ಶೆಖೆಮ್ ಪ್ರದೇಶವನ್ನು ಹಂಚುವೆನು. ಸುಖೋತ್ ಬಯಲನ್ನು ಅಳೆದುಕೊಡುವೆನು.
[IRV | KN | OT | Psalms | Chapter 60 | Verse 7] ಗಿಲ್ಯಾದ್ ಸೀಮೆಯೂ ಮತ್ತು ಮನಸ್ಸೆಯ ದೇಶವೂ ನನ್ನವು; ಎಫ್ರಾಯೀಮ್ ಗೋತ್ರವು ನನಗೆ ಶಿರಸ್ತ್ರಾಣ. ನನ್ನ ರಾಜದಂಡವು ಯೆಹೂದ ಕುಲವೇ.
[IRV | KN | OT | Psalms | Chapter 60 | Verse 8] ಮೋವಾಬ್ ಪ್ರದೇಶವು ನನ್ನ ಸ್ನಾನಪಾತ್ರೆಯು; ಎದೋಮ್ ಸೀಮೆ ನನ್ನ ಪಾದರಕ್ಷೆಗಳನ್ನು ಬಿಡುವ ಸ್ಥಳ. ಫಿಲಿಷ್ಟಿಯ ದೇಶವೇ ನಾನು ನಿನ್ನ ಮೇಲೆ ಜಯಹೊಂದಿ ನಿನ್ನ ವಿಷಯವಾಗಿ ಜಯಘೋಷ ಮಾಡುವೆನು.
[IRV | KN | OT | Psalms | Chapter 60 | Verse 9] ಕೋಟೆಕೊತ್ತಲುಗಳುಳ್ಳ ನಗರಕ್ಕೆ ನನ್ನನ್ನು ಕರೆದುಕೊಂಡು ಹೋಗುವವರು ಯಾರು? ಎದೋಮ್ ಪ್ರಾಂತ್ಯದೊಳಗೆ ನನ್ನನ್ನು ಸೇರಿಸುವವರು ಯಾರು?
[IRV | KN | OT | Psalms | Chapter 60 | Verse 10] ದೇವರೇ, ನೀನು ನಮ್ಮ ಸೈನ್ಯಗಳ ಸಂಗಡ ಬರಲಿಲ್ಲವಲ್ಲಾ! ದೇವರೇ, ನಮ್ಮನ್ನು ಕೈಬಿಟ್ಟಿರುವೆಯಾ?
[IRV | KN | OT | Psalms | Chapter 60 | Verse 11] ನಮಗೆ ಕೈನೀಡಿ ಶತ್ರುಬಾಧೆಯಿಂದ ಪಾರುಮಾಡು; ಮನುಷ್ಯರ ಸಹಾಯವು ವ್ಯರ್ಥ.
[IRV | KN | OT | Psalms | Chapter 60 | Verse 12] ದೇವರ ಸಹಾಯದಿಂದ ಶೂರಕೃತ್ಯಗಳನ್ನು ನಡೆಸುವೆವು; ನಮ್ಮ ವೈರಿಗಳನ್ನು ತುಳಿದುಬಿಡುವವನು ಆತನೇ.
