[IRV | KN | OT | Psalms | Chapter 62 | Verse 1] ನನ್ನ ಮನಸ್ಸು ದೇವರನ್ನೇ ನಂಬಿ ಶಾಂತವಾಗಿರುವುದು. ನನ್ನ ರಕ್ಷಣೆಯು ಆತನಿಂದಲೇ.
[IRV | KN | OT | Psalms | Chapter 62 | Verse 2] ಆತನೇ ನನಗೆ ಶರಣನೂ, ರಕ್ಷಕನೂ ಮತ್ತು ದುರ್ಗವೂ; ನಾನು ಕದಲಿದರೂ ಬೀಳೆನು.
[IRV | KN | OT | Psalms | Chapter 62 | Verse 3] ನೀವೆಲ್ಲರೂ ಒಬ್ಬ ಪುರುಷನ ಮೇಲೆ ಬಿದ್ದು, ಅವನು ಬಾಗಿದ ಗೋಡೆಯ ಹಾಗೆ ಮತ್ತು ಕುಸಿದ ಪ್ರಾಕಾರವೋ ಎಂಬಂತೆ ಅವನನ್ನು ಹೊಡೆದು ಕೆಡವಬೇಕೆಂದಿರುವುದು ಇನ್ನೆಷ್ಟರವರೆಗೆ?
[IRV | KN | OT | Psalms | Chapter 62 | Verse 4] ಅವನನ್ನು ಉನ್ನತಸ್ಥಾನದಿಂದ ದೊಬ್ಬುವುದೇ ಅವರ ಆಲೋಚನೆ. ಸುಳ್ಳಾಡುವುದು ಅವರಿಗೆ ಅತಿಸಂತೋಷ; ಬಾಯಿಂದ ಹರಸಿ ಮನಸ್ಸಿನಿಂದ ಶಪಿಸುತ್ತಾರೆ. ಸೆಲಾ
[IRV | KN | OT | Psalms | Chapter 62 | Verse 5] ನನ್ನ ಮನವೇ, ದೇವರನ್ನೇ ನಂಬಿ ಶಾಂತವಾಗಿರು. ನನ್ನ ನಿರೀಕ್ಷೆಯು ನೆರವೇರುವುದು ಆತನಿಂದಲೇ.
[IRV | KN | OT | Psalms | Chapter 62 | Verse 6] ಆತನೇ ನನಗೆ ಶರಣನೂ, ರಕ್ಷಕನೂ ಮತ್ತು ದುರ್ಗವೂ; ನಾನು ಕದಲುವುದಿಲ್ಲ.
[IRV | KN | OT | Psalms | Chapter 62 | Verse 7] ನನ್ನ ರಕ್ಷಣೆಗೂ, ಮಾನಕ್ಕೂ ದೇವರೇ ಆಧಾರ; ನನಗೆ ಬಲವಾದ ದುರ್ಗವೂ, ಆಶ್ರಯವೂ ದೇವರಲ್ಲಿಯೇ.
[IRV | KN | OT | Psalms | Chapter 62 | Verse 8] ಜನರೇ, ಯಾವಾಗಲೂ ಆತನನ್ನೇ ನಂಬಿ, ನಿಮ್ಮ ಹೃದಯವನ್ನು ಆತನ ಮುಂದೆ ತೆರೆಯಿರಿ; ದೇವರು ನಮ್ಮ ಆಶ್ರಯವು. ಸೆಲಾ
[IRV | KN | OT | Psalms | Chapter 62 | Verse 9] ನರರು ಬರೀ ಉಸಿರೇ; ನರಾಧಿಪತಿಗಳು ಬರೀ ಮಾಯವೇ. ಅವರೆಲ್ಲರನ್ನು ತ್ರಾಸಿನಲ್ಲಿ ತೂಗಿ ನೋಡಿದರೆ ಉಸಿರಿಗಿಂತಲೂ ಹಗುರ.
[IRV | KN | OT | Psalms | Chapter 62 | Verse 10] ಅನ್ಯಾಯದಿಂದ ಸಂಪಾದಿಸಿದ್ದನ್ನು ನೆಚ್ಚಬೇಡಿರಿ; ಸುಲಿಗೆಯಿಂದ ಗಳಿಸಿ ಅಹಂಕಾರಪಡಬೇಡಿರಿ; ಹೆಚ್ಚಿದ ಆಸ್ತಿಯಲ್ಲಿ ಮನಸ್ಸಿಡಬೇಡಿರಿ.
[IRV | KN | OT | Psalms | Chapter 62 | Verse 11] ಸರ್ವಾಧಿಕಾರವು ದೇವರದೇ ಎಂದು ದೇವರು ಒಮ್ಮೆ ಅಲ್ಲ, ಎರಡಾವರ್ತಿ ಹೇಳಿದ್ದನ್ನು ಕೇಳಿದ್ದೇನೆ.
[IRV | KN | OT | Psalms | Chapter 62 | Verse 12] ಕರ್ತನೇ, ನೀನು ಪ್ರೀತಿಸ್ವರೂಪನಾಗಿ ಪ್ರತಿಯೊಬ್ಬನಿಗೆ ಅವನವನ ಕೃತ್ಯಗಳಿಗೆ ತಕ್ಕ ಪ್ರತಿಫಲವನ್ನು ಕೊಡುವಂಥವನಲ್ಲವೇ.
