[IRV | KN | OT | Psalms | Chapter 132 | Verse 1] ಯೆಹೋವನೇ, ದಾವೀದನ ಹಿತಕ್ಕೋಸ್ಕರ, ಅವನ ಶ್ರಮೆಗಳನ್ನು ನೆನಪುಮಾಡಿಕೋ.
[IRV | KN | OT | Psalms | Chapter 132 | Verse 2] ಯಾಕೋಬನ ಶೂರನಾದ ಯೆಹೋವನಿಗಾಗಿ ಒಂದು ವಾಸಸ್ಥಾನವನ್ನು ಏರ್ಪಡಿಸುವ ತನಕ,
[IRV | KN | OT | Psalms | Chapter 132 | Verse 3] “ನಾನು ನನ್ನ ಮನೆಯೊಳಗೆ ಪ್ರವೇಶಿಸುವುದಿಲ್ಲ, ಮಂಚವನ್ನು ಹತ್ತುವುದಿಲ್ಲ,
[IRV | KN | OT | Psalms | Chapter 132 | Verse 4] ಕಣ್ಣುಗಳನ್ನು ಮುಚ್ಚುವುದಿಲ್ಲ, ರೆಪ್ಪೆಗಳನ್ನು ಕೂಡಿಸುವುದಿಲ್ಲ” ಎಂದು
[IRV | KN | OT | Psalms | Chapter 132 | Verse 5] ಅವನು ಯೆಹೋವನಿಗೆ ಪ್ರಮಾಣಮಾಡಿ, ಯಾಕೋಬನ ಶೂರನಿಗೆ ಹರಕೆ ಮಾಡಿಕೊಂಡನಲ್ಲಾ.
[IRV | KN | OT | Psalms | Chapter 132 | Verse 6] ಇಗೋ, ಅದು ಎಫ್ರಾತದಲ್ಲಿರುತ್ತದೆಂದು ಕೇಳಿದೆವು; ಯಹಾರ್ ಮೈದಾನದಲ್ಲಿ ನಮಗೆ ಸಿಕ್ಕಿತು.
[IRV | KN | OT | Psalms | Chapter 132 | Verse 7] “ಬನ್ನಿರಿ, ಆತನ ಮಂದಿರಕ್ಕೆ ಹೋಗಿ ಆತನ ಪಾದಪೀಠದ ಮುಂದೆ ಅಡ್ಡಬೀಳೋಣ!”
[IRV | KN | OT | Psalms | Chapter 132 | Verse 8] ಯೆಹೋವನೇ, ಎದ್ದು ನಿನ್ನ ಪ್ರತಾಪಯುಕ್ತವಾದ ಮಂಜೂಷದೊಡನೆ, ನಿನ್ನ ವಾಸಸ್ಥಾನಕ್ಕೆ ಬಂದು ನೆಲೆಸು.
[IRV | KN | OT | Psalms | Chapter 132 | Verse 9] ನಿನ್ನ ಯಾಜಕರು ನೀತಿಯೆಂಬ ವಸ್ತ್ರವನ್ನು ಹೊದ್ದುಕೊಳ್ಳಲಿ; ನಿನ್ನ ಭಕ್ತರು ಉತ್ಸಾಹಧ್ವನಿ ಮಾಡಲಿ.
[IRV | KN | OT | Psalms | Chapter 132 | Verse 10] ನಿನ್ನ ಸೇವಕನಾದ ದಾವೀದನನ್ನು ನೆನಪುಮಾಡಿಕೋ; ನೀನು ಅಭಿಷೇಕಿಸಿದವನನ್ನು ತಳ್ಳಿಬಿಡಬೇಡ.
[IRV | KN | OT | Psalms | Chapter 132 | Verse 11] ಯೆಹೋವನು ದಾವೀದನಿಗೆ ಮಾಡಿದ ಪ್ರಮಾಣವು ಸ್ಥಿರವಾಗಿದೆ; ಆತನು ಅದನ್ನು ಬದಲಿಸುವುದಿಲ್ಲ. “ನಿನ್ನ ಸಂತಾನದವರನ್ನು ನಿನ್ನ ಸಿಂಹಾಸನದ ಮೇಲೆ ಕುಳ್ಳಿರಿಸುವೆನು;
[IRV | KN | OT | Psalms | Chapter 132 | Verse 12] ನಿನ್ನ ಮಕ್ಕಳು ನನ್ನ ನಿಬಂಧನೆಯನ್ನೂ, ನಾನು ಆಜ್ಞಾಪಿಸಿದ ಕಟ್ಟಳೆಗಳನ್ನೂ ಕೈಕೊಂಡು ನಡೆಯುವುದಾದರೆ, ಅವರ ಮಕ್ಕಳು ನಿನ್ನ ಸಿಂಹಾಸನದಲ್ಲಿ ಸದಾಕಾಲ ಕುಳಿತುಕೊಳ್ಳುವರು.”
[IRV | KN | OT | Psalms | Chapter 132 | Verse 13] ನಿಶ್ಚಯವಾಗಿ ಯೆಹೋವನು ಚೀಯೋನನ್ನು ಅಪೇಕ್ಷಿಸಿ, ತನ್ನ ನಿವಾಸಕ್ಕಾಗಿ ಆರಿಸಿಕೊಂಡಿದ್ದಾನೆ.
[IRV | KN | OT | Psalms | Chapter 132 | Verse 14] ಆತನು, “ಇದು ನನ್ನ ಶಾಶ್ವತ ವಾಸಸ್ಥಾನ; ಇಲ್ಲೇ ಇರುವೆನು; ಇದು ನನಗೆ ಇಷ್ಟ.
[IRV | KN | OT | Psalms | Chapter 132 | Verse 15] ಇದರ ಆದಾಯವನ್ನು ಆಶೀರ್ವದಿಸುವೆನು; ಇಲ್ಲಿಯ ಬಡವರನ್ನು ಆಹಾರದಿಂದ ತೃಪ್ತಿಗೊಳಿಸುವೆನು;
[IRV | KN | OT | Psalms | Chapter 132 | Verse 16] ಯಾಜಕರಿಗೆ ರಕ್ಷಣೆಯೆಂಬ ವಸ್ತ್ರವನ್ನು ಹೊದಿಸುವೆನು; ಭಕ್ತರು ಉತ್ಸಾಹಧ್ವನಿ ಮಾಡುವರು.
[IRV | KN | OT | Psalms | Chapter 132 | Verse 17] ಇಲ್ಲಿಯೇ ದಾವೀದನ ಕೊಂಬು ಚಿಗುರುವಂತೆ ಮಾಡುವೆನು; ನನ್ನ ಅಭಿಷಿಕ್ತನ ದೀಪವು ಉರಿಯುತ್ತಲೇ ಇರಬೇಕೆಂದು ನೇಮಿಸಿದ್ದೇನೆ.
[IRV | KN | OT | Psalms | Chapter 132 | Verse 18] ಅವನ ವೈರಿಗಳನ್ನು ನಾಚಿಕೆಯೆಂಬ ವಸ್ತ್ರದಿಂದ ಹೊದಿಸುವೆನು; ಆದರೆ ಅವನ ಮೇಲೆ ಕಿರೀಟವು ಶೋಭಿಸುತ್ತಿರುವುದು.”
