[IRV | KN | OT | Psalms | Chapter 66 | Verse 1] ಸರ್ವಭೂನಿವಾಸಿಗಳೇ, ದೇವರಿಗೆ ಜಯಧ್ವನಿ ಮಾಡಿರಿ.
[IRV | KN | OT | Psalms | Chapter 66 | Verse 2] ಆತನ ನಾಮದ ಮಹತ್ತನ್ನು ಕೀರ್ತಿಸಿರಿ; ಆತನ ಪ್ರಭಾವವನ್ನು ವರ್ಣಿಸುತ್ತಾ ಕೊಂಡಾಡಿರಿ.
[IRV | KN | OT | Psalms | Chapter 66 | Verse 3] ನೀವು ದೇವರಿಗೆ, “ನಿನ್ನ ಕೃತ್ಯಗಳು ಎಷ್ಟೋ ಭಯಂಕರವಾಗಿವೆ; ನಿನ್ನ ಪರಾಕ್ರಮದ ಮಹತ್ತಿನ ದೆಸೆಯಿಂದ ನಿನ್ನ ಶತ್ರುಗಳು ನಿನ್ನ ಮುಂದೆ ಮುದುರಿಕೊಳ್ಳುವರು;
[IRV | KN | OT | Psalms | Chapter 66 | Verse 4] ಸರ್ವಭೂನಿವಾಸಿಗಳು ನಿನಗೆ ಅಡ್ಡಬಿದ್ದು ಭಜಿಸುತ್ತಾ, ನಿನ್ನ ನಾಮವನ್ನು ಕೀರ್ತಿಸುವರು” ಎಂದು ಹೇಳಿರಿ. ಸೆಲಾ
[IRV | KN | OT | Psalms | Chapter 66 | Verse 5] ಬನ್ನಿರಿ, ದೇವರ ಕಾರ್ಯಗಳನ್ನು ನೋಡಿರಿ; ಆತನ ಆಳ್ವಿಕೆ ನರರಲ್ಲಿ ಭಯ ಹುಟ್ಟಿಸತಕ್ಕದ್ದಾಗಿದೆ.
[IRV | KN | OT | Psalms | Chapter 66 | Verse 6] ಸಮುದ್ರವನ್ನು ಒಣನೆಲವಾಗುವಂತೆ ಮಾಡಿದನು; ಜನರು ನದಿಯ ಮಧ್ಯದಲ್ಲಿ ಕಾಲಿನಿಂದ ದಾಟಿದರು; ಅದಕ್ಕಾಗಿ ನಾವು ಆತನಲ್ಲಿ ಆನಂದಪಡೋಣ.
[IRV | KN | OT | Psalms | Chapter 66 | Verse 7] ಆತನು ಪರಾಕ್ರಮದಿಂದ ಸದಾಕಾಲವೂ ಆಳುತ್ತಾನೆ; ಜನಾಂಗಗಳನ್ನು ನೋಡಿಕೊಳ್ಳುತ್ತಾನೆ. ದಂಗೆಕೋರರು ಏಳದಿರಲಿ. ಸೆಲಾ
[IRV | KN | OT | Psalms | Chapter 66 | Verse 8] ಜನಾಂಗಗಳೇ, ನಮ್ಮ ದೇವರನ್ನು ವಂದಿಸಿರಿ; ಆತನನ್ನು ಸ್ತುತಿಸುವ ಧ್ವನಿ ಕೇಳಿಸಲಿ.
[IRV | KN | OT | Psalms | Chapter 66 | Verse 9] ಆತನು ನಮ್ಮನ್ನು ಜೀವದಿಂದುಳಿಸಿ, ನಮ್ಮ ಕಾಲುಗಳನ್ನು ಜಾರದಂತೆ ಕಾಪಾಡಿದನು.
[IRV | KN | OT | Psalms | Chapter 66 | Verse 10] ದೇವರೇ, ನಮ್ಮನ್ನು ಶೋಧಿಸಿದಿ; ಬೆಳ್ಳಿಯನ್ನು ಪುಟಕ್ಕೆ ಹಾಕುವ ಮೇರೆಗೆ ಶುದ್ಧಿಮಾಡಿದಿ.
[IRV | KN | OT | Psalms | Chapter 66 | Verse 11] ನಮ್ಮನ್ನು ಬಲೆಯಲ್ಲಿ ಸಿಕ್ಕಿಸಿದಿ; ನಮ್ಮ ಸೊಂಟಕ್ಕೆ ಭಾರವಾದ ಹೊರೆಯನ್ನು ಕಟ್ಟಿದಿ;
[IRV | KN | OT | Psalms | Chapter 66 | Verse 12] ಮನುಷ್ಯರು ನಮ್ಮ ತಲೆಗಳ ಮೇಲೆಯೇ, ತಮ್ಮ ರಥಗಳನ್ನು ಹಾಯಿಸುವಂತೆ ಮಾಡಿದಿ. ನಾವು ಬೆಂಕಿಯನ್ನೂ, ನೀರನ್ನೂ ದಾಟಬೇಕಾಯಿತು; ಆದರೂ ಸುಸ್ಥಿತಿಗೆ ನಮ್ಮನ್ನು ನಡೆಸಿದಿ.
[IRV | KN | OT | Psalms | Chapter 66 | Verse 13] ನಾನು ನಿನ್ನ ಆಲಯಕ್ಕೆ ಬಂದು ಸರ್ವಾಂಗಹೋಮಗಳನ್ನು ಸಮರ್ಪಿಸುವೆನು.
[IRV | KN | OT | Psalms | Chapter 66 | Verse 14] ಇಕ್ಕಟ್ಟಿನ ವೇಳೆಯಲ್ಲಿ ನನ್ನ ತುಟಿಗಳು ಉಚ್ಚರಿಸಿದ ಬಾಯಿಂದ ಮಾಡಿದ ಹರಕೆಗಳನ್ನು ನಿನಗೆ ಸಲ್ಲಿಸುವೆನು.
[IRV | KN | OT | Psalms | Chapter 66 | Verse 15] ನಿನಗೆ ಟಗರು ಮುಂತಾದ ಪುಷ್ಟಪಶುಗಳನ್ನು ಯಜ್ಞರೂಪವಾಗಿ ಸಮರ್ಪಿಸಿ, ಸುವಾಸನೆಯನ್ನು ಉಂಟುಮಾಡುವೆನು; ಯಜ್ಞಕ್ಕಾಗಿ ಹೋತ ಮತ್ತು ಹೋರಿಗಳನ್ನು ಅರ್ಪಿಸುವೆನು. ಸೆಲಾ
[IRV | KN | OT | Psalms | Chapter 66 | Verse 16] ಎಲ್ಲಾ ದೇವಭಕ್ತರೇ, ಬಂದು ಕೇಳಿರಿ; ಆತನು ನನಗಾಗಿ ಮಾಡಿದ್ದೆಲ್ಲವನ್ನು ನಿಮಗೆ ತಿಳಿಸುವೆನು.
[IRV | KN | OT | Psalms | Chapter 66 | Verse 17] ನನ್ನ ಮೊರೆಯೊಡನೆ ಕೃತಜ್ಞತಾಸ್ತುತಿಯೂ ನನ್ನ ನಾಲಿಗೆಯ ಮೇಲಿತ್ತು.
[IRV | KN | OT | Psalms | Chapter 66 | Verse 18] ನಾನು ಕೆಟ್ಟತನದ ಮೇಲೆ ಮನಸ್ಸಿಟ್ಟಿದ್ದರೆ, ಸ್ವಾಮಿಯು ನನ್ನ ವಿಜ್ಞಾಪನೆಯನ್ನು ಕೇಳುತ್ತಿದ್ದಿಲ್ಲ.
[IRV | KN | OT | Psalms | Chapter 66 | Verse 19] ಆದರೆ ದೇವರು ನನ್ನ ಮೊರೆಯನ್ನು ಲಕ್ಷಿಸಿ ಕೇಳಿದ್ದಾನಲ್ಲಾ.
[IRV | KN | OT | Psalms | Chapter 66 | Verse 20] ಆತನು ನನ್ನ ಬಿನ್ನಹವನ್ನು ತಿರಸ್ಕರಿಸಲಿಲ್ಲ; ನನ್ನ ಮೇಲಿನ ತನ್ನ ದಯೆಯನ್ನು ತಪ್ಪಿಸಿಬಿಡಲಿಲ್ಲ. ದೇವರಿಗೆ ಸ್ತೋತ್ರವಾಗಲಿ.
