[IRV | KN | OT | Psalms | Chapter 105 | Verse 1] ಯೆಹೋವನಿಗೆ ಕೃತಜ್ಞತಾಸ್ತುತಿಮಾಡಿರಿ; ಆತನ ನಾಮದ ಮಹತ್ವವನ್ನು ವರ್ಣಿಸಿರಿ; ಜನಾಂಗಗಳಲ್ಲಿ ಆತನ ಕೃತ್ಯಗಳನ್ನು ಪ್ರಸಿದ್ಧಪಡಿಸಿರಿ.
[IRV | KN | OT | Psalms | Chapter 105 | Verse 2] ಆತನನ್ನು ಕೀರ್ತಿಸಿರಿ, ಭಜಿಸಿರಿ; ಆತನ ಅದ್ಭುತಕೃತ್ಯಗಳನ್ನೆಲ್ಲಾ ಧ್ಯಾನಿಸಿರಿ.
[IRV | KN | OT | Psalms | Chapter 105 | Verse 3] ಆತನ ಪರಿಶುದ್ಧ ನಾಮದಲ್ಲಿ ಹಿಗ್ಗಿರಿ; ಯೆಹೋವನ ದರ್ಶನವನ್ನು ಕೋರುವವರ ಹೃದಯವು ಹರ್ಷಿಸಲಿ.
[IRV | KN | OT | Psalms | Chapter 105 | Verse 4] ಯೆಹೋವನನ್ನೂ, ಆತನ ಬಲವನ್ನೂ ಆಶ್ರಯಿಸಿರಿ; ನಿತ್ಯವೂ ಆತನ ದರ್ಶನವನ್ನು ಅಪೇಕ್ಷಿಸಿರಿ.
[IRV | KN | OT | Psalms | Chapter 105 | Verse 5] ಆತನು ಮಾಡಿದ ಅದ್ಭುತಕೃತ್ಯ, ಆತನ ಮಹತ್ಕಾರ್ಯ, ಆತನ ಬಾಯಿಂದ ಹೊರಟ ನ್ಯಾಯನಿರ್ಣಯ ಇವುಗಳನ್ನು,
[IRV | KN | OT | Psalms | Chapter 105 | Verse 6] ಆತನ ಸೇವಕನಾದ ಅಬ್ರಹಾಮನ ಸಂತತಿಯವರೇ, ಆತನು ಆರಿಸಿಕೊಂಡ ಯಾಕೋಬನ ವಂಶದವರೇ, ನೀವು ನೆನಪುಮಾಡಿಕೊಳ್ಳಿರಿ.
[IRV | KN | OT | Psalms | Chapter 105 | Verse 7] ಯೆಹೋವನೆಂಬಾತನೇ ನಮ್ಮ ದೇವರು; ಆತನ ನ್ಯಾಯವಿಧಿಗಳು ಭೂಲೋಕದಲ್ಲೆಲ್ಲಾ ಇವೆ.
[IRV | KN | OT | Psalms | Chapter 105 | Verse 8] ಆತನು ತನ್ನ ವಾಗ್ದಾನವನ್ನು ಸಾವಿರ ತಲೆಗಳವರೆಗೂ, ತನ್ನ ಒಡಂಬಡಿಕೆಯನ್ನು ನಿತ್ಯವೂ ನೆನಪಿನಲ್ಲಿಟ್ಟುಕೊಳ್ಳುತ್ತಾನೆ.
[IRV | KN | OT | Psalms | Chapter 105 | Verse 9] ಆತನು ಆ ಒಡಂಬಡಿಕೆಯನ್ನು ಅಬ್ರಹಾಮನ ಸಂಗಡ ಮಾಡಿಕೊಂಡನು; ಇಸಾಕನಿಗೆ ತನ್ನ ವಾಗ್ದಾನಗಳನ್ನು ಕೊಟ್ಟನು.
[IRV | KN | OT | Psalms | Chapter 105 | Verse 10] ಅದು ರಾಜಶಾಸನದಂತೆ ಇರುವುದೆಂದು ಇಸ್ರಾಯೇಲನಿಗೂ ಮಾತುಕೊಟ್ಟನು.
[IRV | KN | OT | Psalms | Chapter 105 | Verse 11] ಅವರಲ್ಲಿ ಸ್ವಲ್ಪ ಜನರು ಕಾನಾನ್ ದೇಶದಲ್ಲಿ ಪ್ರವಾಸಿಗಳಾಗಿ ಇರುವಾಗಲೇ,
[IRV | KN | OT | Psalms | Chapter 105 | Verse 12] ಆತನು, “ನಿಮಗೆ ಈ ದೇಶವನ್ನು ಕೊಡುವೆನು; ಅದು ನಿಮ್ಮ ಸಂತತಿಯವರಿಗೆ ಸ್ವತ್ತಾಗಿರುವುದು” ಎಂದು ಹೇಳಿದನು.
[IRV | KN | OT | Psalms | Chapter 105 | Verse 13] ಅವರು ದೇಶದಿಂದ ದೇಶಕ್ಕೂ, ರಾಜ್ಯದಿಂದ ರಾಜ್ಯಕ್ಕೂ ಹೋಗುತ್ತಿರುವಾಗ,
[IRV | KN | OT | Psalms | Chapter 105 | Verse 14] ಅವರಿಗೆ ಯಾರಿಂದಲೂ ಅನ್ಯಾಯವಾಗಗೊಡಿಸಲಿಲ್ಲ. ಆತನು ಅವರ ವಿಷಯದಲ್ಲಿ ಅರಸರನ್ನೂ ಗದರಿಸಿ,
[IRV | KN | OT | Psalms | Chapter 105 | Verse 15] “ನಾನು ಅಭಿಷೇಕಿಸಿದವರನ್ನು ಮುಟ್ಟಬಾರದು, ನನ್ನ ಪ್ರವಾದಿಗಳಿಗೆ ಯಾವ ಕೇಡನ್ನೂ ಮಾಡಬಾರದು” ಎಂದು ಹೇಳಿದನು.
[IRV | KN | OT | Psalms | Chapter 105 | Verse 16] ಅನಂತರ ಆತನು ಐಗುಪ್ತ ದೇಶದಲ್ಲಿ ಕ್ಷಾಮವನ್ನು ಬರಮಾಡಿ, ಆಹಾರವನ್ನು ನಾಶಮಾಡಿಬಿಟ್ಟನು.
[IRV | KN | OT | Psalms | Chapter 105 | Verse 17] ಆತನು ಅವರ ಮುಂದಾಗಿ ಒಬ್ಬನನ್ನು ಕಳುಹಿಸಿದನು; ದಾಸತ್ವಕ್ಕೆ ಮಾರಲ್ಪಟ್ಟ ಯೋಸೇಫನೇ ಅವನು.
[IRV | KN | OT | Psalms | Chapter 105 | Verse 18] ಅವನ ಕಾಲುಗಳು ಬೇಡಿಗಳಿಂದ ಕಟ್ಟಲ್ಪಟ್ಟವು; ಕಬ್ಬಿಣದ ಕೊರಳಪಟ್ಟಿಯಿಂದ ಅವನು ಬಂಧಿತನಾದನು.
[IRV | KN | OT | Psalms | Chapter 105 | Verse 19] ಅವನು ತನ್ನ ಮಾತು ನೆರವೇರುವ ತನಕ ಯೆಹೋವನ ವಾಕ್ಯದಿಂದ ಶೋಧಿತನಾದನು.
