[IRV | KN | OT | Psalms | Chapter 116 | Verse 1] ಯೆಹೋವನನ್ನು ಪ್ರೀತಿಸುತ್ತೇನೆ; ಆತನು ನನ್ನ ಮೊರೆಯನ್ನು ಕೇಳುವನು.
[IRV | KN | OT | Psalms | Chapter 116 | Verse 2] ಆತನು ನನ್ನ ವಿಜ್ಞಾಪನೆಗೆ ಕಿವಿಗೊಟ್ಟಿದ್ದಾನೆ; ಜೀವದಿಂದ ಇರುವವರೆಗೂ ಆತನನ್ನೇ ಪ್ರಾರ್ಥಿಸುವೆನು.
[IRV | KN | OT | Psalms | Chapter 116 | Verse 3] ಮರಣಪಾಶಗಳು ನನ್ನನ್ನು ಸುತ್ತಿಕೊಂಡಿದ್ದವು; ಪಾತಾಳ ವೇದನೆಗಳು ನನ್ನನ್ನು ಹಿಡಿದಿದ್ದವು. ಚಿಂತೆಯಲ್ಲಿಯೂ, ಇಕ್ಕಟ್ಟಿನಲ್ಲಿಯೂ ಬಿದ್ದುಹೋಗಿದ್ದೆನು.
[IRV | KN | OT | Psalms | Chapter 116 | Verse 4] ಆಗ ಯೆಹೋವನ ಹೆಸರನ್ನು ಹೇಳಿ, “ಯೆಹೋವನೇ, ಕೃಪೆಮಾಡಿ ನನ್ನ ಪ್ರಾಣವನ್ನು ರಕ್ಷಿಸು” ಎಂದು ಪ್ರಾರ್ಥಿಸಿದೆನು.
[IRV | KN | OT | Psalms | Chapter 116 | Verse 5] ಯೆಹೋವನು ಕೃಪಾಳುವೂ, ನೀತಿವಂತನೂ ಆಗಿದ್ದಾನೆ; ನಮ್ಮ ದೇವರು ಕನಿಕರವುಳ್ಳವನು.
[IRV | KN | OT | Psalms | Chapter 116 | Verse 6] ಯೆಹೋವನು ಸರಳ ಮನಸ್ಸುಳ್ಳವರನ್ನು ಕಾಪಾಡುವನು; ಕುಗ್ಗಿದವನಾದ ನನ್ನನ್ನು ರಕ್ಷಿಸಿದನು.
[IRV | KN | OT | Psalms | Chapter 116 | Verse 7] ನನ್ನ ಮನವೇ, ನಿನ್ನ ವಿಶ್ರಾಂತಿಯ ನೆಲೆಗೆ ತಿರುಗು. ಯೆಹೋವನು ನಿನಗೆ ಮಹೋಪಕಾರಗಳನ್ನು ಮಾಡಿದ್ದಾನಲ್ಲಾ.
[IRV | KN | OT | Psalms | Chapter 116 | Verse 8] ಯೆಹೋವನೇ, ನಾನು ಜೀವಲೋಕದಲ್ಲಿದ್ದು ನಿನಗೆ ನೀತಿಯುಳ್ಳವನಾಗಿ ನಡೆದುಕೊಳ್ಳಬೇಕೆಂದು,
[IRV | KN | OT | Psalms | Chapter 116 | Verse 9] ನೀನು ನನ್ನ ಪ್ರಾಣವನ್ನು ಮರಣದಿಂದ ತಪ್ಪಿಸಿ, ಕಣ್ಣೀರನ್ನು ನಿಲ್ಲಿಸಿ, ನನ್ನ ಪಾದಗಳನ್ನು ಎಡವದಂತೆ ಕಾದಿದ್ದೀ.
[IRV | KN | OT | Psalms | Chapter 116 | Verse 10] “ನಾನು ಬಹಳವಾಗಿ ಕುಗ್ಗಿಹೋದೆ” ಎಂದು ಹೇಳಿದಾಗಲೂ,
[IRV | KN | OT | Psalms | Chapter 116 | Verse 11] “ಮನುಷ್ಯರೆಲ್ಲಾ ಸುಳ್ಳುಗಾರರು” ಎಂದು ಭ್ರಾಂತಿಯಿಂದ ಹೇಳಿದಾಗಲೂ, ಭರವಸವುಳ್ಳವನಾಗಿಯೇ ಇದ್ದೆನು.
[IRV | KN | OT | Psalms | Chapter 116 | Verse 12] ಯೆಹೋವನ ಮಹೋಪಕಾರಗಳಿಗೆ ಬದಲೇನು ಮಾಡಲಿ?
