[IRV | KN | OT | Psalms | Chapter 119 | Verse 1] ಯೆಹೋವನ ಧರ್ಮಶಾಸ್ತ್ರವನ್ನು ಅನುಸರಿಸಿ, ಸದಾಚಾರಿಗಳಾಗಿ ನಡೆಯುವವರು ಧನ್ಯರು.
[IRV | KN | OT | Psalms | Chapter 119 | Verse 2] ಆತನ ಕಟ್ಟಳೆಗಳನ್ನು ಕೈಕೊಂಡು, ಪೂರ್ಣಹೃದಯದಿಂದ ಆತನನ್ನು ಹುಡುಕುವವರು ಭಾಗ್ಯವಂತರು.
[IRV | KN | OT | Psalms | Chapter 119 | Verse 3] ಅವರು ಆತನ ಮಾರ್ಗದಲ್ಲಿ ನಡೆಯುತ್ತಾರೆ, ಅನ್ಯಾಯ ಮಾಡುವುದೇ ಇಲ್ಲ.
[IRV | KN | OT | Psalms | Chapter 119 | Verse 4] ನಿನ್ನ ನಿಯಮಗಳನ್ನು ಜಾಗರೂಕತೆಯಿಂದ ಕೈಕೊಂಡು ನಡೆಸಬೇಕೆಂದು, ನೀನೇ ಆಜ್ಞಾಪಿಸಿರುತ್ತಿ.
[IRV | KN | OT | Psalms | Chapter 119 | Verse 5] ನಿನ್ನ ಕಟ್ಟಳೆಗಳನ್ನು ಕೈಕೊಳ್ಳುವುದರಲ್ಲಿ, ನಾನು ಸ್ಥಿರಮನಸ್ಸುಳ್ಳವನಾಗಿದ್ದರೆ ಒಳ್ಳೇಯದು!
[IRV | KN | OT | Psalms | Chapter 119 | Verse 6] ಹೀಗೆ ನಿನ್ನ ಆಜ್ಞೆಗಳನ್ನೆಲ್ಲಾ ಲಕ್ಷಿಸುವವನಾದರೆ, ನಾನು ಅಪಮಾನಕ್ಕೆ ಗುರಿಯಾಗುವುದಿಲ್ಲ.
[IRV | KN | OT | Psalms | Chapter 119 | Verse 7] ನಾನು ನಿನ್ನ ನೀತಿಯ ವಿಧಿಗಳನ್ನು ಕಲಿತ ಹಾಗೆಲ್ಲಾ, ನಿನ್ನನ್ನು ಯಥಾರ್ಥ ಹೃದಯದಿಂದ ಕೊಂಡಾಡುತ್ತಾ ಹೋಗುವೆನು.
[IRV | KN | OT | Psalms | Chapter 119 | Verse 8] ನಿನ್ನ ಕಟ್ಟಳೆಗಳನ್ನು ಅನುಸರಿಸುವ ನನ್ನನ್ನು, ಸಂಪೂರ್ಣವಾಗಿ ಕೈಬಿಡಬೇಡ. ಬೇತ್.
[IRV | KN | OT | Psalms | Chapter 119 | Verse 9] ಯೌವನಸ್ಥನು ತನ್ನ ನಡತೆಯನ್ನು ಶುದ್ಧಪಡಿಸಿಕೊಳ್ಳುವುದು ಯಾವುದರಿಂದ? ನಿನ್ನ ವಾಕ್ಯವನ್ನು ಗಮನಿಸಿ ನಡೆಯುವುದರಿಂದಲೇ.
[IRV | KN | OT | Psalms | Chapter 119 | Verse 10] ನಾನು ಪೂರ್ಣಮನಸ್ಸಿನಿಂದ ನಿನ್ನನ್ನು ಹುಡುಕುತ್ತೇನೆ, ನಿನ್ನ ಆಜ್ಞೆಗಳಿಗೆ ತಪ್ಪಿಹೋಗದಂತೆ ನನ್ನನ್ನು ಕಾಪಾಡು.
[IRV | KN | OT | Psalms | Chapter 119 | Verse 11] ನಿನಗೆ ವಿರುದ್ಧವಾಗಿ ಪಾಪಮಾಡದಂತೆ, ನಿನ್ನ ನುಡಿಗಳನ್ನು ನನ್ನ ಹೃದಯದಲ್ಲಿ ಇಟ್ಟುಕೊಂಡಿದ್ದೇನೆ.
[IRV | KN | OT | Psalms | Chapter 119 | Verse 12] ಸ್ತುತಿಪಾತ್ರನಾದ ಯೆಹೋವನೇ, ನಿನ್ನ ನಿಬಂಧನೆಗಳನ್ನು ನನಗೆ ಕಲಿಸು.
[IRV | KN | OT | Psalms | Chapter 119 | Verse 13] ನಿನ್ನ ಎಲ್ಲಾ ಉಪದೇಶಾಜ್ಞೆಗಳನ್ನು, ನನ್ನ ತುಟಿಗಳು ವರ್ಣಿಸುತ್ತವೆ.
[IRV | KN | OT | Psalms | Chapter 119 | Verse 14] ಸರ್ವಸಂಪತ್ತಿನಲ್ಲಿ ಹೇಗೋ, ಹಾಗೆಯೇ ನಿನ್ನ ಕಟ್ಟಳೆಯ ಮಾರ್ಗದಲ್ಲಿ ಆನಂದಿಸುತ್ತೇನೆ.
[IRV | KN | OT | Psalms | Chapter 119 | Verse 15] ನಿನ್ನ ನಿಯಮಗಳನ್ನು ಧ್ಯಾನಿಸುತ್ತಾ, ನಿನ್ನ ದಾರಿಯನ್ನು ಲಕ್ಷಿಸುವೆನು.
[IRV | KN | OT | Psalms | Chapter 119 | Verse 16] ನಿನ್ನ ನಿಬಂಧನೆಗಳಲ್ಲಿ ಉಲ್ಲಾಸಪಡುವೆನು, ನಿನ್ನ ವಾಕ್ಯವನ್ನು ಮರೆಯುವುದಿಲ್ಲ. ಗಿಮೆಲ್.
[IRV | KN | OT | Psalms | Chapter 119 | Verse 17] ನಿನ್ನ ಸೇವಕನಾದ ನನ್ನ ಮೇಲೆ ದಯವಿಡು, ಆಗ ಜೀವದಿಂದಿದ್ದು ನಿನ್ನ ವಾಕ್ಯವನ್ನು ಕೈಗೊಳ್ಳುವೆನು.
[IRV | KN | OT | Psalms | Chapter 119 | Verse 18] ನನ್ನ ಕಣ್ಣುಗಳನ್ನು ತೆರೆ, ಆಗ ನಿನ್ನ ಧರ್ಮಶಾಸ್ತ್ರದ ಅದ್ಭುತಗಳನ್ನು ಕಂಡುಕೊಳ್ಳುವೆನು.
[IRV | KN | OT | Psalms | Chapter 119 | Verse 19] ನಾನು ಭೂಲೋಕದಲ್ಲಿ ಪ್ರವಾಸಿಯಾಗಿದ್ದೇನೆ, ನಿನ್ನ ಆಜ್ಞೆಗಳನ್ನು ನನಗೆ ಮರೆಮಾಡಬೇಡ.
