[IRV | KN | OT | Psalms | Chapter 2 | Verse 1] ಅನ್ಯಜನಾಂಗಗಳು ದಂಗೆಗೆ ಏಳುವುದೂ, ಜನಾಂಗಗಳು ವ್ಯರ್ಥಕಾರ್ಯಗಳನ್ನು ಯೋಚಿಸುವುದೂ ಏಕೆ?
[IRV | KN | OT | Psalms | Chapter 2 | Verse 2] ಅರಸರು ಒಟ್ಟಾಗಿ ಸೇರಿ ಆಲೋಚಿಸುತ್ತಿದ್ದಾರೆ. ದೇಶಾಧಿಪತಿಗಳು ಯೆಹೋವನಿಗೂ ಮತ್ತು ಆತನಿಂದ ಅಭಿಷೇಕಿಸಲ್ಪಟ್ಟವನಿಗೂ ವಿರುದ್ಧವಾಗಿ ಸನ್ನದ್ಧರಾಗಿ ನಿಂತಿದ್ದಾರೆ,
[IRV | KN | OT | Psalms | Chapter 2 | Verse 3] “ನಮಗೆ ಅವರು ಹಾಕಿದ ಬಂಧನಗಳನ್ನು ಕಿತ್ತುಹಾಕಿ, ಬೇಡಿಗಳನ್ನು ಮುರಿದು ಬಿಸಾಡೋಣ” ಎಂದು ಮಾತನಾಡಿಕೊಳ್ಳುತ್ತಾರಲ್ಲಾ.
[IRV | KN | OT | Psalms | Chapter 2 | Verse 4] ಪರಲೋಕದಲ್ಲಿ ಆಸೀನನಾಗಿರುವಾತನು ಅದಕ್ಕೆ ನಗುವನು; ಕರ್ತನು ಅವರನ್ನು ಪರಿಹಾಸ್ಯಮಾಡುವನು.
[IRV | KN | OT | Psalms | Chapter 2 | Verse 5] ಅನಂತರ ಆತನು ಸಿಟ್ಟಾಗಿ, ಕೋಪಾವೇಶದಿಂದ ಅವರನ್ನು ಕಳವಳಗೊಳಿಸಿ,
[IRV | KN | OT | Psalms | Chapter 2 | Verse 6] “ನಾನು ನೇಮಿಸಿದ ಅರಸನನ್ನು ಚೀಯೋನೆಂಬ ನನ್ನ ಪರಿಶುದ್ಧ ಪರ್ವತದಲ್ಲಿಯೇ ಸ್ಥಾಪಿಸಿದ್ದಾಯಿತು” ಎಂದು ಹೇಳುವನು.
[IRV | KN | OT | Psalms | Chapter 2 | Verse 7] ನಾನು ಯೆಹೋವನ ಆಜ್ಞೆಯನ್ನು ತಿಳಿಸುತ್ತೇನೆ, ಕೇಳಿರಿ; ಆತನು ನನಗೆ, “ನನಗೆ ನೀನು ಮಗನು; ನಾನೇ ಈ ಹೊತ್ತು ನಿನ್ನನ್ನು ಪಡೆದಿದ್ದೇನೆ.
[IRV | KN | OT | Psalms | Chapter 2 | Verse 8] ನೀನು ಕೇಳಿಕೊಂಡರೆ ನಾನು ಅನ್ಯಜನಗಳನ್ನೆಲ್ಲಾ ನಿನಗೆ ಅಧೀನಮಾಡುವೆನು; ಭೂಮಿಯ ಕಟ್ಟಕಡೆಯವರೆಗೂ ಇರುವ ಎಲ್ಲಾ ದೇಶಗಳನ್ನೂ ನಿನಗೆ ಸ್ವತ್ತಾಗಿ ಕೊಡುವೆನು.
[IRV | KN | OT | Psalms | Chapter 2 | Verse 9] ನೀನು ಕಬ್ಬಿಣದ ಗದೆಯಿಂದ ಅವರನ್ನು ನಾಶಮಾಡುವಿ; ಮಣ್ಣಿನ ಮಡಿಕೆಗಳನ್ನೋ ಎಂಬಂತೆ ಅವರನ್ನು ಒಡೆದುಹಾಕುವಿ” ಎಂದು ಹೇಳಿದನು.
[IRV | KN | OT | Psalms | Chapter 2 | Verse 10] ಆದುದರಿಂದ ಅರಸುಗಳಿರಾ, ವಿವೇಕಿಗಳಾಗಿರಿ; ದೇಶಾಧಿಪತಿಗಳಿರಾ, ಬುದ್ಧಿವಾದಕ್ಕೆ ಕಿವಿಗೊಡಿರಿ.
[IRV | KN | OT | Psalms | Chapter 2 | Verse 11] ಯೆಹೋವನನ್ನು ಭಯಭಕ್ತಿಯಿಂದ ಸೇವಿಸಿರಿ; ನಡುಗುತ್ತಾ ಉಲ್ಲಾಸಪಡಿರಿ.
[IRV | KN | OT | Psalms | Chapter 2 | Verse 12] ಆತನ ಮಗನಿಗೆ ಮುದ್ದಿಡಿರಿ; ಇಲ್ಲವಾದರೆ ಯೆಹೋವನ ಕೋಪವು ಬೇಗನೆ ಪ್ರಜ್ವಲಿಸಲು ನೀವು ದಾರಿಯಲ್ಲೇ ನಾಶವಾದೀರಿ. ಯೆಹೋವನನ್ನು ಆಶ್ರಯಿಸುವವರೆಲ್ಲರು ಧನ್ಯರು.
