[IRV | KN | OT | Psalms | Chapter 76 | Verse 1] ದೇವರು ಯೆಹೂದ ದೇಶದಲ್ಲಿ ಪ್ರಸಿದ್ಧಗೊಂಡವನು; ಇಸ್ರಾಯೇಲರಲ್ಲಿ ಆತನ ನಾಮವು ದೊಡ್ಡದು.
[IRV | KN | OT | Psalms | Chapter 76 | Verse 2] ಸಾಲೇಮಿನಲ್ಲಿ ಆತನ ಬಿಡಾರವಿದೆ; ಚೀಯೋನಿನಲ್ಲಿ ಆತನು ವಾಸಿಸುತ್ತಾನೆ.
[IRV | KN | OT | Psalms | Chapter 76 | Verse 3] ಅಲ್ಲಿ ಆತನು ಮಿಂಚಿನಂತೆ ಹಾರಿ ಬರುವ ಬಾಣಗಳನ್ನೂ, ಗುರಾಣಿ, ಖಡ್ಗ ಮುಂತಾದ ಯುದ್ಧ ಆಯುಧಗಳನ್ನೂ ಮುರಿದುಬಿಟ್ಟಿದ್ದಾನೆ. ಸೆಲಾ
[IRV | KN | OT | Psalms | Chapter 76 | Verse 4] ನೀನು ತೇಜೋಮಯನು; ಕೊಳ್ಳೆಹೊಡೆದ ಬೆಟ್ಟಗಳಿಗಿಂತ ಘನ ಗಾಂಭೀರ್ಯಯುಳ್ಳವನು.
[IRV | KN | OT | Psalms | Chapter 76 | Verse 5] ಧೀರಹೃದಯರು ಸುಲಿಗೆಯಾಗಿ ದೀರ್ಘನಿದ್ರೆ ಮಾಡಿದ್ದಾರೆ; ಎಲ್ಲಾ ಶೂರರ ಕೈಗಳು ಬಿದ್ದುಹೋದವು.
[IRV | KN | OT | Psalms | Chapter 76 | Verse 6] ಯಾಕೋಬ ವಂಶದವರ ದೇವರೇ, ನಿನ್ನ ಗದರಿಕೆಯಿಂದ ರಥಬಲವೂ, ಅಶ್ವಬಲವೂ ಮೈಮರೆತು ಹೋದವು.
[IRV | KN | OT | Psalms | Chapter 76 | Verse 7] ನೀನು ಮಹಾಶಕ್ತಿಶಾಲಿ; ನೀನು ಸಿಟ್ಟುಗೊಂಡಾಗ ನಿನ್ನ ಮುಂದೆ ಯಾರು ನಿಂತಾರು?
[IRV | KN | OT | Psalms | Chapter 76 | Verse 8] ಪರಲೋಕದಲ್ಲಿರುವ ನೀನು ನಿನ್ನ ನ್ಯಾಯವಿಧಿಯನ್ನು ಆಜ್ಞಾಪಿಸುವಾಗ,
[IRV | KN | OT | Psalms | Chapter 76 | Verse 9] ದೇವರು ಲೋಕದ ದೀನರನ್ನು ರಕ್ಷಿಸಿ, ನ್ಯಾಯವನ್ನು ಸ್ಥಾಪಿಸುವುದಕ್ಕೋಸ್ಕರ ಎದ್ದು ಬಂದಿದ್ದಾನೆಂದು ಭೂನಿವಾಸಿಗಳು ಭಯದಿಂದ ಸ್ತಬ್ಧರಾದರು. ಸೆಲಾ
[IRV | KN | OT | Psalms | Chapter 76 | Verse 10] ಮನುಷ್ಯರ ಮೇಲಿನ ಕೋಪವೂ ನಿನ್ನ ಘನತೆಗೆ ಸಾಧನವಾಗುವುದು; ಕೋಪಶೇಷವನ್ನು ನಡುಕಟ್ಟಿನಂತೆ ಬಿಗಿದುಕೊಳ್ಳುವಿ.
[IRV | KN | OT | Psalms | Chapter 76 | Verse 11] ನಿಮ್ಮ ದೇವನಾದ ಯೆಹೋವನಿಗೆ ಹರಕೆಮಾಡಿ ಸಲ್ಲಿಸಿರಿ; ಅವನ ಸುತ್ತಲಿರುವ ಜನರು ಮಹಾಮಹಿಮನಿಗೆ ಕಾಣಿಕೆಗಳನ್ನು ಸಮರ್ಪಿಸಲಿ.
[IRV | KN | OT | Psalms | Chapter 76 | Verse 12] ಆತನು ಭೂಪತಿಗಳಿಗೆ ಭಯಪ್ರದರಾಗಿದ್ದ ಪ್ರಭುಗಳ ಅಹಂಭಾವವನ್ನು ಮುರಿದುಬಿಡುವನು.
