[YLT | EN | OT | Ezra | Chapter 2 | Verse 1] And these [are] sons of the province who are going up — of the captives of the removal that Nebuchadnezzar king of Babylon removed to Babylon, and they turn back to Jerusalem and Judah, each to his city —
[YLT | EN | OT | Ezra | Chapter 2 | Verse 2] who have come in with Zerubbabel, Jeshua, Nehemiah, Seraiah, Reelaiah, Mordecai, Bilshan, Mispar, Bigvai, Rehum, Baanah: The number of the men of the people of Israel:
[YLT | EN | OT | Ezra | Chapter 2 | Verse 3] Sons of Parosh, two thousand a hundred seventy and two.
[YLT | EN | OT | Ezra | Chapter 2 | Verse 4] Sons of Shephatiah, three hundred seventy and two.
[YLT | EN | OT | Ezra | Chapter 2 | Verse 5] Sons of Arah, seven hundred five and seventy.
[YLT | EN | OT | Ezra | Chapter 2 | Verse 6] Sons of Pahath-Moab, of the sons of Jeshua, Joab, two thousand eight hundred and twelve.
[YLT | EN | OT | Ezra | Chapter 2 | Verse 7] Sons of Elam, a thousand two hundred fifty and four.
[YLT | EN | OT | Ezra | Chapter 2 | Verse 8] Sons of Zattu, nine hundred and forty and five.
[YLT | EN | OT | Ezra | Chapter 2 | Verse 9] Sons of Zaccai, seven hundred and sixty.
[YLT | EN | OT | Ezra | Chapter 2 | Verse 10] Sons of Bani, six hundred forty and two.
[YLT | EN | OT | Ezra | Chapter 2 | Verse 11] Sons of Bebai, six hundred twenty and three.
[YLT | EN | OT | Ezra | Chapter 2 | Verse 12] Sons of Azgad, a thousand two hundred twenty and two.
[YLT | EN | OT | Ezra | Chapter 2 | Verse 13] Sons of Adonikam, six hundred sixty and six.
[YLT | EN | OT | Ezra | Chapter 2 | Verse 14] Sons of Bigvai, two thousand fifty and six.
[YLT | EN | OT | Ezra | Chapter 2 | Verse 15] Sons of Adin, four hundred fifty and four.
[YLT | EN | OT | Ezra | Chapter 2 | Verse 16] Sons of Ater of Hezekiah, ninety and eight.
[YLT | EN | OT | Ezra | Chapter 2 | Verse 17] Sons of Bezai, three hundred twenty and three.
[YLT | EN | OT | Ezra | Chapter 2 | Verse 18] Sons of Jorah, a hundred and twelve.
[YLT | EN | OT | Ezra | Chapter 2 | Verse 19] Sons of Hashum, two hundred twenty and three.
[YLT | EN | OT | Ezra | Chapter 2 | Verse 20] Sons of Gibbar, ninety and five.
[YLT | EN | OT | Ezra | Chapter 2 | Verse 21] Sons of Beth-Lehem, a hundred twenty and three.
[YLT | EN | OT | Ezra | Chapter 2 | Verse 22] Men of Netophah, fifty and six.
[YLT | EN | OT | Ezra | Chapter 2 | Verse 23] Men of Anathoth, a hundred twenty and eight.
[YLT | EN | OT | Ezra | Chapter 2 | Verse 24] Sons of Azmaveth, forty and two.
[YLT | EN | OT | Ezra | Chapter 2 | Verse 25] Sons of Kirjath-Arim, Chephirah, and Beeroth, seven hundred and forty and three.
[YLT | EN | OT | Ezra | Chapter 2 | Verse 26] Sons of Ramah and Gaba, six hundred twenty and one.
[YLT | EN | OT | Ezra | Chapter 2 | Verse 27] Men of Michmas, a hundred twenty and two.
[YLT | EN | OT | Ezra | Chapter 2 | Verse 28] Men of Beth-El and Ai, two hundred twenty and three.
[YLT | EN | OT | Ezra | Chapter 2 | Verse 29] Sons of Nebo, fifty and two.
[YLT | EN | OT | Ezra | Chapter 2 | Verse 30] Sons of Magbish, a hundred fifty and six.
[YLT | EN | OT | Ezra | Chapter 2 | Verse 31] Sons of another Elam, a thousand two hundred fifty and four.
[YLT | EN | OT | Ezra | Chapter 2 | Verse 32] Sons of Harim, three hundred and twenty.
[YLT | EN | OT | Ezra | Chapter 2 | Verse 33] Sons of Lod, Hadid, and Ono, seven hundred twenty and five.
[YLT | EN | OT | Ezra | Chapter 2 | Verse 34] Sons of Jericho, three hundred forty and five.
[YLT | EN | OT | Ezra | Chapter 2 | Verse 35] Sons of Senaah, three thousand and six hundred and thirty.
[YLT | EN | OT | Ezra | Chapter 2 | Verse 36] The Priests: sons of Jedaiah, of the house of Jeshua, nine hundred seventy and three.
[YLT | EN | OT | Ezra | Chapter 2 | Verse 37] Sons of Imner, a thousand fifty and two.
[YLT | EN | OT | Ezra | Chapter 2 | Verse 38] Sons of Pashhur, a thousand two hundred forty and seven.
[YLT | EN | OT | Ezra | Chapter 2 | Verse 39] Sons of Harim, a thousand and seventeen.
[YLT | EN | OT | Ezra | Chapter 2 | Verse 40] The Levites; sons of Jeshua and Kadmiel, of the sons of Hodaviah, seventy and four.
[YLT | EN | OT | Ezra | Chapter 2 | Verse 41] The singers: sons of Asaph, a hundred twenty and eight.
[YLT | EN | OT | Ezra | Chapter 2 | Verse 42] Sons of the gatekeepers; sons of Shallum, sons of Ater, sons of Talmon, sons of Akkub, sons of Hatita, sons of Shobai, the whole [are] a hundred thirty and nine.
[YLT | EN | OT | Ezra | Chapter 2 | Verse 43] The Nethinim: sons of Ziha, sons of Hasupha, sons of Tabbaoth,
[YLT | EN | OT | Ezra | Chapter 2 | Verse 44] Sons of Keros, sons of Siaha, sons of Padon,
[YLT | EN | OT | Ezra | Chapter 2 | Verse 45] Sons of Lebanah, sons of Hagabah, sons of Akkub,
[YLT | EN | OT | Ezra | Chapter 2 | Verse 46] Sons of Hagab, sons of Shalmai, sons of Hanan,
[YLT | EN | OT | Ezra | Chapter 2 | Verse 47] Sons of Giddel, sons of Gahar, sons of Reaiah,
[YLT | EN | OT | Ezra | Chapter 2 | Verse 48] Sons of Rezin, sons of Nekoda, sons of Gazzam,
[YLT | EN | OT | Ezra | Chapter 2 | Verse 49] Sons of Uzza, sons of Paseah, sons of Besai,
[YLT | EN | OT | Ezra | Chapter 2 | Verse 50] Sons of Asnah, sons of Mehunim, sons of Nephusim,
[YLT | EN | OT | Ezra | Chapter 2 | Verse 51] Sons of Bakbuk, sons of Hakupha, sons of Harhur,
[YLT | EN | OT | Ezra | Chapter 2 | Verse 52] Sons of Bazluth, sons of Mehida, sons of Harsha,
[YLT | EN | OT | Ezra | Chapter 2 | Verse 53] Sons of Barkos, sons of Sisera, sons of Thamah,
[YLT | EN | OT | Ezra | Chapter 2 | Verse 54] Sons of Neziah, sons of Hatipha.
[YLT | EN | OT | Ezra | Chapter 2 | Verse 55] Sons of the servants of Solomon: sons of Sotai, sons of Sophereth, sons of Peruda,
[YLT | EN | OT | Ezra | Chapter 2 | Verse 56] Sons of Jaalah, sons of Darkon, sons of Giddel,
[YLT | EN | OT | Ezra | Chapter 2 | Verse 57] Sons of Shephatiah, sons of Hattil, sons of Pochereth of Zebaim, sons of Ami.
[YLT | EN | OT | Ezra | Chapter 2 | Verse 58] All the Nethinim, and the sons of the servants of Solomon [are] three hundred ninety and two.
[YLT | EN | OT | Ezra | Chapter 2 | Verse 59] And these [are] those going up from Tel-Melah, Tel-Harsa, Cherub, Addan, Immer, and they have not been able to declare the house of their fathers, and their seed, whether they [are] of Israel:
[YLT | EN | OT | Ezra | Chapter 2 | Verse 60] sons of Delaiah, sons of Tobiah, sons of Nekoda, six hundred fifty and two.
[YLT | EN | OT | Ezra | Chapter 2 | Verse 61] And of the sons of the priests: sons of Habaiah, sons of Koz, sons of Barzillai (who took from the daughters of Barzillai the Gileadite a wife, and is called by their name;)
[YLT | EN | OT | Ezra | Chapter 2 | Verse 62] these have sought their register among those reckoning themselves by genealogy, and they have not been found, and they are redeemed from the priesthood,
[YLT | EN | OT | Ezra | Chapter 2 | Verse 63] and the Tirshatha saith to them, that they eat not of the most holy things till the standing up of a priest with Urim and with Thummim.
[YLT | EN | OT | Ezra | Chapter 2 | Verse 64] All the assembly together [is] four myriad two thousand three hundred sixty,
[YLT | EN | OT | Ezra | Chapter 2 | Verse 65] apart from their servants and their handmaids; these [are] seven thousand three hundred thirty and seven: and of them [are] singers and songstresses two hundred.
[YLT | EN | OT | Ezra | Chapter 2 | Verse 66] Their horses [are] seven hundred thirty and six, their mules, two hundred forty and five,
[YLT | EN | OT | Ezra | Chapter 2 | Verse 67] their camels, four hundred thirty and five, asses, six thousand seven hundred and twenty.
[YLT | EN | OT | Ezra | Chapter 2 | Verse 68] And some of the heads of the fathers in their coming in to the house of Jehovah that [is] in Jerusalem, have offered willingly for the house of God, to establish it on its base;
[YLT | EN | OT | Ezra | Chapter 2 | Verse 69] according to their power they have given to the treasure of the work; of gold, drams six myriads and a thousand, and of silver, pounds five thousand, and of priests' coats, a hundred.
[YLT | EN | OT | Ezra | Chapter 2 | Verse 70] And the priests dwell, and the Levites, and of the people, and the singers, and the gatekeepers, and the Nethinim, in their cities; even all Israel in their cities.
