[IRV | PA | OT | Ruth | Chapter 2 | Verse 1] ਨਾਓਮੀ ਦੇ ਪਤੀ ਦਾ ਇੱਕ ਰਿਸ਼ਤੇਦਾਰ ਸੀ, ਜੋ ਅਲੀਮਲਕ ਦੇ ਘਰਾਣੇ ਵਿੱਚ ਬਹੁਤ ਧਨਵਾਨ ਸੀ ਅਤੇ ਉਹ ਦਾ ਨਾਮ ਬੋਅਜ਼ ਸੀ।
[IRV | PA | OT | Ruth | Chapter 2 | Verse 2] ਤਦ ਮੋਆਬਣ ਰੂਥ ਨੇ ਨਾਓਮੀ ਨੂੰ ਕਿਹਾ, “ਜੇ ਤੂੰ ਮੈਨੂੰ ਆਗਿਆ ਦੇਵੇਂ ਤਾਂ ਮੈਂ ਖੇਤਾਂ ਵਿੱਚ ਜਾਂਵਾਂ ਅਤੇ ਜਿਸ ਦੀ ਨਿਗਾਹ ਵਿੱਚ ਮੈਂ ਕਿਰਪਾ ਪਾਵਾਂ ਉਸ ਦੇ ਖੇਤ ਵਿੱਚੋਂ ਸਿੱਟੇ ਚੁੱਗ ਲਿਆਵਾਂ।” ਨਾਓਮੀ ਨੇ ਉਸ ਨੂੰ ਕਿਹਾ, “ਜਾ ਮੇਰੀਏ ਧੀਏ!”
[IRV | PA | OT | Ruth | Chapter 2 | Verse 3] ਤਦ ਉਹ ਗਈ ਅਤੇ ਖੇਤ ਵਿੱਚ ਜਾ ਕੇ ਵਾਢਿਆਂ ਦੇ ਪਿੱਛੇ ਸਿੱਟੇ ਚੁਗਣ ਲੱਗੀ ਅਤੇ ਸਬੱਬ ਨਾਲ ਉਹ ਅਲੀਮਲਕ ਦੇ ਰਿਸ਼ਤੇਦਾਰ ਬੋਅਜ਼ ਦੇ ਖੇਤ ਵਿੱਚ ਜਾ ਵੜੀ।
[IRV | PA | OT | Ruth | Chapter 2 | Verse 4] ਅਤੇ ਵੇਖੋ, ਜਦ ਬੋਅਜ਼ ਬੈਤਲਹਮ ਤੋਂ ਆਇਆ ਤਾਂ ਵਾਢਿਆਂ ਨੂੰ ਕਿਹਾ, “ਯਹੋਵਾਹ ਤੁਹਾਡੇ ਨਾਲ ਹੋਵੇ” ਅਤੇ ਉਨ੍ਹਾਂ ਨੇ ਉੱਤਰ ਦਿੱਤਾ, “ਯਹੋਵਾਹ ਤੁਹਾਨੂੰ ਅਸੀਸ ਦੇਵੇ।”
[IRV | PA | OT | Ruth | Chapter 2 | Verse 5] ਫਿਰ ਬੋਅਜ਼ ਨੇ ਉਸ ਸੇਵਕ ਤੋਂ ਜੋ ਵਾਢਿਆਂ ਦੇ ਉੱਤੇ ਨਿਯੁਕਤ ਸੀ ਪੁੱਛਿਆ, “ਇਹ ਕਿਸ ਦੀ ਕੁੜੀ ਹੈ?”
[IRV | PA | OT | Ruth | Chapter 2 | Verse 6] ਸੇਵਕ ਨੇ ਜੋ ਵਾਢਿਆਂ ਦੇ ਉੱਤੇ ਨਿਯੁਕਤ ਸੀ ਉੱਤਰ ਦੇ ਕੇ ਆਖਿਆ, “ਇਹ ਮੋਆਬਣ ਕੁੜੀ ਹੈ, ਜੋ ਨਾਓਮੀ ਦੇ ਨਾਲ ਮੋਆਬ ਦੇਸ ਤੋਂ ਆਈ ਹੈ।”
[IRV | PA | OT | Ruth | Chapter 2 | Verse 7] ਉਸ ਨੇ ਸਾਨੂੰ ਕਿਹਾ, “ਮੈਨੂੰ ਵਾਢਿਆਂ ਦੇ ਪਿੱਛੇ ਪੂਲਿਆਂ ਦੇ ਵਿਚਕਾਰ ਸਿੱਟੇ ਚੁਗਣ ਅਤੇ ਇਕੱਠਾ ਕਰਨ ਦਿਓ?” ਤਦ ਉਹ ਆਈ ਅਤੇ ਸਵੇਰ ਤੋਂ ਹੁਣ ਤੱਕ ਕੰਮ ਵਿੱਚ ਲੱਗੀ ਰਹੀ, ਥੋੜਾ ਜਿਹਾ ਅਰਾਮ ਕਰਨ ਲਈ ਕੋਠਰੀ ਵਿੱਚ ਠਹਿਰੀ।
[IRV | PA | OT | Ruth | Chapter 2 | Verse 8] ਤਦ ਬੋਅਜ਼ ਨੇ ਰੂਥ ਨੂੰ ਕਿਹਾ, “ਹੇ ਮੇਰੀਏ ਧੀਏ, ਤੂੰ ਮੇਰੀ ਗੱਲ ਸੁਣ? ਤੂੰ ਹੋਰ ਕਿਸੇ ਦੇ ਖੇਤ ਵਿੱਚ ਸਿੱਟੇ ਚੁਗਣ ਲਈ ਨਾ ਜਾਵੀਂ ਅਤੇ ਇੱਥੋਂ ਨਾ ਨਿੱਕਲ ਸਗੋਂ ਇਸੇ ਤਰ੍ਹਾਂ ਮੇਰੀਆਂ ਦਾਸੀਆਂ ਦੇ ਨਾਲ-ਨਾਲ ਰਹਿ।
[IRV | PA | OT | Ruth | Chapter 2 | Verse 9] ਇਸੇ ਖੇਤ ਵੱਲ, ਜਿਸ ਨੂੰ ਉਹ ਵੱਢਦੇ ਹਨ ਧਿਆਨ ਰੱਖ ਅਤੇ ਮੇਰੀਆਂ ਦਾਸੀਆਂ ਦੇ ਪਿੱਛੇ-ਪਿੱਛੇ ਤੁਰਦੀ ਜਾ। ਭਲਾ, ਮੈਂ ਇਨ੍ਹਾਂ ਜੁਆਨਾਂ ਨੂੰ ਆਗਿਆ ਨਹੀਂ ਦਿੱਤੀ, ਕਿ ਉਹ ਤੈਨੂੰ ਨਾ ਛੇੜਨ ਅਤੇ ਜਦੋਂ ਤੈਨੂੰ ਪਿਆਸ ਲੱਗੇ ਤਾਂ ਉਨ੍ਹਾਂ ਘੜਿਆਂ ਵਿੱਚੋਂ ਜਾ ਕੇ ਪੀ ਲਵੀਂ ਜੋ ਮੇਰੇ ਜੁਆਨਾਂ ਨੇ ਭਰੇ ਹਨ।”
[IRV | PA | OT | Ruth | Chapter 2 | Verse 10] ਤਦ ਰੂਥ ਨੇ ਮੂੰਹ ਦੇ ਭਾਰ ਧਰਤੀ ਉੱਤੇ ਝੁੱਕ ਕੇ ਮੱਥਾ ਟੇਕਿਆ ਅਤੇ ਕਿਹਾ, “ਕੀ ਕਾਰਨ ਹੈ ਜੋ ਮੈਂ ਤੇਰੀ ਨਿਗਾਹ ਵਿੱਚ ਕਿਰਪਾ ਪਾਈ ਅਤੇ ਤੂੰ ਮੇਰੇ ਵੱਲ ਧਿਆਨ ਕੀਤਾ? ਮੈਂ ਤਾਂ ਪਰਦੇਸਣ ਹਾਂ।”
[IRV | PA | OT | Ruth | Chapter 2 | Verse 11] ਤਦ ਬੋਅਜ਼ ਨੇ ਉੱਤਰ ਦੇ ਕੇ ਉਸ ਨੂੰ ਕਿਹਾ, “ਮੈਨੂੰ ਉਸ ਸਾਰੀ ਗੱਲ ਦੀ ਖ਼ਬਰ ਹੈ ਜੋ ਤੂੰ ਆਪਣੇ ਪਤੀ ਦੇ ਮਰਨ ਤੋਂ ਬਾਅਦ ਆਪਣੀ ਸੱਸ ਨਾਲ ਕੀਤੀ ਅਤੇ ਕਿਸ ਤਰ੍ਹਾਂ ਤੂੰ ਆਪਣੇ ਮਾਤਾ-ਪਿਤਾ ਅਤੇ ਆਪਣੀ ਜਨਮ ਭੂਮੀ ਨੂੰ ਛੱਡਿਆ ਅਤੇ ਇਨ੍ਹਾਂ ਲੋਕਾਂ ਵਿੱਚ ਆਈ, ਜਿਨ੍ਹਾਂ ਨੂੰ ਤੂੰ ਪਹਿਲਾਂ ਨਹੀਂ ਜਾਣਦੀ ਸੀ।
