[WEBSTER | EN | OT | Numbers | Chapter 2 | Verse 1] And the LORD spoke to Moses and to Aaron, saying,
[WEBSTER | EN | OT | Numbers | Chapter 2 | Verse 2] Every man of the children of Israel shall pitch by his own standard, with the ensign of their father's house: far off about the tabernacle of the congregation shall they pitch.
[WEBSTER | EN | OT | Numbers | Chapter 2 | Verse 3] And on the east side towards the rising of the sun shall they of the standard of the camp of Judah pitch throughout their armies: and Nahshon the son of Amminadab shall be captain of the children of Judah.
[WEBSTER | EN | OT | Numbers | Chapter 2 | Verse 4] And his host, and those that were numbered of them, were seventy and four thousand and six hundred.
[WEBSTER | EN | OT | Numbers | Chapter 2 | Verse 5] And those that shall pitch next to him, shall be the tribe of Issachar: and Nethaneel the son of Zuar shall be captain of the children of Issachar.
[WEBSTER | EN | OT | Numbers | Chapter 2 | Verse 6] And his host, and those that were numbered of it, were fifty and four thousand and four hundred.
[WEBSTER | EN | OT | Numbers | Chapter 2 | Verse 7] Then the tribe of Zebulun: and Eliab the son of Helon shall be captain of the children of Zebulun.
[WEBSTER | EN | OT | Numbers | Chapter 2 | Verse 8] And his host, and those that were numbered of it, were fifty and seven thousand and four hundred.
[WEBSTER | EN | OT | Numbers | Chapter 2 | Verse 9] All that were numbered in the camp of Judah were a hundred thousand and eighty thousand and six thousand and four hundred throughout their armies: these shall first move forward.
[WEBSTER | EN | OT | Numbers | Chapter 2 | Verse 10] On the south side shall be the standard of the camp of Reuben according to their armies: and the captain of the children of Reuben shall be Elizur the son of Shedeur.
[WEBSTER | EN | OT | Numbers | Chapter 2 | Verse 11] And his host, and those that were numbered of it were forty and six thousand and five hundred.
[WEBSTER | EN | OT | Numbers | Chapter 2 | Verse 12] And those who pitch by him shall be the tribe of Simeon: and the captain of the children of Simeon shall be Shelumiel the son of Zurishaddai.
[WEBSTER | EN | OT | Numbers | Chapter 2 | Verse 13] And his host, and those that were numbered of them, were fifty and nine thousand and three hundred.
[WEBSTER | EN | OT | Numbers | Chapter 2 | Verse 14] Then the tribe of Gad: and the captain of the sons of Gad shall be Eliasaph the son of Reuel.
[WEBSTER | EN | OT | Numbers | Chapter 2 | Verse 15] And his host, and those that were numbered of them, were forty and five thousand and six hundred and fifty.
[WEBSTER | EN | OT | Numbers | Chapter 2 | Verse 16] All that were numbered in the camp of Reuben were a hundred thousand and fifty and one thousand and four hundred and fifty, throughout their armies: and they shall move forward in the second rank.
[WEBSTER | EN | OT | Numbers | Chapter 2 | Verse 17] Then the tabernacle of the congregation shall move forward with the camp of the Levites, in the midst of the camp: as they encamp, so shall they move forward, every man in his place by their standards.
[WEBSTER | EN | OT | Numbers | Chapter 2 | Verse 18] On the west side shall be the standard of the camp of Ephraim, according to their armies: and the captain of the sons of Ephraim shall be Elishama the son of Ammihud.
[WEBSTER | EN | OT | Numbers | Chapter 2 | Verse 19] And his host, and those that were numbered of them, were forty thousand and five hundred.
[WEBSTER | EN | OT | Numbers | Chapter 2 | Verse 20] And by him shall be the tribe of Manasseh: and the captain of the children of Manasseh shall be Gamaliel the son of Pedahzur.
[WEBSTER | EN | OT | Numbers | Chapter 2 | Verse 21] And his host, and those that were numbered of them, were thirty and two thousand and two hundred.
[WEBSTER | EN | OT | Numbers | Chapter 2 | Verse 22] Then the tribe of Benjamin: and the captain of the sons of Benjamin shall be Abidan the son of Gideoni.
[WEBSTER | EN | OT | Numbers | Chapter 2 | Verse 23] And his host, and those that were numbered of them, were thirty and five thousand and four hundred.
[WEBSTER | EN | OT | Numbers | Chapter 2 | Verse 24] All that were numbered of the camp of Ephraim, were a hundred thousand and eight thousand and a hundred, throughout their armies: and they shall go forward in the third rank.
[WEBSTER | EN | OT | Numbers | Chapter 2 | Verse 25] The standard of the camp of Dan shall be on the north side by their armies: and the captain of the children of Dan shall be Ahiezer the son of Ammishaddai.
[WEBSTER | EN | OT | Numbers | Chapter 2 | Verse 26] And his host, and those that were numbered of them, were sixty and two thousand and seven hundred.
[WEBSTER | EN | OT | Numbers | Chapter 2 | Verse 27] And those that encamp by him shall be the tribe of Asher: and the captain of the children of Asher shall be Pagiel the son of Ocran.
[WEBSTER | EN | OT | Numbers | Chapter 2 | Verse 28] And his host, and those that were numbered of them, were forty and one thousand and five hundred.
[WEBSTER | EN | OT | Numbers | Chapter 2 | Verse 29] Then the tribe of Naphtali: and the captain of the children of Naphtali shall be Ahira the son of Enan.
[WEBSTER | EN | OT | Numbers | Chapter 2 | Verse 30] And his host, and those that were numbered of them, were fifty and three thousand and four hundred.
[WEBSTER | EN | OT | Numbers | Chapter 2 | Verse 31] All they that were numbered in the camp of Dan were a hundred thousand and fifty and seven thousand and six hundred: they shall go hindmost with their standards.
[WEBSTER | EN | OT | Numbers | Chapter 2 | Verse 32] These are those who were numbered of the children of Israel by the house of their fathers. All those that were numbered of the camps throughout their hosts, were six hundred thousand and three thousand and five hundred and fifty.
[WEBSTER | EN | OT | Numbers | Chapter 2 | Verse 33] But the Levites were not numbered among the children of Israel; as the LORD commanded Moses.
[WEBSTER | EN | OT | Numbers | Chapter 2 | Verse 34] And the children of Israel did according to all that the LORD commanded Moses: so they pitched by their standards, and so they moved forward, every one after their families, according to the house of their fathers.
