[IRV | UR | OT | Exodus | Chapter 6 | Verse 1] तब ख़ुदावन्द ने मूसा से कहा, कि 'अब तू देखेगा कि मैं फ़िर'औन के साथ क्या करता हूँ, तब वह ताक़तवर हाथ की वजह से उनको जाने देगा और ताक़तवर हाथ ही की वजह से वह उनको अपने मुल्क से निकाल देगा।
[IRV | UR | OT | Exodus | Chapter 6 | Verse 2] फिर ख़ुदा ने मूसा से कहा, कि मैं ख़ुदावन्द हूँ।
[IRV | UR | OT | Exodus | Chapter 6 | Verse 3] और मैं अब्रहाम और इस्हाक़ और या'क़ूब को ख़ुदा — ए — क़ादिर — ए — मुतलक के तौर पर दिखाई दिया, लेकिन अपने यहोवा नाम से उन पर ज़ाहिर न हुआ।
[IRV | UR | OT | Exodus | Chapter 6 | Verse 4] और मैंने उनके साथ अपना 'अहद भी बाँधा है कि मुल्क — ए — कना'न जो उनकी मुसाफ़िरत का मुल्क था और जिसमें वह परदेसी थे उनको दूँगा।
[IRV | UR | OT | Exodus | Chapter 6 | Verse 5] और मैंने बनी — इस्राईल के कराहने को भी सुन कर, जिनको मिस्रियों ने ग़ुलामी में रख छोड़ा है, अपने उस 'अहद को याद किया है।
[IRV | UR | OT | Exodus | Chapter 6 | Verse 6] इसलिए तू बनी — इस्राईल से कह, कि 'मैं ख़ुदावन्द हूँ, और मैं तुम को मिस्रियों के बोझों के नीचे से निकाल लूँगा और मैं तुम को उनकी ग़ुलामी से आज़ाद करूँगा, और मैं अपना हाथ बढ़ा कर और उनको बड़ी — बड़ी सज़ाएँ देकर तुम को रिहाई दूँगा।
[IRV | UR | OT | Exodus | Chapter 6 | Verse 7] और मैं तुम को ले लूँगा कि मेरी क़ौम बन जाओ और मैं तुम्हारा ख़ुदा हूँगा, और तुम जान लोगे के मैं ख़ुदावन्द तुम्हारा ख़ुदा हूँ जो तुम्हें मिस्रियों के बोझों के नीचे से निकालता हूँ।
[IRV | UR | OT | Exodus | Chapter 6 | Verse 8] और जिस मुल्क को अब्रहाम और इस्हाक़ और या'क़ूब को देने की क़सम मैंने खाई थी उसमें तुम को पहुँचा कर उसे तुम्हारी मीरास कर दूँगा। ख़ुदावन्द मैं हूँ।
[IRV | UR | OT | Exodus | Chapter 6 | Verse 9] और मूसा ने बनी — इस्राईल को यह बातें सुना दीं, लेकिन उन्होंने दिल की कुढ़न और ग़ुलामी की सख़्ती की वजह से मूसा की बात न सुनी।
[IRV | UR | OT | Exodus | Chapter 6 | Verse 10] फिर ख़ुदावन्द ने मूसा को फ़रमाया,
[IRV | UR | OT | Exodus | Chapter 6 | Verse 11] कि जा कर मिस्र के बादशाह फ़िर'औन से कह कि बनी — इस्राईल को अपने मुल्क में से जाने दे।
[IRV | UR | OT | Exodus | Chapter 6 | Verse 12] मूसा ने ख़ुदावन्द से कहा, कि “देख, बनी — इस्राईल ने तो मेरी सुनी नहीं; तब मैं जो ना मख़्तून होंट रखता हूँ फ़िर'औन मेरी क्यूँ कर सुनेगा?”
