[IRV | UR | OT | Exodus | Chapter 1 | Verse 1] इस्राईल के बेटों के नाम जो अपने — अपने घराने को लेकर या'क़ूब के साथ मिस्र में आए यह हैं:
[IRV | UR | OT | Exodus | Chapter 1 | Verse 2] रूबिन, शमौन, लावी, यहूदाह,
[IRV | UR | OT | Exodus | Chapter 1 | Verse 3] इश्कार, ज़बूलून, बिनयमीन,
[IRV | UR | OT | Exodus | Chapter 1 | Verse 4] दान, नफ़्ताली, जद्द, आशर
[IRV | UR | OT | Exodus | Chapter 1 | Verse 5] और सब जानें जो या'क़ूब के सुल्ब से पैदा हुई सत्तर थीं, और यूसुफ़ तो मिस्र में पहले ही से था।
[IRV | UR | OT | Exodus | Chapter 1 | Verse 6] और यूसुफ़ और उसके सब भाई और उस नसल के सब लोग मर मिटे।
[IRV | UR | OT | Exodus | Chapter 1 | Verse 7] और इस्राईल की औलाद क़ामयाब और ज़्यादा ता'दाद और फ़िरावान और बहुत ताक़तवर हो गई और वह मुल्क उनसे भर गया।
[IRV | UR | OT | Exodus | Chapter 1 | Verse 8] तब मिस्र में एक नया बादशाह हुआ जो यूसुफ़ को नहीं जानता था।
[IRV | UR | OT | Exodus | Chapter 1 | Verse 9] और उसने अपनी क़ौम के लोगों से कहा, “देखो इस्राईली हम से ज़्यादा और ताक़तवर हो गए हैं।
[IRV | UR | OT | Exodus | Chapter 1 | Verse 10] इसलिए आओ, हम उनके साथ हिकमत से पेश आएँ, ऐसा न हो कि जब वह और ज़्यादा हो जाएँ और उस वक़्त जंग छिड़ जाए तो वह हमारे दुश्मनों से मिल कर हम से लड़ें और मुल्क से निकल जाएँ।”
[IRV | UR | OT | Exodus | Chapter 1 | Verse 11] इसलिए उन्होंने उन पर बेगार लेने वाले मुक़र्रर किए जो उनसे सख़्त काम लेकर उनको सताएँ। तब उन्होंने फ़िर'औन के लिए ज़ख़ीरे के शहर पितोम और रा'मसीस बनाए।
[IRV | UR | OT | Exodus | Chapter 1 | Verse 12] तब उन्होंने जितना उनको सताया वह उतना ही ज़्यादा बढ़ते और फैलते गए, इसलिए वह लोग बनी — इस्राईल की तरफ़ से फ़िक्रमन्द ही गए।
[IRV | UR | OT | Exodus | Chapter 1 | Verse 13] और मिस्रियों ने बनी — इस्राईल पर तशद्दुद कर — कर के उनसे काम कराया।
[IRV | UR | OT | Exodus | Chapter 1 | Verse 14] और उन्होंने उनसे सख़्त मेहनत से गारा और ईंट बनवा — बनवाकर और खेत में हर क़िस्म की ख़िदमत ले — लेकर उनकी ज़िन्दगी कड़वी की; उनकी सब ख़िदमतें जो वह उनसे कराते थे दुख की थीं।
[IRV | UR | OT | Exodus | Chapter 1 | Verse 15] तब मिस्र के बादशाह ने'इब्रानी दाइयों से जिनमें एक का नाम सिफ़रा और दूसरी का नाम फू'आ था बातें की,
[IRV | UR | OT | Exodus | Chapter 1 | Verse 16] और कहा, “जब 'इब्रानी 'औरतों के तुम बच्चा जनाओ और उनको पत्थर की बैठकों पर बैठी देखो, तो अगर बेटा हो तो उसे मार डालना, और अगर बेटी हो तो वह जीती रहे।”
[IRV | UR | OT | Exodus | Chapter 1 | Verse 17] लेकिन वह दाइयाँ ख़ुदा से डरती थीं, तब उन्होंने मिस्र के बादशाह का हुक्म न माना बल्कि लड़कों को ज़िन्दा छोड़ देती थीं।
[IRV | UR | OT | Exodus | Chapter 1 | Verse 18] फिर मिस्र के बादशाह ने दाइयों को बुलवा कर उनसे कहा, “तुम ने ऐसा क्यूँ किया कि लड़कों को ज़िन्दा रहने दिया?”
[IRV | UR | OT | Exodus | Chapter 1 | Verse 19] दाइयों ने फ़िर'औन से कहा, “'इब्रानी 'औरतें मिस्री 'औरतों की तरह नहीं हैं। वह ऐसी मज़बूत होती हैं कि दाइयों के पहुँचने से पहले ही जनकर फ़ारिग़ हो जाती हैं।”
[IRV | UR | OT | Exodus | Chapter 1 | Verse 20] तब ख़ुदा ने दाइयों का भला किया और लोग बढ़े और बहुत ज़बरदस्त हो गए।
[IRV | UR | OT | Exodus | Chapter 1 | Verse 21] और इस वजह से कि दाइयाँ ख़ुदा से डरी, उसने उनके घर आबाद कर दिए।
[IRV | UR | OT | Exodus | Chapter 1 | Verse 22] और फ़िर'औन ने अपनी क़ौम के सब लोगों को ताकीदन कहा, “उनमें जो बेटा पैदा हो तुम उसे दरिया में डाल देना, और जो बेटी हो उसे ज़िन्दा छोड़ना।”
