[ERV | EN | OT | Isaiah | Chapter 21 | Verse 1] The burden of the wilderness of the sea. As whirlwinds in the South sweep through, it cometh from the wilderness, from a terrible land.
[ERV | EN | OT | Isaiah | Chapter 21 | Verse 2] A grievous vision is declared unto me; the treacherous dealer dealeth treacherously, and the spoiler spoileth. Go up, O Elam; besiege, O Media; all the sighing thereof have I made to cease.
[ERV | EN | OT | Isaiah | Chapter 21 | Verse 3] Therefore are my loins filled with anguish; pangs have taken hold upon me, as the pangs of a woman in travail: I am pained so that I cannot hear; I am dismayed so that I cannot see.
[ERV | EN | OT | Isaiah | Chapter 21 | Verse 4] My heart panteth, horror hath affrighted me: the twilight that I desired hath been turned into trembling unto me.
[ERV | EN | OT | Isaiah | Chapter 21 | Verse 5] They prepare the table, they set the watch, they eat, they drink: rise up, ye princes, anoint the shield.
[ERV | EN | OT | Isaiah | Chapter 21 | Verse 6] For thus hath the Lord said unto me, Go, set a watchman; let him declare what he seeth:
[ERV | EN | OT | Isaiah | Chapter 21 | Verse 7] and when he seeth a troop, horsemen in pairs, a troop of asses, a troop of camels, he shall hearken diligently with much heed.
[ERV | EN | OT | Isaiah | Chapter 21 | Verse 8] And he cried as a lion: O Lord, I stand continually upon the watchtower in the day-time, and am set in my ward whole nights:
[ERV | EN | OT | Isaiah | Chapter 21 | Verse 9] and, behold, here cometh a troop of men, horsemen in pairs. And he answered and said, Babylon is fallen, is fallen; and all the graven images of her gods are broken unto the ground.
[ERV | EN | OT | Isaiah | Chapter 21 | Verse 10] O thou my threshing, and the corn of my floor: that which I have heard from the LORD of hosts, the God of Israel, have I declared unto you.
[ERV | EN | OT | Isaiah | Chapter 21 | Verse 11] The burden of Dumah. One calleth unto me out of Seir, Watchman, what of the night? Watchman, what of the night?
[ERV | EN | OT | Isaiah | Chapter 21 | Verse 12] The watchman said, The morning cometh, and also the night: if ye will inquire, inquire ye: turn ye, come.
[ERV | EN | OT | Isaiah | Chapter 21 | Verse 13] The burden upon Arabia. In the forest in Arabia shall ye lodge, O ye travelling companies of Dedanites.
[ERV | EN | OT | Isaiah | Chapter 21 | Verse 14] Unto him that was thirsty they brought water; the inhabitants of the land of Tema did meet the fugitives with their bread.
[ERV | EN | OT | Isaiah | Chapter 21 | Verse 15] For they fled away from the swords, from the drawn sword, and from the bent bow, and from the grievousness of war.
[ERV | EN | OT | Isaiah | Chapter 21 | Verse 16] For thus hath the Lord said unto me, Within a year, according to the years of an hireling, and all the glory of Kedar shall fail:
[ERV | EN | OT | Isaiah | Chapter 21 | Verse 17] and the residue of the number of the archers, the mighty men of the children of Kedar, shall be few: for the LORD, the God of Israel, hath spoken it.
