[ERV | EN | OT | Isaiah | Chapter 25 | Verse 1] O LORD, thou art my God; I will exalt thee, I will praise thy name; for thou hast done wonderful things, even counsels of old, in faithfulness and truth.
[ERV | EN | OT | Isaiah | Chapter 25 | Verse 2] For thou hast made of a city an heap; of a defenced city a ruin: a palace of strangers to be no city; it shall never be built.
[ERV | EN | OT | Isaiah | Chapter 25 | Verse 3] Therefore shall the strong people glorify thee, the city of the terrible nations shall fear thee.
[ERV | EN | OT | Isaiah | Chapter 25 | Verse 4] For thou hast been a strong hold to the poor, a strong hold to the needy in his distress, a refuge from the storm, a shadow from the heat, when the blast of the terrible ones is as a storm against the wall.
[ERV | EN | OT | Isaiah | Chapter 25 | Verse 5] As the heat in a dry place shalt thou bring down the noise of strangers; as the heat by the shadow of a cloud, the song of the terrible ones shall be brought low.
[ERV | EN | OT | Isaiah | Chapter 25 | Verse 6] And in this mountain shall the LORD of hosts make unto all peoples a feast of fat things, a feast of wines on the lees, of fat things full of marrow, of wines on the lees well refined.
[ERV | EN | OT | Isaiah | Chapter 25 | Verse 7] And he will destroy in this mountain the face of the covering that is cast over all peoples, and the veil that is spread over all nations.
[ERV | EN | OT | Isaiah | Chapter 25 | Verse 8] He hath swallowed up death for ever; and the Lord GOD will wipe away tears from off all faces; and the reproach of his people shall he take away from off all the earth: for the LORD hath spoken it.
[ERV | EN | OT | Isaiah | Chapter 25 | Verse 9] And it shall be said in that day, Lo, this is our God; we have waited for him, and he will save us: this is the LORD; we have waited for him, we will be glad and rejoice in his salvation.
[ERV | EN | OT | Isaiah | Chapter 25 | Verse 10] For in this mountain shall the hand of the LORD rest, and Moab shall be trodden down in his place, even as straw is trodden down in the water of the dunghill.
[ERV | EN | OT | Isaiah | Chapter 25 | Verse 11] And he shall spread forth his hands in the midst thereof, as he that swimmeth spreadeth forth his hands to swim: and he shall lay low his pride together with the craft of his hands.
[ERV | EN | OT | Isaiah | Chapter 25 | Verse 12] And the fortress of the high fort of thy walls hath he brought down, laid low, and brought to the ground, even to the dust.
