[ERV | EN | OT | Isaiah | Chapter 58 | Verse 1] Cry aloud, spare not, lift up thy voice like a trumpet, and declare unto my people their transgression, and to the house of Jacob their sins.
[ERV | EN | OT | Isaiah | Chapter 58 | Verse 2] Yet they seek me daily, and delight to know my ways: as a nation that did righteousness and forsook not the ordinance of their God, they ask of me righteous ordinances, they delight to draw near unto God.
[ERV | EN | OT | Isaiah | Chapter 58 | Verse 3] Wherefore have we fasted, say they, and thou seest not? wherefore have we afflicted our soul, and thou takest no knowledge? Behold, in the day of your fast ye find your own pleasure, and exact all your labours.
[ERV | EN | OT | Isaiah | Chapter 58 | Verse 4] Behold, ye fast for strife and contention, and to smite with the fist of wickedness: ye fast not this day so as to make your voice to be heard on high.
[ERV | EN | OT | Isaiah | Chapter 58 | Verse 5] Is such the fast that I have chosen? the day for a man to afflict his soul? Is it to bow down his head as a rush, and to spread sackcloth and ashes under him? wilt thou call this a fast, and an acceptable day to the LORD?
[ERV | EN | OT | Isaiah | Chapter 58 | Verse 6] Is not this the fast that I have chosen? to loose the bonds of wickedness, to undo the bands of the yoke, and to let the oppressed go free, and that ye break every yoke?
[ERV | EN | OT | Isaiah | Chapter 58 | Verse 7] Is it not to deal thy bread to the hungry, and that thou bring the poor that are cast out to thy house? when thou seest the naked, that thou cover him; and that thou hide not thyself from thine own flesh?
[ERV | EN | OT | Isaiah | Chapter 58 | Verse 8] Then shall thy light break forth as the morning, and thy healing shall spring forth speedily: and thy righteousness shall go before thee; the glory of the LORD shall be thy rearward.
[ERV | EN | OT | Isaiah | Chapter 58 | Verse 9] Then shalt thou call, and the LORD shall answer; thou shalt cry, and he shall say, Here I am. If thou take away from the midst of thee the yoke, the putting forth of the finger, and speaking wickedly;
[ERV | EN | OT | Isaiah | Chapter 58 | Verse 10] and if thou draw out thy soul to the hungry, and satisfy the afflicted soul; then shall thy light rise in darkness, and thine obscurity be as the noonday:
[ERV | EN | OT | Isaiah | Chapter 58 | Verse 11] and the LORD shall guide thee continually, and satisfy thy soul in dry places, and make strong thy bones; and thou shalt be like a watered garden, and like a spring of water, whose waters fail not.
[ERV | EN | OT | Isaiah | Chapter 58 | Verse 12] And they that shall be of thee shall build the old waste places: thou shalt raise up the foundations of many generations; and thou shalt be called The repairer of the breach, The restorer of paths to dwell in.
[ERV | EN | OT | Isaiah | Chapter 58 | Verse 13] If thou turn away thy foot from the sabbath, from doing thy pleasure on my holy day; and call the sabbath a delight, and the holy of the LORD honourable; and shalt honour it, not doing thine own ways, nor finding thine own pleasure, nor speaking thine own words:
[ERV | EN | OT | Isaiah | Chapter 58 | Verse 14] then shalt thou delight thyself in the LORD; and I will make thee to ride upon the high places of the earth; and I will feed thee with the heritage of Jacob thy father: for the mouth of the LORD hath spoken it.
