[ERV | EN | OT | Isaiah | Chapter 63 | Verse 1] Who is this that cometh from Edom, with dyed garments from Bozrah? this that is glorious in his apparel, marching in the greatness of his strength? I that speak in righteousness, mighty to save.
[ERV | EN | OT | Isaiah | Chapter 63 | Verse 2] Wherefore art thou red in thine apparel, and thy garments like him that treadeth in the winefat?
[ERV | EN | OT | Isaiah | Chapter 63 | Verse 3] I have trodden the winepress alone; and of the peoples there was no man with me: yea, I trod them in mine anger, and trampled them in my fury; and their lifeblood is sprinkled upon my garments, and I have stained all my raiment.
[ERV | EN | OT | Isaiah | Chapter 63 | Verse 4] For the day of vengeance was in mine heart, and the year of my redeemed is come.
[ERV | EN | OT | Isaiah | Chapter 63 | Verse 5] And I looked, and there was none to help; and I wondered that there was none to uphold: therefore mine own arm brought salvation unto me; and my fury, it upheld me.
[ERV | EN | OT | Isaiah | Chapter 63 | Verse 6] And I trod down the peoples in mine anger, and made them drunk in my fury, and I poured out their lifeblood on the earth.
[ERV | EN | OT | Isaiah | Chapter 63 | Verse 7] I will make mention of the lovingkindnesses of the LORD, and the praises of the LORD, according to all that the LORD hath bestowed on us; and the great goodness toward the house of Israel, which he hath bestowed on them according to his mercies, and according to the multitude of his lovingkindnesses.
[ERV | EN | OT | Isaiah | Chapter 63 | Verse 8] For he said, Surely, they are my people, children that will not deal falsely: so he was their saviour.
[ERV | EN | OT | Isaiah | Chapter 63 | Verse 9] In all their affliction he was afflicted, and the angel of his presence saved them: in his love and in his pity he redeemed them; and he bare them, and carried them all the days of old.
[ERV | EN | OT | Isaiah | Chapter 63 | Verse 10] But they rebelled, and grieved his holy spirit: therefore he was turned to be their enemy, and himself fought against them.
[ERV | EN | OT | Isaiah | Chapter 63 | Verse 11] Then he remembered the days of old, Moses, and his people, saying, Where is he that brought them up out of the sea with the shepherds of his flock? where is he that put his holy spirit in the midst of them?
[ERV | EN | OT | Isaiah | Chapter 63 | Verse 12] that caused his glorious arm to go at the right hand of Moses? that divided the water before them, to make himself an everlasting name?
[ERV | EN | OT | Isaiah | Chapter 63 | Verse 13] that led them through the depths, as an horse in the wilderness, that they stumbled not?
[ERV | EN | OT | Isaiah | Chapter 63 | Verse 14] As the cattle that go down into the valley, the spirit of the LORD caused them to rest: so didst thou lead thy people, to make thyself a glorious name.
[ERV | EN | OT | Isaiah | Chapter 63 | Verse 15] Look down from heaven, and behold from the habitation of thy holiness and of thy glory: where is thy zeal and thy mighty acts? the yearning of thy bowels and thy compassions are restrained toward me.
[ERV | EN | OT | Isaiah | Chapter 63 | Verse 16] For thou art our father, though Abraham knoweth us not, and Israel doth not acknowledge us: thou, O LORD, art our father; our redeemer from everlasting is thy name.
[ERV | EN | OT | Isaiah | Chapter 63 | Verse 17] O LORD, why dost thou make us to err from thy ways, and hardenest our heart from thy fear? Return for thy servants’ sake, the tribes of thine inheritance.
[ERV | EN | OT | Isaiah | Chapter 63 | Verse 18] Thy holy people possessed it but a little while: our adversaries have trodden down thy sanctuary.
[ERV | EN | OT | Isaiah | Chapter 63 | Verse 19] We are become as they over whom thou never barest rule; as they that were not called by thy name.
