[IRV | KN | NT | 1 Timothy | Chapter 3 | Verse 1] ಸಭಾಧ್ಯಕ್ಷನ ಉದ್ಯೋಗವನ್ನು ಪಡೆದುಕೊಳ್ಳಬೇಕೆಂದಿರುವವನು ಒಳ್ಳೆಯ ಕೆಲಸವನ್ನು ಅಪೇಕ್ಷಿಸುವವನಾಗಿದ್ದಾನೆಂಬ ಮಾತು ನಂಬತಕ್ಕದ್ದಾಗಿದೆ.
[IRV | KN | NT | 1 Timothy | Chapter 3 | Verse 2] ಸಭಾಧ್ಯಕ್ಷನು ದೋಷಾರೋಪಣೆಯಿಲ್ಲದವನೂ, ಏಕಪತ್ನಿಯುಳ್ಳವನೂ, ಶಾಂತನೂ, ಜಿತೇಂದ್ರಿಯನೂ, ಮಾನಸ್ಥನೂ, ಅತಿಥಿಸತ್ಕಾರಮಾಡುವವನೂ, ಬೋಧಿಸಲು ಶಕ್ತನಾಗಿರಬೇಕು.
[IRV | KN | NT | 1 Timothy | Chapter 3 | Verse 3] ಅವನು ಕುಡಕನು, ಜಗಳವಾಡುವವನೂ ಆಗಿರದೆ, ಸಾತ್ವಿಕನೂ, ಹೊಡೆದಾಡದವನೂ ದ್ರವ್ಯಾಶೆಯಿಲ್ಲದವನೂ ಆಗಿರಬೇಕು.
[IRV | KN | NT | 1 Timothy | Chapter 3 | Verse 4] ಪೂರ್ಣಗೌರವದಿಂದ ತನ್ನ ಮಕ್ಕಳನ್ನು ಅಧೀನದಲ್ಲಿಟ್ಟುಕೊಂಡು, ಸ್ವಂತ ಮನೆಯವರನ್ನು ಚೆನ್ನಾಗಿ ನಡೆಸುವವನಾಗಿರಬೇಕು.
[IRV | KN | NT | 1 Timothy | Chapter 3 | Verse 5] ಸ್ವಂತ ಮನೆಯವರನ್ನು ನಡೆಸುವುದಕ್ಕೆ ತಿಳಿಯದವನು ದೇವರ ಸಭೆಯನ್ನು ಹೇಗೆ ಪರಾಂಬರಿಸುವನು?
[IRV | KN | NT | 1 Timothy | Chapter 3 | Verse 6] ಅವನು ಹೊಸದಾಗಿ ಸಭೆಯಲ್ಲಿ ಸೇರಿದವನಾಗಿರಬಾರದು, ಅಂಥವನಾದರೆ ಉಬ್ಬಿಕೊಂಡು ಸೈತಾನನಿಗೆ ಪ್ರಾಪ್ತವಾದ ಶಿಕ್ಷಾವಿಧಿಗೆ ಒಳಗಾದಾನು.
[IRV | KN | NT | 1 Timothy | Chapter 3 | Verse 7] ಇದಲ್ಲದೆ ಅವನು ಹೊರಗಣವರಿಂದ ಒಳ್ಳೆಯವನೆನ್ನಿಸಿಕೊಂಡಿರಬೇಕು, ಇಲ್ಲದಿದ್ದರೆ ನಿಂದೆಗೆ ಗುರಿಯಾಗುವನು ಮತ್ತು ಸೈತಾನನ ತಂತ್ರಗಳೊಳಗೆ ಸಿಕ್ಕಿಬಿದ್ದಾನು.
[IRV | KN | NT | 1 Timothy | Chapter 3 | Verse 8] ಅದೇ ರೀತಿಯಾಗಿ ಸಭಾಸೇವಕರು ಗೌರವವುಳ್ಳವರಾಗಿರಬೇಕು. ಅವರು ಎರಡು ಮಾತಿನವರೂ, ಮದ್ಯಾಸಕ್ತರೂ, ನೀಚಲಾಭವನ್ನು ಅಪೇಕ್ಷಿಸುವವರೂ ಆಗಿರದೆ,
[IRV | KN | NT | 1 Timothy | Chapter 3 | Verse 9] ನಂಬಿಕೆಯಿಂದ ಪ್ರಕಟವಾಗಿರುವ ಸತ್ಯಾರ್ಥವನ್ನು ಶುದ್ಧ ಮನಸ್ಸಾಕ್ಷಿಯಿಂದ ಕೈಕೊಳ್ಳುವವರಾಗಿರಬೇಕು.
[IRV | KN | NT | 1 Timothy | Chapter 3 | Verse 10] ಇದಲ್ಲದೆ ಅವರು ಮೊದಲು ಪರೀಕ್ಷಿಸಲ್ಪಡಬೇಕು, ತರುವಾಯ ಅವರ ಮೇಲೆ ಯಾರೂ ತಪ್ಪುಹೊರಿಸದಿದ್ದರೆ ಸಭಾಸೇವಕರ ಉದ್ಯೋಗವನ್ನು ನೆರವೇರಿಸಲಿ.
[IRV | KN | NT | 1 Timothy | Chapter 3 | Verse 11] ಹಾಗೆಯೇ ಸಭಾಸೇವಕಿಯರಾದ ಸ್ತ್ರೀಯರೂ ಗೌರವವುಳ್ಳವರಾಗಿರಬೇಕು, ಚಾಡಿಹೇಳುವವರಾಗಿರದೆ, ಸ್ವಸ್ಥಬುದ್ಧಿಯುಳ್ಳವರೂ, ಎಲ್ಲಾ ವಿಷಯಗಳಲ್ಲಿ ನಂಬಿಗಸ್ತರಾಗಿಯೂ ಇರಬೇಕು.
[IRV | KN | NT | 1 Timothy | Chapter 3 | Verse 12] ಸಭಾಸೇವಕರು ಏಕಪತ್ನಿಯುಳ್ಳವರೂ, ತಮ್ಮ ಮಕ್ಕಳನ್ನೂ ಮನೆಯವರನ್ನೂ ಚೆನ್ನಾಗಿ ನಡಿಸುವವರೂ ಆಗಿರಬೇಕು.
[IRV | KN | NT | 1 Timothy | Chapter 3 | Verse 13] ಸಭಾಸೇವಕರಾಗಿ ಚೆನ್ನಾಗಿ ಕೆಲಸ ಮಾಡಿರುವವರು ತಮಗೆ ಒಳ್ಳೆಯ ಪದವಿಯನ್ನೂ, ಕ್ರಿಸ್ತಯೇಸುವಿನಲ್ಲಿರುವ ನಂಬಿಕೆಯ ಸಂಬಂಧವಾಗಿ ಬಹುಧೈರ್ಯವನ್ನೂ ಸಂಪಾದಿಸಿಕೊಳ್ಳುತ್ತಾರೆ.
[IRV | KN | NT | 1 Timothy | Chapter 3 | Verse 14] ಬೇಗನೆ ನಿನ್ನ ಬಳಿಗೆ ಬರುವೆನೆಂಬ ನಿರೀಕ್ಷೆಯಿಂದಲೇ ನಿನಗೆ ಈ ವಿಷಯಗಳನ್ನು ಬರೆದಿದ್ದೇನೆ.
