[WEB | EN | NT | Luke | Chapter 7 | Verse 1] After he had finished speaking in the hearing of the people, he entered into Capernaum.
[WEB | EN | NT | Luke | Chapter 7 | Verse 2] A certain centurion’s servant, who was dear to him, was sick and at the point of death.
[WEB | EN | NT | Luke | Chapter 7 | Verse 3] When he heard about Jesus, he sent to him elders of the Jews, asking him to come and save his servant.
[WEB | EN | NT | Luke | Chapter 7 | Verse 4] When they came to Jesus, they begged him earnestly, saying, “He is worthy for you to do this for him,
[WEB | EN | NT | Luke | Chapter 7 | Verse 5] for he loves our nation, and he built our synagogue for us.”
[WEB | EN | NT | Luke | Chapter 7 | Verse 6] Jesus went with them. When he was now not far from the house, the centurion sent friends to him, saying to him, “Lord, don’t trouble yourself, for I am not worthy for you to come under my roof.
[WEB | EN | NT | Luke | Chapter 7 | Verse 7] Therefore I didn’t even think myself worthy to come to you; but say the word, and my servant will be healed.
[WEB | EN | NT | Luke | Chapter 7 | Verse 8] For I also am a man placed under authority, having under myself soldiers. I tell this one, ‘Go!’ and he goes; and to another, ‘Come!’ and he comes; and to my servant, ‘Do this,’ and he does it.”
[WEB | EN | NT | Luke | Chapter 7 | Verse 9] When Jesus heard these things, he marveled at him, and turned and said to the multitude who followed him, “I tell you, I have not found such great faith, no, not in Israel.”
[WEB | EN | NT | Luke | Chapter 7 | Verse 10] Those who were sent, returning to the house, found that the servant who had been sick was well.
[WEB | EN | NT | Luke | Chapter 7 | Verse 11] Soon afterwards, he went to a city called Nain. Many of his disciples, along with a great multitude, went with him.
[WEB | EN | NT | Luke | Chapter 7 | Verse 12] Now when he came near to the gate of the city, behold, one who was dead was carried out, the only born son of his mother, and she was a widow. Many people of the city were with her.
[WEB | EN | NT | Luke | Chapter 7 | Verse 13] When the Lord saw her, he had compassion on her and said to her, “Don’t cry.”
[WEB | EN | NT | Luke | Chapter 7 | Verse 14] He came near and touched the coffin, and the bearers stood still. He said, “Young man, I tell you, arise!”
[WEB | EN | NT | Luke | Chapter 7 | Verse 15] He who was dead sat up and began to speak. Then he gave him to his mother.
[WEB | EN | NT | Luke | Chapter 7 | Verse 16] Fear took hold of all, and they glorified God, saying, “A great prophet has arisen among us!” and, “God has visited his people!”
[WEB | EN | NT | Luke | Chapter 7 | Verse 17] This report went out concerning him in the whole of Judea and in all the surrounding region.
[WEB | EN | NT | Luke | Chapter 7 | Verse 18] The disciples of John told him about all these things.
[WEB | EN | NT | Luke | Chapter 7 | Verse 19] John, calling to himself two of his disciples, sent them to Jesus, saying, “Are you the one who is coming, or should we look for another?”
[WEB | EN | NT | Luke | Chapter 7 | Verse 20] When the men had come to him, they said, “John the Baptizer has sent us to you, saying, ‘Are you he who comes, or should we look for another?’”
[WEB | EN | NT | Luke | Chapter 7 | Verse 21] In that hour he cured many of diseases and plagues and evil spirits; and to many who were blind he gave sight.
[WEB | EN | NT | Luke | Chapter 7 | Verse 22] Jesus answered them, “Go and tell John the things which you have seen and heard: that the blind receive their sight, the lame walk, the lepers are cleansed, the deaf hear, the dead are raised up, and the poor have good news preached to them.
[WEB | EN | NT | Luke | Chapter 7 | Verse 23] Blessed is he who finds no occasion for stumbling in me.”
[WEB | EN | NT | Luke | Chapter 7 | Verse 24] When John’s messengers had departed, he began to tell the multitudes about John, “What did you go out into the wilderness to see? A reed shaken by the wind?
[WEB | EN | NT | Luke | Chapter 7 | Verse 25] But what did you go out to see? A man clothed in soft clothing? Behold, those who are gorgeously dressed and live delicately are in kings’ courts.
[WEB | EN | NT | Luke | Chapter 7 | Verse 26] But what did you go out to see? A prophet? Yes, I tell you, and much more than a prophet.
[WEB | EN | NT | Luke | Chapter 7 | Verse 27] This is he of whom it is written, ‘Behold, I send my messenger before your face, who will prepare your way before you.’
[WEB | EN | NT | Luke | Chapter 7 | Verse 28] “For I tell you, among those who are born of women there is not a greater prophet than John the Baptizer; yet he who is least in God’s Kingdom is greater than he.”
[WEB | EN | NT | Luke | Chapter 7 | Verse 29] When all the people and the tax collectors heard this, they declared God to be just, having been baptized with John’s baptism.
[WEB | EN | NT | Luke | Chapter 7 | Verse 30] But the Pharisees and the lawyers rejected the counsel of God, not being baptized by him themselves.
[WEB | EN | NT | Luke | Chapter 7 | Verse 31] “To what then should I compare the people of this generation? What are they like?
[WEB | EN | NT | Luke | Chapter 7 | Verse 32] They are like children who sit in the marketplace and call to one another, saying, ‘We piped to you, and you didn’t dance. We mourned, and you didn’t weep.’
[WEB | EN | NT | Luke | Chapter 7 | Verse 33] For John the Baptizer came neither eating bread nor drinking wine, and you say, ‘He has a demon.’
[WEB | EN | NT | Luke | Chapter 7 | Verse 34] The Son of Man has come eating and drinking, and you say, ‘Behold, a glutton and a drunkard, a friend of tax collectors and sinners!’
[WEB | EN | NT | Luke | Chapter 7 | Verse 35] Wisdom is justified by all her children.”
[WEB | EN | NT | Luke | Chapter 7 | Verse 36] One of the Pharisees invited him to eat with him. He entered into the Pharisee’s house and sat at the table.
[WEB | EN | NT | Luke | Chapter 7 | Verse 37] Behold, a woman in the city who was a sinner, when she knew that he was reclining in the Pharisee’s house, brought an alabaster jar of ointment.
[WEB | EN | NT | Luke | Chapter 7 | Verse 38] Standing behind at his feet weeping, she began to wet his feet with her tears, and she wiped them with the hair of her head, kissed his feet, and anointed them with the ointment.
[WEB | EN | NT | Luke | Chapter 7 | Verse 39] Now when the Pharisee who had invited him saw it, he said to himself, “This man, if he were a prophet, would have perceived who and what kind of woman this is who touches him, that she is a sinner.”
[WEB | EN | NT | Luke | Chapter 7 | Verse 40] Jesus answered him, “Simon, I have something to tell you.” He said, “Teacher, say on.”
[WEB | EN | NT | Luke | Chapter 7 | Verse 41] “A certain lender had two debtors. The one owed five hundred denarii, and the other fifty.
[WEB | EN | NT | Luke | Chapter 7 | Verse 42] When they couldn’t pay, he forgave them both. Which of them therefore will love him most?”
[WEB | EN | NT | Luke | Chapter 7 | Verse 43] Simon answered, “He, I suppose, to whom he forgave the most.” He said to him, “You have judged correctly.”
[WEB | EN | NT | Luke | Chapter 7 | Verse 44] Turning to the woman, he said to Simon, “Do you see this woman? I entered into your house, and you gave me no water for my feet, but she has wet my feet with her tears, and wiped them with the hair of her head.
