[WEB | EN | NT | Luke | Chapter 5 | Verse 1] Now while the multitude pressed on him and heard the word of God, he was standing by the lake of Gennesaret.
[WEB | EN | NT | Luke | Chapter 5 | Verse 2] He saw two boats standing by the lake, but the fishermen had gone out of them and were washing their nets.
[WEB | EN | NT | Luke | Chapter 5 | Verse 3] He entered into one of the boats, which was Simon’s, and asked him to put out a little from the land. He sat down and taught the multitudes from the boat.
[WEB | EN | NT | Luke | Chapter 5 | Verse 4] When he had finished speaking, he said to Simon, “Put out into the deep and let down your nets for a catch.”
[WEB | EN | NT | Luke | Chapter 5 | Verse 5] Simon answered him, “Master, we worked all night and caught nothing; but at your word I will let down the net.”
[WEB | EN | NT | Luke | Chapter 5 | Verse 6] When they had done this, they caught a great multitude of fish, and their net was breaking.
[WEB | EN | NT | Luke | Chapter 5 | Verse 7] They beckoned to their partners in the other boat, that they should come and help them. They came and filled both boats, so that they began to sink.
[WEB | EN | NT | Luke | Chapter 5 | Verse 8] But Simon Peter, when he saw it, fell down at Jesus’ knees, saying, “Depart from me, for I am a sinful man, Lord.”
[WEB | EN | NT | Luke | Chapter 5 | Verse 9] For he was amazed, and all who were with him, at the catch of fish which they had caught;
[WEB | EN | NT | Luke | Chapter 5 | Verse 10] and so also were James and John, sons of Zebedee, who were partners with Simon. Jesus said to Simon, “Don’t be afraid. From now on you will be catching people alive.”
[WEB | EN | NT | Luke | Chapter 5 | Verse 11] When they had brought their boats to land, they left everything, and followed him.
[WEB | EN | NT | Luke | Chapter 5 | Verse 12] While he was in one of the cities, behold, there was a man full of leprosy. When he saw Jesus, he fell on his face and begged him, saying, “Lord, if you want to, you can make me clean.”
[WEB | EN | NT | Luke | Chapter 5 | Verse 13] He stretched out his hand and touched him, saying, “I want to. Be made clean.” Immediately the leprosy left him.
[WEB | EN | NT | Luke | Chapter 5 | Verse 14] He commanded him to tell no one, “But go your way and show yourself to the priest, and offer for your cleansing according to what Moses commanded, for a testimony to them.”
[WEB | EN | NT | Luke | Chapter 5 | Verse 15] But the report concerning him spread much more, and great multitudes came together to hear and to be healed by him of their infirmities.
[WEB | EN | NT | Luke | Chapter 5 | Verse 16] But he withdrew himself into the desert and prayed.
[WEB | EN | NT | Luke | Chapter 5 | Verse 17] On one of those days, he was teaching; and there were Pharisees and teachers of the law sitting by who had come out of every village of Galilee, Judea, and Jerusalem. The power of the Lord was with him to heal them.
[WEB | EN | NT | Luke | Chapter 5 | Verse 18] Behold, men brought a paralyzed man on a cot, and they sought to bring him in to lay before Jesus.
[WEB | EN | NT | Luke | Chapter 5 | Verse 19] Not finding a way to bring him in because of the multitude, they went up to the housetop and let him down through the tiles with his cot into the middle before Jesus.
[WEB | EN | NT | Luke | Chapter 5 | Verse 20] Seeing their faith, he said to him, “Man, your sins are forgiven you.”
[WEB | EN | NT | Luke | Chapter 5 | Verse 21] The scribes and the Pharisees began to reason, saying, “Who is this who speaks blasphemies? Who can forgive sins, but God alone?”
[WEB | EN | NT | Luke | Chapter 5 | Verse 22] But Jesus, perceiving their thoughts, answered them, “Why are you reasoning so in your hearts?
[WEB | EN | NT | Luke | Chapter 5 | Verse 23] Which is easier to say, ‘Your sins are forgiven you,’ or to say, ‘Arise and walk’?
[WEB | EN | NT | Luke | Chapter 5 | Verse 24] But that you may know that the Son of Man has authority on earth to forgive sins,” he said to the paralyzed man, “I tell you, arise, take up your cot, and go to your house.”
[WEB | EN | NT | Luke | Chapter 5 | Verse 25] Immediately he rose up before them, and took up that which he was laying on, and departed to his house, glorifying God.
[WEB | EN | NT | Luke | Chapter 5 | Verse 26] Amazement took hold on all, and they glorified God. They were filled with fear, saying, “We have seen strange things today.”
[WEB | EN | NT | Luke | Chapter 5 | Verse 27] After these things he went out and saw a tax collector named Levi sitting at the tax office, and said to him, “Follow me!”
[WEB | EN | NT | Luke | Chapter 5 | Verse 28] He left everything, and rose up and followed him.
[WEB | EN | NT | Luke | Chapter 5 | Verse 29] Levi made a great feast for him in his house. There was a great crowd of tax collectors and others who were reclining with them.
[WEB | EN | NT | Luke | Chapter 5 | Verse 30] Their scribes and the Pharisees murmured against his disciples, saying, “Why do you eat and drink with the tax collectors and sinners?”
[WEB | EN | NT | Luke | Chapter 5 | Verse 31] Jesus answered them, “Those who are healthy have no need for a physician, but those who are sick do.
[WEB | EN | NT | Luke | Chapter 5 | Verse 32] I have not come to call the righteous, but sinners, to repentance.”
[WEB | EN | NT | Luke | Chapter 5 | Verse 33] They said to him, “Why do John’s disciples often fast and pray, likewise also the disciples of the Pharisees, but yours eat and drink?”
[WEB | EN | NT | Luke | Chapter 5 | Verse 34] He said to them, “Can you make the friends of the bridegroom fast while the bridegroom is with them?
[WEB | EN | NT | Luke | Chapter 5 | Verse 35] But the days will come when the bridegroom will be taken away from them. Then they will fast in those days.”
[WEB | EN | NT | Luke | Chapter 5 | Verse 36] He also told a parable to them. “No one puts a piece from a new garment on an old garment, or else he will tear the new, and also the piece from the new will not match the old.
[WEB | EN | NT | Luke | Chapter 5 | Verse 37] No one puts new wine into old wineskins, or else the new wine will burst the skins, and it will be spilled and the skins will be destroyed.
[WEB | EN | NT | Luke | Chapter 5 | Verse 38] But new wine must be put into fresh wineskins, and both are preserved.
[WEB | EN | NT | Luke | Chapter 5 | Verse 39] No man having drunk old wine immediately desires new, for he says, ‘The old is better.’”
