[WEB | EN | NT | Luke | Chapter 15 | Verse 1] Now all the tax collectors and sinners were coming close to him to hear him.
[WEB | EN | NT | Luke | Chapter 15 | Verse 2] The Pharisees and the scribes murmured, saying, “This man welcomes sinners, and eats with them.”
[WEB | EN | NT | Luke | Chapter 15 | Verse 3] He told them this parable:
[WEB | EN | NT | Luke | Chapter 15 | Verse 4] “Which of you men, if you had one hundred sheep and lost one of them, wouldn’t leave the ninety-nine in the wilderness and go after the one that was lost, until he found it?
[WEB | EN | NT | Luke | Chapter 15 | Verse 5] When he has found it, he carries it on his shoulders, rejoicing.
[WEB | EN | NT | Luke | Chapter 15 | Verse 6] When he comes home, he calls together his friends and his neighbors, saying to them, ‘Rejoice with me, for I have found my sheep which was lost!’
[WEB | EN | NT | Luke | Chapter 15 | Verse 7] I tell you that even so there will be more joy in heaven over one sinner who repents, than over ninety-nine righteous people who need no repentance.
[WEB | EN | NT | Luke | Chapter 15 | Verse 8] “Or what woman, if she had ten drachma coins, if she lost one drachma coin, wouldn’t light a lamp, sweep the house, and seek diligently until she found it?
[WEB | EN | NT | Luke | Chapter 15 | Verse 9] When she has found it, she calls together her friends and neighbors, saying, ‘Rejoice with me, for I have found the drachma which I had lost!’
[WEB | EN | NT | Luke | Chapter 15 | Verse 10] Even so, I tell you, there is joy in the presence of the angels of God over one sinner repenting.”
[WEB | EN | NT | Luke | Chapter 15 | Verse 11] He said, “A certain man had two sons.
[WEB | EN | NT | Luke | Chapter 15 | Verse 12] The younger of them said to his father, ‘Father, give me my share of your property.’ So he divided his livelihood between them.
[WEB | EN | NT | Luke | Chapter 15 | Verse 13] Not many days after, the younger son gathered all of this together and traveled into a far country. There he wasted his property with riotous living.
[WEB | EN | NT | Luke | Chapter 15 | Verse 14] When he had spent all of it, there arose a severe famine in that country, and he began to be in need.
[WEB | EN | NT | Luke | Chapter 15 | Verse 15] He went and joined himself to one of the citizens of that country, and he sent him into his fields to feed pigs.
[WEB | EN | NT | Luke | Chapter 15 | Verse 16] He wanted to fill his belly with the pods that the pigs ate, but no one gave him any.
[WEB | EN | NT | Luke | Chapter 15 | Verse 17] But when he came to himself, he said, ‘How many hired servants of my father’s have bread enough to spare, and I’m dying with hunger!
[WEB | EN | NT | Luke | Chapter 15 | Verse 18] I will get up and go to my father, and will tell him, “Father, I have sinned against heaven and in your sight.
[WEB | EN | NT | Luke | Chapter 15 | Verse 19] I am no more worthy to be called your son. Make me as one of your hired servants.”’
[WEB | EN | NT | Luke | Chapter 15 | Verse 20] “He arose and came to his father. But while he was still far off, his father saw him and was moved with compassion, and ran, fell on his neck, and kissed him.
[WEB | EN | NT | Luke | Chapter 15 | Verse 21] The son said to him, ‘Father, I have sinned against heaven and in your sight. I am no longer worthy to be called your son.’
[WEB | EN | NT | Luke | Chapter 15 | Verse 22] “But the father said to his servants, ‘Bring out the best robe and put it on him. Put a ring on his hand and sandals on his feet.
[WEB | EN | NT | Luke | Chapter 15 | Verse 23] Bring the fattened calf, kill it, and let’s eat and celebrate;
[WEB | EN | NT | Luke | Chapter 15 | Verse 24] for this, my son, was dead and is alive again. He was lost and is found.’ Then they began to celebrate.
[WEB | EN | NT | Luke | Chapter 15 | Verse 25] “Now his elder son was in the field. As he came near to the house, he heard music and dancing.
[WEB | EN | NT | Luke | Chapter 15 | Verse 26] He called one of the servants to him and asked what was going on.
[WEB | EN | NT | Luke | Chapter 15 | Verse 27] He said to him, ‘Your brother has come, and your father has killed the fattened calf, because he has received him back safe and healthy.’
[WEB | EN | NT | Luke | Chapter 15 | Verse 28] But he was angry and would not go in. Therefore his father came out and begged him.
[WEB | EN | NT | Luke | Chapter 15 | Verse 29] But he answered his father, ‘Behold, these many years I have served you, and I never disobeyed a commandment of yours, but you never gave me a goat, that I might celebrate with my friends.
[WEB | EN | NT | Luke | Chapter 15 | Verse 30] But when this your son came, who has devoured your living with prostitutes, you killed the fattened calf for him.’
[WEB | EN | NT | Luke | Chapter 15 | Verse 31] “He said to him, ‘Son, you are always with me, and all that is mine is yours.
[WEB | EN | NT | Luke | Chapter 15 | Verse 32] But it was appropriate to celebrate and be glad, for this, your brother, was dead, and is alive again. He was lost, and is found.’”
