[GNV | EN | NT | Philemon | Chapter 1 | Verse 1] Paul a prisoner of Iesus Christ, and our brother Timotheus, vnto Philemon our deare friende, and fellowe helper,
[GNV | EN | NT | Philemon | Chapter 1 | Verse 2] And to our deare sister Apphia, and to Archippus our fellowe souldier, and to the Church that is in thine house:
[GNV | EN | NT | Philemon | Chapter 1 | Verse 3] Grace be with you, and peace from God our Father, and from the Lord Iesus Christ.
[GNV | EN | NT | Philemon | Chapter 1 | Verse 4] I giue thanks to my God, making mention alwaies of thee in my praiers,
[GNV | EN | NT | Philemon | Chapter 1 | Verse 5] (When I heare of thy loue and faith, which thou hast toward the Lord Iesus, and towarde all Saintes)
[GNV | EN | NT | Philemon | Chapter 1 | Verse 6] That the fellowship of thy faith may bee made effectuall, and that whatsoeuer good thing is in you through Christ Iesus, may be knowen.
[GNV | EN | NT | Philemon | Chapter 1 | Verse 7] For we haue great ioy and consolation in thy loue, because by thee, brother, the Saintes bowels are comforted.
[GNV | EN | NT | Philemon | Chapter 1 | Verse 8] Wherefore, though I bee very bolde in Christ to commaund thee that which is conuenient,
[GNV | EN | NT | Philemon | Chapter 1 | Verse 9] Yet for loues sake I rather beseeche thee, though I be as I am, euen Paul aged, and euen nowe a prisoner for Iesus Christ.
[GNV | EN | NT | Philemon | Chapter 1 | Verse 10] I beseeche thee for my sonne Onesimus, whome I haue begotten in my bondes,
[GNV | EN | NT | Philemon | Chapter 1 | Verse 11] Which in times past was to thee vnprofitable, but nowe profitable both to thee and to me,
[GNV | EN | NT | Philemon | Chapter 1 | Verse 12] Whome I haue sent againe: thou therefore receiue him, that is mine owne bowels,
[GNV | EN | NT | Philemon | Chapter 1 | Verse 13] Whom I woulde haue reteined with mee, that in thy steade he might haue ministred vnto me in the bondes of the Gospel.
[GNV | EN | NT | Philemon | Chapter 1 | Verse 14] But without thy minde woulde I doe nothing, that thy benefite should not be as it were of necessitie, but willingly.
[GNV | EN | NT | Philemon | Chapter 1 | Verse 15] It may be that he therefore departed for a season, that thou shouldest receiue him for euer,
[GNV | EN | NT | Philemon | Chapter 1 | Verse 16] Not now as a seruant, but aboue a seruant, euen as a brother beloued, specially to me: howe much more then vnto thee, both in the flesh and in the Lord?
[GNV | EN | NT | Philemon | Chapter 1 | Verse 17] If therefore thou count our thinges common, receiue him as my selfe.
[GNV | EN | NT | Philemon | Chapter 1 | Verse 18] If he hath hurt thee, or oweth thee ought, that put on mine accounts.
[GNV | EN | NT | Philemon | Chapter 1 | Verse 19] I Paul haue written this with mine owne hande: I will recompense it, albeit I doe not say to thee, that thou owest moreouer vnto me euen thine owne selfe.
[GNV | EN | NT | Philemon | Chapter 1 | Verse 20] Yea, brother, let mee obteine this pleasure of thee in the Lord: comfort my bowels in the Lord.
[GNV | EN | NT | Philemon | Chapter 1 | Verse 21] Trusting in thine obedience, I wrote vnto thee, knowing that thou wilt do eue more then I say.
[GNV | EN | NT | Philemon | Chapter 1 | Verse 22] Moreouer also prepare mee lodging: for I trust through your prayers I shall be freely giuen vnto you.
[GNV | EN | NT | Philemon | Chapter 1 | Verse 23] There salute thee Epaphras my felowe prisoner in Christ Iesus,
[GNV | EN | NT | Philemon | Chapter 1 | Verse 24] Marcus, Aristarchus, Demas and Luke, my felowe helpers.
[GNV | EN | NT | Philemon | Chapter 1 | Verse 25] The grace of our Lord Iesus Christ be with your spirit, Amen. ‘Written from Rome to Philemon, and send by Onesimus a seruant.’
