[WEB | EN | OT | 2 Chronicles | Chapter 29 | Verse 1] Hezekiah began to reign when he was twenty-five years old, and he reigned twenty-nine years in Jerusalem. His mother’s name was Abijah, the daughter of Zechariah.
[WEB | EN | OT | 2 Chronicles | Chapter 29 | Verse 2] He did that which was right in the LORD’s eyes, according to all that David his father had done.
[WEB | EN | OT | 2 Chronicles | Chapter 29 | Verse 3] In the first year of his reign, in the first month, he opened the doors of the LORD’s house and repaired them.
[WEB | EN | OT | 2 Chronicles | Chapter 29 | Verse 4] He brought in the priests and the Levites and gathered them together into the wide place on the east,
[WEB | EN | OT | 2 Chronicles | Chapter 29 | Verse 5] and said to them, “Listen to me, you Levites! Now sanctify yourselves, and sanctify the house of the LORD, the God of your fathers, and carry the filthiness out of the holy place.
[WEB | EN | OT | 2 Chronicles | Chapter 29 | Verse 6] For our fathers were unfaithful, and have done that which was evil in the LORD our God’s sight, and have forsaken him, and have turned away their faces from the habitation of the LORD, and turned their backs.
[WEB | EN | OT | 2 Chronicles | Chapter 29 | Verse 7] Also they have shut up the doors of the porch, and put out the lamps, and have not burned incense nor offered burnt offerings in the holy place to the God of Israel.
[WEB | EN | OT | 2 Chronicles | Chapter 29 | Verse 8] Therefore the LORD’s wrath was on Judah and Jerusalem, and he has delivered them to be tossed back and forth, to be an astonishment and a hissing, as you see with your eyes.
[WEB | EN | OT | 2 Chronicles | Chapter 29 | Verse 9] For behold, our fathers have fallen by the sword, and our sons and our daughters and our wives are in captivity for this.
[WEB | EN | OT | 2 Chronicles | Chapter 29 | Verse 10] Now it is in my heart to make a covenant with the LORD, the God of Israel, that his fierce anger may turn away from us.
[WEB | EN | OT | 2 Chronicles | Chapter 29 | Verse 11] My sons, don’t be negligent now; for the LORD has chosen you to stand before him, to minister to him, and that you should be his ministers and burn incense.”
[WEB | EN | OT | 2 Chronicles | Chapter 29 | Verse 12] Then the Levites arose: Mahath, the son of Amasai, and Joel the son of Azariah, of the sons of the Kohathites; and of the sons of Merari, Kish the son of Abdi, and Azariah the son of Jehallelel; and of the Gershonites, Joah the son of Zimmah, and Eden the son of Joah;
[WEB | EN | OT | 2 Chronicles | Chapter 29 | Verse 13] and of the sons of Elizaphan, Shimri and Jeuel; and of the sons of Asaph, Zechariah and Mattaniah;
[WEB | EN | OT | 2 Chronicles | Chapter 29 | Verse 14] and of the sons of Heman, Jehuel and Shimei; and of the sons of Jeduthun, Shemaiah and Uzziel.
[WEB | EN | OT | 2 Chronicles | Chapter 29 | Verse 15] They gathered their brothers, sanctified themselves, and went in, according to the commandment of the king by the LORD’s words, to cleanse the LORD’s house.
[WEB | EN | OT | 2 Chronicles | Chapter 29 | Verse 16] The priests went into the inner part of the LORD’s house to cleanse it, and brought out all the uncleanness that they found in the LORD’s temple into the court of the LORD’s house. The Levites took it from there to carry it out to the brook Kidron.
[WEB | EN | OT | 2 Chronicles | Chapter 29 | Verse 17] Now they began on the first day of the first month to sanctify, and on the eighth day of the month they came to the LORD’s porch. They sanctified the LORD’s house in eight days, and on the sixteenth day of the first month they finished.
[WEB | EN | OT | 2 Chronicles | Chapter 29 | Verse 18] Then they went in to Hezekiah the king within the palace and said, “We have cleansed all the LORD’s house, including the altar of burnt offering with all its vessels, and the table of show bread with all its vessels.
[WEB | EN | OT | 2 Chronicles | Chapter 29 | Verse 19] Moreover, we have prepared and sanctified all the vessels which King Ahaz threw away in his reign when he was unfaithful. Behold, they are before the LORD’s altar.”
[WEB | EN | OT | 2 Chronicles | Chapter 29 | Verse 20] Then Hezekiah the king arose early, gathered the princes of the city, and went up to the LORD’s house.
[WEB | EN | OT | 2 Chronicles | Chapter 29 | Verse 21] They brought seven bulls, seven rams, seven lambs, and seven male goats, for a sin offering for the kingdom, for the sanctuary, and for Judah. He commanded the priests the sons of Aaron to offer them on the LORD’s altar.
[WEB | EN | OT | 2 Chronicles | Chapter 29 | Verse 22] So they killed the bulls, and the priests received the blood and sprinkled it on the altar. They killed the rams and sprinkled the blood on the altar. They also killed the lambs and sprinkled the blood on the altar.
[WEB | EN | OT | 2 Chronicles | Chapter 29 | Verse 23] They brought near the male goats for the sin offering before the king and the assembly; and they laid their hands on them.
[WEB | EN | OT | 2 Chronicles | Chapter 29 | Verse 24] Then the priests killed them, and they made a sin offering with their blood on the altar, to make atonement for all Israel; for the king commanded that the burnt offering and the sin offering should be made for all Israel.
