[WEB | EN | OT | 2 Chronicles | Chapter 11 | Verse 1] When Rehoboam had come to Jerusalem, he assembled the house of Judah and Benjamin, one hundred eighty thousand chosen men who were warriors, to fight against Israel, to bring the kingdom again to Rehoboam.
[WEB | EN | OT | 2 Chronicles | Chapter 11 | Verse 2] But the LORD’s word came to Shemaiah the man of God, saying,
[WEB | EN | OT | 2 Chronicles | Chapter 11 | Verse 3] “Speak to Rehoboam the son of Solomon, king of Judah, and to all Israel in Judah and Benjamin, saying,
[WEB | EN | OT | 2 Chronicles | Chapter 11 | Verse 4] ‘The LORD says, “You shall not go up, nor fight against your brothers! Every man return to his house; for this thing is of me.”’” So they listened to the LORD’s words, and returned from going against Jeroboam.
[WEB | EN | OT | 2 Chronicles | Chapter 11 | Verse 5] Rehoboam lived in Jerusalem, and built cities for defense in Judah.
[WEB | EN | OT | 2 Chronicles | Chapter 11 | Verse 6] He built Bethlehem, Etam, Tekoa,
[WEB | EN | OT | 2 Chronicles | Chapter 11 | Verse 7] Beth Zur, Soco, Adullam,
[WEB | EN | OT | 2 Chronicles | Chapter 11 | Verse 8] Gath, Mareshah, Ziph,
[WEB | EN | OT | 2 Chronicles | Chapter 11 | Verse 9] Adoraim, Lachish, Azekah,
[WEB | EN | OT | 2 Chronicles | Chapter 11 | Verse 10] Zorah, Aijalon, and Hebron, which are fortified cities in Judah and in Benjamin.
[WEB | EN | OT | 2 Chronicles | Chapter 11 | Verse 11] He fortified the strongholds and put captains in them with stores of food, oil and wine.
[WEB | EN | OT | 2 Chronicles | Chapter 11 | Verse 12] He put shields and spears in every city, and made them exceedingly strong. Judah and Benjamin belonged to him.
[WEB | EN | OT | 2 Chronicles | Chapter 11 | Verse 13] The priests and the Levites who were in all Israel stood with him out of all their territory.
[WEB | EN | OT | 2 Chronicles | Chapter 11 | Verse 14] For the Levites left their pasture lands and their possessions, and came to Judah and Jerusalem; for Jeroboam and his sons cast them off, that they should not execute the priest’s office to the LORD.
[WEB | EN | OT | 2 Chronicles | Chapter 11 | Verse 15] He himself appointed priests for the high places, for the male goat and calf idols which he had made.
[WEB | EN | OT | 2 Chronicles | Chapter 11 | Verse 16] After them, out of all the tribes of Israel, those who set their hearts to seek the LORD, the God of Israel, came to Jerusalem to sacrifice to the LORD, the God of their fathers.
[WEB | EN | OT | 2 Chronicles | Chapter 11 | Verse 17] So they strengthened the kingdom of Judah and made Rehoboam the son of Solomon strong for three years, for they walked three years in the way of David and Solomon.
[WEB | EN | OT | 2 Chronicles | Chapter 11 | Verse 18] Rehoboam took a wife for himself, Mahalath the daughter of Jerimoth the son of David and of Abihail the daughter of Eliab the son of Jesse.
[WEB | EN | OT | 2 Chronicles | Chapter 11 | Verse 19] She bore him sons: Jeush, Shemariah, and Zaham.
[WEB | EN | OT | 2 Chronicles | Chapter 11 | Verse 20] After her, he took Maacah the granddaughter of Absalom; and she bore him Abijah, Attai, Ziza, and Shelomith.
[WEB | EN | OT | 2 Chronicles | Chapter 11 | Verse 21] Rehoboam loved Maacah the granddaughter of Absalom above all his wives and his concubines; for he took eighteen wives and sixty concubines, and became the father of twenty-eight sons and sixty daughters.
[WEB | EN | OT | 2 Chronicles | Chapter 11 | Verse 22] Rehoboam appointed Abijah the son of Maacah to be chief, the prince among his brothers, for he intended to make him king.
[WEB | EN | OT | 2 Chronicles | Chapter 11 | Verse 23] He dealt wisely, and dispersed some of his sons throughout all the lands of Judah and Benjamin, to every fortified city. He gave them food in abundance; and he sought many wives for them.
