[GNV | EN | OT | Hosea | Chapter 10 | Verse 1] Israel is a emptie vine, yet hath it brought foorth fruite vnto it selfe, and according to the multitude of the fruite thereof he hath increased the altars: according to the goodnesse of their lande they haue made faire images.
[GNV | EN | OT | Hosea | Chapter 10 | Verse 2] Their heart is deuided: nowe shall they be founde faultie: he shall breake downe their altars: he shall destroy their images.
[GNV | EN | OT | Hosea | Chapter 10 | Verse 3] For now they shall say, We haue no King because we feared not the Lord: and what should a King doe to vs?
[GNV | EN | OT | Hosea | Chapter 10 | Verse 4] They haue spoken woordes, swearing falsly in making a couenant: thus iudgement groweth as wormewoode in the furrowes of the fielde.
[GNV | EN | OT | Hosea | Chapter 10 | Verse 5] The inhabitants of Samaria shall feare because of the calfe of Beth-auen: for the people thereof shall mourne ouer it, and the Chemarims thereof, that reioyced on it for the glorie thereof, because it is departed from it.
[GNV | EN | OT | Hosea | Chapter 10 | Verse 6] It shall bee also brought to Asshur, for a present vnto King Iareb: Ephraim shall receiue shame, and Israel shall be ashamed of his owne counsell.
[GNV | EN | OT | Hosea | Chapter 10 | Verse 7] Of Samaria, the King thereof is destroyed as the some vpon the water.
[GNV | EN | OT | Hosea | Chapter 10 | Verse 8] The hie places also of Auen shall be destroied, euen the sinne of Israel: the thorne and the thistle shall growe vpon their altars, and they shall say to the mountaines, Couer vs, and to the hils, Fall vpon vs.
[GNV | EN | OT | Hosea | Chapter 10 | Verse 9] O Israel, thou hast sinned from the daies of Gibeah: there they stoode: the battell in Gibeah against the children of iniquitie did not touch them.
[GNV | EN | OT | Hosea | Chapter 10 | Verse 10] It is my desire that I should chastice them, and the people shall be gathered against them, when they shall gather themselues in their two furrowes.
[GNV | EN | OT | Hosea | Chapter 10 | Verse 11] And Ephraim is as an heifer vsed to delite in threshing: but I will passe by her faire necke: I will make Ephraim to ride: Iudah shall plowe, and Iaakob shall breake his cloddes.
[GNV | EN | OT | Hosea | Chapter 10 | Verse 12] Sowe to your selues in righteousnes: reape after the measure of mercy: breake vp your fallowe grounde: for it is time to seeke the Lord, till he come and raine righteousnesse vpon you.
[GNV | EN | OT | Hosea | Chapter 10 | Verse 13] But you haue plowed wickednesse: ye haue reaped iniquitie: you haue eaten the fruite of lies: because thou didest trust in thine owne waies, and in the multitude of thy strong men,
[GNV | EN | OT | Hosea | Chapter 10 | Verse 14] Therefore shall a tumult arise among thy people, and all thy munitions shall be destroyed, as Shalman destroyed Beth-arbell in the daie of battell: the mother with the children was dashed in pieces.
[GNV | EN | OT | Hosea | Chapter 10 | Verse 15] So shall Beth-el doe vnto you, because of your malicious wickednes: in a morning shall the King of Israel be destroied.
