[GNV | EN | OT | Hosea | Chapter 2 | Verse 1] Say vnto your brethren, Ammi, and to your sisters, Ruhamah,
[GNV | EN | OT | Hosea | Chapter 2 | Verse 2] Plead with your mother: plead with her: for she is not my wife, neither am I her husband: but let her take away her fornications out of her sight, and her adulteries from betweene her breasts.
[GNV | EN | OT | Hosea | Chapter 2 | Verse 3] Lest I strippe her naked, and set her as in the day that shee was borne, and make her as a wildernes, and leaue her like a drie land, and slaie her for thirst.
[GNV | EN | OT | Hosea | Chapter 2 | Verse 4] And I wil haue no pitie vpon her children: for they be the children of fornications.
[GNV | EN | OT | Hosea | Chapter 2 | Verse 5] For their mother hath plaied the harlot: she that conceiued them, hath done shamefully: for shee said, I will goe after my louers that giue me my bread and my water, my wooll and my flaxe, mine oyle and my drinke.
[GNV | EN | OT | Hosea | Chapter 2 | Verse 6] Therefore beholde, I will stoope thy way with thornes, and make an hedge, that shee shall not finde her pathes.
[GNV | EN | OT | Hosea | Chapter 2 | Verse 7] Though shee follow after her louers, yet shall shee not come at them: though shee seeke them, yet shall shee not finde them: then shall she say, I will goe and returne to my first husband: for at that time was I better then nowe.
[GNV | EN | OT | Hosea | Chapter 2 | Verse 8] Nowe she did not knowe that I gaue her corne, and wine, and oyle, and multiplied her siluer and golde, which they bestowed vpon Baal.
[GNV | EN | OT | Hosea | Chapter 2 | Verse 9] Therefore wil I returne, and take away my corne in the time thereof, and my wine in the season thereof, and will recouer my wool and my flaxe lent, to couer her shame.
[GNV | EN | OT | Hosea | Chapter 2 | Verse 10] And now will I discouer her lewdnes in the sight of her louers, and no man shall deliuer her out of mine hand.
[GNV | EN | OT | Hosea | Chapter 2 | Verse 11] I will also cause all her mirth to cease, her feast daies, her newe moones, and her Sabbathes, and all her solemne feasts.
[GNV | EN | OT | Hosea | Chapter 2 | Verse 12] And I wil destroy her vines and her figtrees, whereof she hath said, These are my rewards that my louers haue giuen mee: and I will make them as a forest, and the wilde beasts shall eate them.
[GNV | EN | OT | Hosea | Chapter 2 | Verse 13] And I wil visit vpon her the daies of Baalim, wherein shee burnt incense to them: and shee decked her selfe with her earings and her iewels, and shee folowed her louers, and forgate me, saith the Lord.
[GNV | EN | OT | Hosea | Chapter 2 | Verse 14] Therefore beholde, I will allure her, and bring her into the wildernesse, and speake friendly vnto her.
[GNV | EN | OT | Hosea | Chapter 2 | Verse 15] And I will giue her her vineyardes from thence, and the valley of Achor for the doore of hope, and shee shall sing there as in the daies of her youth, and as in the daies when shee came vp out of the land of Egypt.
[GNV | EN | OT | Hosea | Chapter 2 | Verse 16] And at that day, sayeth the Lord, thou shalt call me Ishi, and shalt call me no more Baali.
[GNV | EN | OT | Hosea | Chapter 2 | Verse 17] For I will take away the names of Baalim out of her mouth, and they shall be no more remembred by their names.
[GNV | EN | OT | Hosea | Chapter 2 | Verse 18] And in that day wil I make a couenant for them, with the wilde beasts, and with the foules of the heauen, and with that that creepeth vpon the earth: and I will breake the bowe, and the sworde and the battell out of the earth, and will make them to sleepe safely.
[GNV | EN | OT | Hosea | Chapter 2 | Verse 19] And I wil marry thee vnto me for euer: yea, I will marry thee vnto me in righteousnes, and in iudgement, and in mercy and in compassion.
[GNV | EN | OT | Hosea | Chapter 2 | Verse 20] I will euen marry thee vnto me in faithfulnes, and thou shalt knowe the Lord.
[GNV | EN | OT | Hosea | Chapter 2 | Verse 21] And in that day I wil heare, saith the Lord, I will euen heare the heauens, and they shall heare the earth,
[GNV | EN | OT | Hosea | Chapter 2 | Verse 22] And the earth shall heare the corne, and the wine, and the oyle, and they shall heare Izreel.
[GNV | EN | OT | Hosea | Chapter 2 | Verse 23] And I will sowe her vnto me in the earth, and I will haue mercie vpon her, that was not pitied, and I will say to them which were not my people, Thou art my people. And they shall say, Thou art my God.
