[GNV | EN | OT | Hosea | Chapter 7 | Verse 1] When I woulde haue healed Israel, then the iniquitie of Ephraim was discouered, and the wickednesse of Samaria: for they haue dealt falsly: and the theefe commeth in, and the robber spoyleth without.
[GNV | EN | OT | Hosea | Chapter 7 | Verse 2] And they consider not in their hearts, that I remember all their wickednes: now their owne inuentions haue beset them about: they are in my sight.
[GNV | EN | OT | Hosea | Chapter 7 | Verse 3] They make the King glad with their wickednesse, and the princes with their lies.
[GNV | EN | OT | Hosea | Chapter 7 | Verse 4] They are all adulterers, and as a very ouen heated by ye baker, which ceaseth from raysing vp, and from kneading ye dough vntill it be leauened.
[GNV | EN | OT | Hosea | Chapter 7 | Verse 5] This is the day of our King: the princes haue made him sicke with flagons of wine: he stretcheth out his hand to scorners.
[GNV | EN | OT | Hosea | Chapter 7 | Verse 6] For they haue made ready their heart like an ouen whiles they lie in waite: their baker sleepeth all the night: in the morning it burneth as a flame of fire.
[GNV | EN | OT | Hosea | Chapter 7 | Verse 7] They are all hote as an ouen, and haue deuoured their iudges: all their Kings are fallen: there is none among them that calleth vnto me.
[GNV | EN | OT | Hosea | Chapter 7 | Verse 8] Ephraim hath mixt himselfe among the people. Ephraim is as a cake on the hearth not turned.
[GNV | EN | OT | Hosea | Chapter 7 | Verse 9] Strangers haue deuoured his strength, and he knoweth it not: yea, gray heares are here and there vpon him, yet he knoweth not.
[GNV | EN | OT | Hosea | Chapter 7 | Verse 10] And the pride of Israel testifieth to his face, and they doe not returne to the Lord their God, nor seeke him for all this.
[GNV | EN | OT | Hosea | Chapter 7 | Verse 11] Ephraim also is like a doue deceiued, without heart: they call to Egypt: they go to Asshur.
[GNV | EN | OT | Hosea | Chapter 7 | Verse 12] But when they shall go, I will spred my net vpon them, and drawe them downe as the foules of the heauen: I will chastice them as their congregation hath heard.
[GNV | EN | OT | Hosea | Chapter 7 | Verse 13] Wo vnto them: for they haue fled away from me: destruction shalbe vnto them, because they haue transgressed against me: though I haue redeemed them, yet they haue spoken lyes against me.
[GNV | EN | OT | Hosea | Chapter 7 | Verse 14] And they haue not cryed vnto me with their hearts, when they houled vpon their beds: they assembled themselues for corne, and wine, and they rebell against me.
[GNV | EN | OT | Hosea | Chapter 7 | Verse 15] Though I haue boud and strengthened their arme, yet doe they imagine mischiefe against me.
[GNV | EN | OT | Hosea | Chapter 7 | Verse 16] They returne, but not to the most high: they are like a deceitfull bowe: their princes shall fall by the sword, for the rage of their tongues: this shall be their derision in the land of Egypt.
