[GNV | EN | OT | Hosea | Chapter 13 | Verse 1] When Ephraim spake, there was trembling: hee exalted him selfe in Israel, but he hath sinned in Baal, and is dead.
[GNV | EN | OT | Hosea | Chapter 13 | Verse 2] And nowe they sinne more and more, and haue made them molten images of their siluer, and idoles according to their owne vnderstanding: they were all the woorke of the craftesmen: they say one to another whiles they sacrifice a man, Let them kisse the calues.
[GNV | EN | OT | Hosea | Chapter 13 | Verse 3] Therefore they shall bee as the morning cloude, and as the morning dewe that passeth away, as the chaffe that is driuen with a whirlewind out of the floore, and as the smoke that goeth out of the chimney.
[GNV | EN | OT | Hosea | Chapter 13 | Verse 4] Yet I am the Lord thy God from the land of Egypt, and thou shalt knowe no God but me: for there is no Sauiour beside me.
[GNV | EN | OT | Hosea | Chapter 13 | Verse 5] I did knowe thee in the wildernesse, in the land of drought.
[GNV | EN | OT | Hosea | Chapter 13 | Verse 6] As in their pastures, so were they filled: they were filled, and their heart was exalted: therefore haue they forgotten me.
[GNV | EN | OT | Hosea | Chapter 13 | Verse 7] And I wil be vnto them as a very lyon, and as a leopard in the way of Asshur.
[GNV | EN | OT | Hosea | Chapter 13 | Verse 8] I will meete them, as a beare that is robbed of her whelpes, and I will breake the kall of their heart, and there will I deuoure them like a lion: the wilde beast shall teare them.
[GNV | EN | OT | Hosea | Chapter 13 | Verse 9] O Israel, one hath destroyed thee, but in me is thine helpe.
[GNV | EN | OT | Hosea | Chapter 13 | Verse 10] I am: where is thy King, that shoulde help thee in al thy cities? and thy iudges, of whom thou saidest, Giue me a King, and princes?
[GNV | EN | OT | Hosea | Chapter 13 | Verse 11] I gaue thee a King in mine anger, and I tooke him away in my wrath.
[GNV | EN | OT | Hosea | Chapter 13 | Verse 12] The iniquitie of Ephraim is bound vp: his sinne is hid.
[GNV | EN | OT | Hosea | Chapter 13 | Verse 13] The sorowes of a trauailing woman shall come vpon him: he is an vnwise sonne, els would he not stande still at the time, euen at the breaking forth of the children.
[GNV | EN | OT | Hosea | Chapter 13 | Verse 14] I wil redeeme them from the power of the graue: I will deliuer them from death: O death, I wil be thy death: O graue, I will be thy destruction: repentance is hid from mine eyes.
[GNV | EN | OT | Hosea | Chapter 13 | Verse 15] Though he grewe vp among his brethren, an East winde shall come, euen the winde of the Lord shall come vp from the wildernesse, and drie vp his veine, and his fountaine shalbe dryed vp: he shall spoyle the treasure of all pleasant vessels.
