[GNV | EN | OT | Song of Solomon | Chapter 1 | Verse 1] Let him kisse me with the kisses of his mouth: for thy loue is better then wine.
[GNV | EN | OT | Song of Solomon | Chapter 1 | Verse 2] Because of the sauour of thy good ointments thy name is as an ointment powred out: therefore the virgins loue thee.
[GNV | EN | OT | Song of Solomon | Chapter 1 | Verse 3] Drawe me: we will runne after thee: the King hath brought me into his chabers: we will reioyce and be glad in thee: we will remember thy loue more then wine: the righteous do loue thee.
[GNV | EN | OT | Song of Solomon | Chapter 1 | Verse 4] I am blacke, O daughters of Ierusalem, but comely, as the tentes of Kedar, and as the curtaines of Salomon.
[GNV | EN | OT | Song of Solomon | Chapter 1 | Verse 5] Regard ye me not because I am blacke: for the sunne hath looked vpon mee. The sonnes of my mother were angry against mee: they made me the keeper of ye vines: but I kept not mine owne vine.
[GNV | EN | OT | Song of Solomon | Chapter 1 | Verse 6] Shewe me, O thou, whome my soule loueth, where thou feedest, where thou liest at noone: for why should I be as she that turneth aside to the flockes of thy companions?
[GNV | EN | OT | Song of Solomon | Chapter 1 | Verse 7] If thou knowe not, O thou the fairest among women, get thee foorth by the steps of the flocke, and feede thy kiddes by the tents of the shepheards.
[GNV | EN | OT | Song of Solomon | Chapter 1 | Verse 8] I haue compared thee, O my loue, to the troupe of horses in the charets of Pharaoh.
[GNV | EN | OT | Song of Solomon | Chapter 1 | Verse 9] Thy cheekes are comely with rowes of stones, and thy necke with chaines.
[GNV | EN | OT | Song of Solomon | Chapter 1 | Verse 10] We will make thee borders of golde with studdes of siluer.
[GNV | EN | OT | Song of Solomon | Chapter 1 | Verse 11] Whiles the King was at his repast, my spikenard gaue the smelll thereof.
[GNV | EN | OT | Song of Solomon | Chapter 1 | Verse 12] My welbeloued is as a bundle of myrrhe vnto me: he shall lie betweene my breasts.
[GNV | EN | OT | Song of Solomon | Chapter 1 | Verse 13] My welbeloued is as a cluster of camphire vnto me in the vines of Engedi.
[GNV | EN | OT | Song of Solomon | Chapter 1 | Verse 14] My loue, beholde, thou art faire: beholde, thou art faire: thine eyes are like the doues.
[GNV | EN | OT | Song of Solomon | Chapter 1 | Verse 15] My welbeloued, beholde, thou art faire and pleasant: also our bed is greene:
[GNV | EN | OT | Song of Solomon | Chapter 1 | Verse 16] The beames of our house are cedars, our rafters are of firre.
