[ASV | EN | NT | Matthew | Chapter 20 | Verse 1] For the kingdom of heaven is like unto a man that was a householder, who went out early in the morning to hire laborers into his vineyard.
[ASV | EN | NT | Matthew | Chapter 20 | Verse 2] And when he had agreed with the laborers for a denarius a day, he sent them into his vineyard.
[ASV | EN | NT | Matthew | Chapter 20 | Verse 3] And he went out about the third hour, and saw others standing in the marketplace idle;
[ASV | EN | NT | Matthew | Chapter 20 | Verse 4] and to them he said, Go ye also into the vineyard, and whatsoever is right I will give you.
[ASV | EN | NT | Matthew | Chapter 20 | Verse 5] And they went their way. Again he went out about the sixth and the ninth hour, and did likewise.
[ASV | EN | NT | Matthew | Chapter 20 | Verse 6] And about the eleventh hour he went out, and found others standing idle; and he saith unto them, Why stand ye here all the day idle?
[ASV | EN | NT | Matthew | Chapter 20 | Verse 7] They say unto him, Because no man hath hired us. He saith unto them, Go ye also into the vineyard; and whatsoever is right ye shall receive.
[ASV | EN | NT | Matthew | Chapter 20 | Verse 8] And when even was come, the lord of the vineyard saith unto his steward, Call the laborers, and pay them their hire, beginning from the last unto the first.
[ASV | EN | NT | Matthew | Chapter 20 | Verse 9] And when they came that were hired about the eleventh hour, they received every man a denarius.
[ASV | EN | NT | Matthew | Chapter 20 | Verse 10] Now when the first came, they supposed that they would receive more; and they likewise received every man a denarius.
[ASV | EN | NT | Matthew | Chapter 20 | Verse 11] And when they received it, they murmured against the householder,
[ASV | EN | NT | Matthew | Chapter 20 | Verse 12] saying, These last have spent but one hour, and thou hast made them equal unto us, who have borne the burden of the day and the scorching heat.
[ASV | EN | NT | Matthew | Chapter 20 | Verse 13] But he answered and said to one of them, Friend, I do thee no wrong: didst not thou agree with me for a denarius?
[ASV | EN | NT | Matthew | Chapter 20 | Verse 14] Take up that which is thine, and go thy way; it is my will to give unto this last, even as unto thee.
[ASV | EN | NT | Matthew | Chapter 20 | Verse 15] Or is it not lawful for me to do what I will with mine own? Is thine eye evil, because I am good?
[ASV | EN | NT | Matthew | Chapter 20 | Verse 16] So the last shall be first, and the first last. For many are called, but few chosen.
[ASV | EN | NT | Matthew | Chapter 20 | Verse 17] And as Jesus was going up to Jerusalem, he took the twelve disciples apart in the way, and he said unto them,
[ASV | EN | NT | Matthew | Chapter 20 | Verse 18] Behold, we go up to Jerusalem; and the Son of man shall be delivered unto the chief priests and scribes; and they shall condemn him to death,
[ASV | EN | NT | Matthew | Chapter 20 | Verse 19] and shall deliver him unto the Gentiles to mock, and to scourge, and to crucify: and the third day he shall rise again.
[ASV | EN | NT | Matthew | Chapter 20 | Verse 20] Then came to him the mother of the sons of Zebedee with her sons, worshiping him, and asking a certain thing of him.
[ASV | EN | NT | Matthew | Chapter 20 | Verse 21] And he said unto her, What wouldest thou? She saith unto him, Command that these my two sons may sit, one on thy right hand, and one on thy left hand, in thy kingdom.
[ASV | EN | NT | Matthew | Chapter 20 | Verse 22] But Jesus answered and said, Ye know not what ye ask. Are ye able to drink the cup that I am about to drink? or to be baptized with the baptism that I am baptized with? They say unto him, We are able.
[ASV | EN | NT | Matthew | Chapter 20 | Verse 23] And he saith unto them, My cup indeed ye shall drink; and with the baptism that I am baptized withal shall ye be baptized: but to sit on my right hand, and on my left hand, is not mine to give; but it is for them for whom it hath been prepared of my Father.
[ASV | EN | NT | Matthew | Chapter 20 | Verse 24] And when the ten heard it, they were moved with indignation concerning the two brethren.
[ASV | EN | NT | Matthew | Chapter 20 | Verse 25] But Jesus called them unto him, and said, Ye know that the rulers of the Gentiles lord it over them, and their great ones exercise authority over them.
[ASV | EN | NT | Matthew | Chapter 20 | Verse 26] But it shall not be so be among you: but whosoever would become great among you shall be your minister;
[ASV | EN | NT | Matthew | Chapter 20 | Verse 27] and whosoever would be first among you, let him be your servant:
[ASV | EN | NT | Matthew | Chapter 20 | Verse 28] even as the Son of man came not to be ministered unto, but to minister, and to give his life a ransom for many.
[ASV | EN | NT | Matthew | Chapter 20 | Verse 29] And as they went out from Jericho, a great multitude followed him.
[ASV | EN | NT | Matthew | Chapter 20 | Verse 30] And behold, two blind men sitting by the wayside, when they heard that Jesus was passing by, cried out, saying, Have mercy on us, Lord, thou son of David.
[ASV | EN | NT | Matthew | Chapter 20 | Verse 31] And the multitude rebuked them, that they should hold their peace: but they cried out the more, saying, Have mercy on us, Lord, thou son of David.
[ASV | EN | NT | Matthew | Chapter 20 | Verse 32] And Jesus stood still, and called them, and said, What will ye that I should do unto you?
[ASV | EN | NT | Matthew | Chapter 20 | Verse 33] They say unto him, Lord, that our eyes may be opened.
[ASV | EN | NT | Matthew | Chapter 20 | Verse 34] And Jesus, being moved with compassion, touched their eyes; and straightaway their eyes received sight, and they followed him.
