[ASV | EN | NT | Matthew | Chapter 21 | Verse 1] And when they drew nigh unto Jerusalem, and came unto Bethsphage, at the mount of Olives, then Jesus sent two disciples,
[ASV | EN | NT | Matthew | Chapter 21 | Verse 2] saying unto them, Go into the village that is over against you, and straightaway ye shall find an ass tied, and a colt with her: loose them, and bring them unto me.
[ASV | EN | NT | Matthew | Chapter 21 | Verse 3] And if anyone say aught unto you, ye shall say, The Lord hath need of them; and straightaway he sendeth them.
[ASV | EN | NT | Matthew | Chapter 21 | Verse 4] Now all this is come to pass, that it might be fulfilled which was spoken through the prophet, saying,
[ASV | EN | NT | Matthew | Chapter 21 | Verse 5] Tell ye the daughter of Zion, Behold, thy King cometh unto thee, Meek, and riding upon an ass, And a colt the foal of an ass.
[ASV | EN | NT | Matthew | Chapter 21 | Verse 6] And the disciples went, and did even as Jesus commanded them,
[ASV | EN | NT | Matthew | Chapter 21 | Verse 7] and brought the ass, and the colt, and put on them their garments; and he sat thereon.
[ASV | EN | NT | Matthew | Chapter 21 | Verse 8] And the most part of the multitude spread their own garments in the way; and others cut branches from the trees, and spread them in the way.
[ASV | EN | NT | Matthew | Chapter 21 | Verse 9] And the multitudes that went before, and that followed, cried, saying, Hosanna to the son of David: Blessed is he that cometh in the name of the Lord; Hosanna in the highest.
[ASV | EN | NT | Matthew | Chapter 21 | Verse 10] And when he was come into Jerusalem, all the city was stirred, saying, Who is this?
[ASV | EN | NT | Matthew | Chapter 21 | Verse 11] And the multitudes said, This is Jesus the prophet, who is from Nazareth of Galilee.
[ASV | EN | NT | Matthew | Chapter 21 | Verse 12] And Jesus entered into the temple of God, and cast out all them that sold and bought in the temple, and overthrew the tables of the money-changers, and the seats of them that sold the doves;
[ASV | EN | NT | Matthew | Chapter 21 | Verse 13] and he saith unto them, It is written, My house shall be called a house of prayer: but ye have made it a den of robbers.
[ASV | EN | NT | Matthew | Chapter 21 | Verse 14] And the lame and the blind came to him in the temple; and he healed them.
[ASV | EN | NT | Matthew | Chapter 21 | Verse 15] But when the chief priests and the scribes saw the wonderful things that he did, and the children crying in the temple and saying, Hosanna to the son of David; they were moved with indignation,
[ASV | EN | NT | Matthew | Chapter 21 | Verse 16] and said unto him, Hearest thou what these are saying? And Jesus saith unto them, Yea: did ye never read, Out of the mouth of babes and sucklings thou hast perfected praise?
[ASV | EN | NT | Matthew | Chapter 21 | Verse 17] And he left them, and went forth out of the city to Bethany, and lodged there.
[ASV | EN | NT | Matthew | Chapter 21 | Verse 18] Now in the morning as he returned to the city, he hungered.
[ASV | EN | NT | Matthew | Chapter 21 | Verse 19] And seeing a fig tree by the wayside, he came to it, and found nothing thereon, but leaves only; and he saith unto it, Let there be no fruit from thee henceforward forever. And immediately the fig tree withered away.
[ASV | EN | NT | Matthew | Chapter 21 | Verse 20] And when the disciples saw it, they marveled, saying, How did the fig tree immediately wither away?
[ASV | EN | NT | Matthew | Chapter 21 | Verse 21] And Jesus answered and said unto them, Verily I say unto you, If ye have faith, and doubt not, ye shall not only do what is done to the fig tree, but even if ye shall say unto this mountain, Be thou taken up and cast into the sea, it shall be done.
[ASV | EN | NT | Matthew | Chapter 21 | Verse 22] And all things, whatsoever ye shall ask in prayer, believing, ye shall receive.
[ASV | EN | NT | Matthew | Chapter 21 | Verse 23] And when he was come into the temple, the chief priests and the elders of the people came unto him as he was teaching, and said, By what authority doest thou these things? and who gave thee this authority?
[ASV | EN | NT | Matthew | Chapter 21 | Verse 24] And Jesus answered and said unto them, I also will ask you one question, which if ye tell me, I likewise will tell you by what authority I do these things.
[ASV | EN | NT | Matthew | Chapter 21 | Verse 25] The baptism of John, whence was it? from heaven or from men? And they reasoned with themselves, saying, If we shall say, From heaven; he will say unto us, Why then did ye not believe him?
[ASV | EN | NT | Matthew | Chapter 21 | Verse 26] But if we shall say, From men; we fear the multitude; for all hold John as a prophet.
[ASV | EN | NT | Matthew | Chapter 21 | Verse 27] And they answered Jesus, and said, We know not. He also said unto them, Neither tell I you by what authority I do these things.
[ASV | EN | NT | Matthew | Chapter 21 | Verse 28] But what think ye? A man had two sons; and he came to the first, and said, Son, go work today in my vineyard.
[ASV | EN | NT | Matthew | Chapter 21 | Verse 29] And he answered and said, I will not: but afterward he repented himself, and went.
[ASV | EN | NT | Matthew | Chapter 21 | Verse 30] And he came to the second, and said likewise. And he answered and said, I go, sir: and went not.
[ASV | EN | NT | Matthew | Chapter 21 | Verse 31] Which of the two did the will of his father? They say unto him, The first. Jesus saith unto them, Verily I say unto you, that the publicans and the harlots go into the kingdom of God before you.
[ASV | EN | NT | Matthew | Chapter 21 | Verse 32] For John came unto you in the way of righteousness, and ye believed him not; but the publicans and the harlots believed him: and ye, when ye saw it, repented not yourselves afterward, that ye might believe him.
[ASV | EN | NT | Matthew | Chapter 21 | Verse 33] Hear another parable: There was a certain man that was a householder, who planted a vineyard, and set a hedge about it, and dug a winepress in it, and built a tower, and let it out to husbandmen, and went into another country.
[ASV | EN | NT | Matthew | Chapter 21 | Verse 34] And when the season of the fruits drew near, he sent his servants to the husbandmen, to receive his fruits.
[ASV | EN | NT | Matthew | Chapter 21 | Verse 35] And the husbandmen took his servants, and beat one, and killed another, and stoned another.
[ASV | EN | NT | Matthew | Chapter 21 | Verse 36] Again, he sent other servants more than the first: and they did unto them in like manner.
[ASV | EN | NT | Matthew | Chapter 21 | Verse 37] But afterward he sent unto them his son, saying, They will reverence my son.
[ASV | EN | NT | Matthew | Chapter 21 | Verse 38] But the husbandmen, when they saw the son, said among themselves, This is the heir; come, let us kill him, and take his inheritance.
[ASV | EN | NT | Matthew | Chapter 21 | Verse 39] And they took him, and cast him forth out of the vineyard, and killed him.
[ASV | EN | NT | Matthew | Chapter 21 | Verse 40] When therefore the lord of the vineyard shall come, what will he do unto those husbandmen?
[ASV | EN | NT | Matthew | Chapter 21 | Verse 41] They say unto him, He will miserably destroy those miserable men, and will let out the vineyard unto other husbandmen, who shall render him the fruits in their seasons.
[ASV | EN | NT | Matthew | Chapter 21 | Verse 42] Jesus saith unto them, Did ye never read in the scriptures, The stone which the builders rejected, The same was made the head of the corner; This was from the Lord, And it is marvelous in our eyes?
[ASV | EN | NT | Matthew | Chapter 21 | Verse 43] Therefore say I unto you, The kingdom of God shall be taken away from you, and shall be given to a nation bringing forth the fruits thereof.
[ASV | EN | NT | Matthew | Chapter 21 | Verse 44] And he that falleth on this stone shall be broken to pieces: but on whomsoever it shall fall, it will scatter him as dust.
[ASV | EN | NT | Matthew | Chapter 21 | Verse 45] And when the chief priests and the Pharisees heard his parables, they perceived that he spake of them.
[ASV | EN | NT | Matthew | Chapter 21 | Verse 46] And when they sought to lay hold on him, they feared the multitudes, because they took him for a prophet.
