[ASV | EN | NT | Matthew | Chapter 7 | Verse 1] Judge not, that ye be not judged.
[ASV | EN | NT | Matthew | Chapter 7 | Verse 2] For with what judgment ye judge, ye shall be judged: and with what measure ye mete, it shall be measured unto you.
[ASV | EN | NT | Matthew | Chapter 7 | Verse 3] And why beholdest thou the mote that is in thy brother’s eye, but considerest not the beam that is in thine own eye?
[ASV | EN | NT | Matthew | Chapter 7 | Verse 4] Or how wilt thou say to thy brother, Let me cast out the mote out of thine eye; and lo, the beam is in thine own eye?
[ASV | EN | NT | Matthew | Chapter 7 | Verse 5] Thou hypocrite, cast out first the beam out of thine own eye; and then shalt thou see clearly to cast out the mote out of thy brother’s eye.
[ASV | EN | NT | Matthew | Chapter 7 | Verse 6] Give not that which is holy unto the dogs, neither cast your pearls before the swine, lest haply they trample them under their feet, and turn and rend you.
[ASV | EN | NT | Matthew | Chapter 7 | Verse 7] Ask, and it shall be given you; seek, and ye shall find; knock, and it shall be opened unto you:
[ASV | EN | NT | Matthew | Chapter 7 | Verse 8] for everyone that asketh receiveth; and he that seeketh findeth; and to him that knocketh it shall be opened.
[ASV | EN | NT | Matthew | Chapter 7 | Verse 9] Or what man is there of you, who, if his son shall ask him for a loaf, will give him a stone;
[ASV | EN | NT | Matthew | Chapter 7 | Verse 10] and if he shall ask for a fish, will give him a serpent?
[ASV | EN | NT | Matthew | Chapter 7 | Verse 11] If ye then, being evil, know how to give good gifts unto your children, how much more shall your Father who is in heaven give good things to them that ask him?
[ASV | EN | NT | Matthew | Chapter 7 | Verse 12] All things therefore whatsoever ye would that men should do unto you, even so do ye also unto them: for this is the law and the prophets.
[ASV | EN | NT | Matthew | Chapter 7 | Verse 13] Enter ye in by the narrow gate: for wide is the gate, and broad is the way, that leadeth to destruction, and many are they that enter in thereby.
[ASV | EN | NT | Matthew | Chapter 7 | Verse 14] How narrow is the gate, and straitened the way, that leadeth unto life, and few are they that find it!
[ASV | EN | NT | Matthew | Chapter 7 | Verse 15] But beware of false prophets, who come to you in sheep’s clothing, but inwardly are ravening wolves.
[ASV | EN | NT | Matthew | Chapter 7 | Verse 16] By their fruits ye shall know them. Do men gather grapes of thorns, or figs of thistles?
[ASV | EN | NT | Matthew | Chapter 7 | Verse 17] Even so every good tree bringeth forth good fruit; but the corrupt tree bringeth forth evil fruit.
[ASV | EN | NT | Matthew | Chapter 7 | Verse 18] A good tree cannot bring forth evil fruit, neither can a corrupt tree bring forth good fruit.
[ASV | EN | NT | Matthew | Chapter 7 | Verse 19] Every tree that bringeth not forth good fruit is hewn down, and cast into the fire.
[ASV | EN | NT | Matthew | Chapter 7 | Verse 20] Therefore by their fruits ye shall know them.
[ASV | EN | NT | Matthew | Chapter 7 | Verse 21] Not everyone that saith unto me, Lord, Lord, shall enter into the kingdom of heaven; but he that doeth the will of my Father who is in heaven.
[ASV | EN | NT | Matthew | Chapter 7 | Verse 22] Many will say to me in that day, Lord, Lord, did we not prophesy by thy name, and by thy name cast out demons, and by thy name do many mighty works?
[ASV | EN | NT | Matthew | Chapter 7 | Verse 23] And then will I profess unto them, I never knew you: depart from me, ye that work iniquity.
[ASV | EN | NT | Matthew | Chapter 7 | Verse 24] Everyone therefore that heareth these words of mine, and doeth them, I will liken him unto a wise man, who built his house upon the rock:
[ASV | EN | NT | Matthew | Chapter 7 | Verse 25] and the rain descended, and the floods came, and the winds blew, and beat upon that house; and it fell not: for it was founded upon the rock.
[ASV | EN | NT | Matthew | Chapter 7 | Verse 26] And everyone that heareth these words of mine, and doeth them not, shall be likened unto a foolish man, who built his house upon the sand:
[ASV | EN | NT | Matthew | Chapter 7 | Verse 27] and the rain descended, and the floods came, and the winds blew, and smote upon that house; and it fell: and great was the fall thereof.
[ASV | EN | NT | Matthew | Chapter 7 | Verse 28] And it came to pass, when Jesus had finished these words, the multitudes were astonished at his teaching:
[ASV | EN | NT | Matthew | Chapter 7 | Verse 29] for he taught them as one having authority, and not as the scribes.
