[ASV | EN | NT | Matthew | Chapter 16 | Verse 1] And the Pharisees and Sadducees came, and trying him asked him to show them a sign from heaven.
[ASV | EN | NT | Matthew | Chapter 16 | Verse 2] But he answered and said unto them, When it is evening, ye say, It will be fair weather: for the heaven is red.
[ASV | EN | NT | Matthew | Chapter 16 | Verse 3] And in the morning, It will be foul weather today: for the heaven is red and lowering. Ye hypocrites, ye know how to discern the face of the heaven; but ye cannot discern the signs of the times.
[ASV | EN | NT | Matthew | Chapter 16 | Verse 4] An evil and adulterous generation seeketh after a sign; and there shall no sign be given unto it, but the sign of Jonah the prophet. And he left them, and departed.
[ASV | EN | NT | Matthew | Chapter 16 | Verse 5] And his disciples came to the other side and forgot to take bread.
[ASV | EN | NT | Matthew | Chapter 16 | Verse 6] And Jesus said unto them, Take heed and beware of the leaven of the Pharisees and Sadducees.
[ASV | EN | NT | Matthew | Chapter 16 | Verse 7] And they reasoned among themselves, saying, We took no bread.
[ASV | EN | NT | Matthew | Chapter 16 | Verse 8] And Jesus perceiving it said unto them, O ye of little faith, why reason ye among yourselves, because ye have brought no bread?
[ASV | EN | NT | Matthew | Chapter 16 | Verse 9] Do ye not yet perceive, neither remember the five loaves of the five thousand, and how many baskets ye took up?
[ASV | EN | NT | Matthew | Chapter 16 | Verse 10] Neither the seven loaves of the four thousand, and how many baskets ye took up?
[ASV | EN | NT | Matthew | Chapter 16 | Verse 11] How is it that ye do not perceive that I spake it not to you concerning bread, that ye should beware of the leaven of the Pharisees and Sadducees.
[ASV | EN | NT | Matthew | Chapter 16 | Verse 12] Then understood they that he bade them not beware of the leaven of bread, but of the teaching of the Pharisees and Sadducees.
[ASV | EN | NT | Matthew | Chapter 16 | Verse 13] Now when Jesus came into the parts of Caesarea Philippi, he asked his disciples, saying, Who do men say that I the Son of man am?
[ASV | EN | NT | Matthew | Chapter 16 | Verse 14] And they said, Some say John the Baptist; some, Elijah; and others, Jeremiah, or one of the prophets.
[ASV | EN | NT | Matthew | Chapter 16 | Verse 15] He saith unto them, But who say ye that I am?
[ASV | EN | NT | Matthew | Chapter 16 | Verse 16] And Simon Peter answered and said, Thou art the Christ, the Son of the living God.
[ASV | EN | NT | Matthew | Chapter 16 | Verse 17] And Jesus answered and said unto him, Blessed art thou, Simon Bar-Jonah: for flesh and blood hath not revealed it unto thee, but my Father who is in heaven.
[ASV | EN | NT | Matthew | Chapter 16 | Verse 18] And I also say unto thee, that thou art Peter, and upon this rock I will build my church; and the gates of Hades shall not prevail against it.
[ASV | EN | NT | Matthew | Chapter 16 | Verse 19] And I will give unto thee the keys of the kingdom of heaven: and whatsoever thou shalt bind on earth shall be bound in heaven; and whatsoever thou shalt loose on earth shall be loosed in heaven.
[ASV | EN | NT | Matthew | Chapter 16 | Verse 20] Then charged he his disciples that they should tell no man that he was Jesus the Christ.
[ASV | EN | NT | Matthew | Chapter 16 | Verse 21] From that time began Jesus to show unto his disciples, that he must go unto Jerusalem, and suffer many things of the elders and chief priests and scribes, and be killed, and the third day be raised up.
[ASV | EN | NT | Matthew | Chapter 16 | Verse 22] And Peter took him, and began to rebuke him, saying, Be it far from thee, Lord: this shall never be unto thee.
[ASV | EN | NT | Matthew | Chapter 16 | Verse 23] But he turned, and said unto Peter, Get thee behind me, Satan: thou art a stumbling block unto me: for thou mindest not the things of God, but the things of men.
[ASV | EN | NT | Matthew | Chapter 16 | Verse 24] Then said Jesus unto his disciples, If any man would come after me, let him deny himself, and take up his cross, and follow me.
[ASV | EN | NT | Matthew | Chapter 16 | Verse 25] For whosoever would save his life shall lose it: and whosoever shall lose his life for my sake shall find it.
[ASV | EN | NT | Matthew | Chapter 16 | Verse 26] For what is a man profited, if he shall gain the whole world, and forfeit his life? or what shall a man give in exchange for his life?
[ASV | EN | NT | Matthew | Chapter 16 | Verse 27] For the Son of man shall come in the glory of his Father with his angels; and then shall he render unto every man according to his deeds.
[ASV | EN | NT | Matthew | Chapter 16 | Verse 28] Verily I say unto you, There are some standing here, who shall in no wise taste of death, till they see the Son of man coming in his kingdom.
