[ASV | EN | NT | Matthew | Chapter 15 | Verse 1] Then there come to Jesus the scribes and Pharisees that were from Jerusalem, saying,
[ASV | EN | NT | Matthew | Chapter 15 | Verse 2] Why do thy disciples transgress the tradition of the elders? for they wash not their hands when they eat bread.
[ASV | EN | NT | Matthew | Chapter 15 | Verse 3] And he answered and said unto them, Why do ye also transgress the commandment of God because of your tradition?
[ASV | EN | NT | Matthew | Chapter 15 | Verse 4] For God commanded, saying, Honor thy father and thy mother: and, He that speaketh evil of father or mother, let him die the death.
[ASV | EN | NT | Matthew | Chapter 15 | Verse 5] But ye say, Whosoever shall say to his father or his mother, That wherewith thou mightest have been profited by me is given to God; and he shall not honor his father or his mother.
[ASV | EN | NT | Matthew | Chapter 15 | Verse 6] And ye have made void the commandment of God because of your tradition.
[ASV | EN | NT | Matthew | Chapter 15 | Verse 7] Ye hypocrites, well did Isaiah prophesy of you, saying,
[ASV | EN | NT | Matthew | Chapter 15 | Verse 8] This people draweth nigh unto me with their mouth, And honoreth me with their lips; But their heart is far from me.
[ASV | EN | NT | Matthew | Chapter 15 | Verse 9] But in vain do they worship me, Teaching as their doctrines the precepts of men.
[ASV | EN | NT | Matthew | Chapter 15 | Verse 10] And he called to him the multitude, and said unto them, Hear, and understand:
[ASV | EN | NT | Matthew | Chapter 15 | Verse 11] Not that which entereth into the mouth defileth the man; but that which proceedeth out of the mouth, this defileth the man.
[ASV | EN | NT | Matthew | Chapter 15 | Verse 12] Then came his disciples, and said unto him, Knowest thou that the Pharisees were offended, when they heard this saying?
[ASV | EN | NT | Matthew | Chapter 15 | Verse 13] But he answered and said, Every plant which my heavenly Father planted not, shall be rooted up.
[ASV | EN | NT | Matthew | Chapter 15 | Verse 14] Let them alone: they are blind guides of the blind. And if the blind guide the blind, both shall fall into a pit.
[ASV | EN | NT | Matthew | Chapter 15 | Verse 15] And Peter answered and said unto him, Declare unto us this parable.
[ASV | EN | NT | Matthew | Chapter 15 | Verse 16] And Jesus said, Are ye also even yet without understanding?
[ASV | EN | NT | Matthew | Chapter 15 | Verse 17] Do ye not yet perceive, that whatsoever goeth into the mouth passeth into the belly, and is cast out into the draft?
[ASV | EN | NT | Matthew | Chapter 15 | Verse 18] But the things which proceed out of the mouth come forth out of the heart; and they defile the man.
[ASV | EN | NT | Matthew | Chapter 15 | Verse 19] For out of the heart come forth evil thoughts, murders, adulteries, fornications, thefts, false witness, railings:
[ASV | EN | NT | Matthew | Chapter 15 | Verse 20] these are the things which defile the man; but to eat with unwashed hands defileth not the man.
[ASV | EN | NT | Matthew | Chapter 15 | Verse 21] And Jesus went out thence, and withdrew into the parts of Tyre and Sidon.
[ASV | EN | NT | Matthew | Chapter 15 | Verse 22] And behold, a Canaanitish woman came out from those borders, and cried unto him, saying, Have mercy on me, O Lord, thou son of David; my daughter is grievously vexed with a demon.
[ASV | EN | NT | Matthew | Chapter 15 | Verse 23] But he answered her not a word. And his disciples came and besought him, saying, Send her away; for she crieth after us.
[ASV | EN | NT | Matthew | Chapter 15 | Verse 24] But he answered and said, I was not sent but unto the lost sheep of the house of Israel.
[ASV | EN | NT | Matthew | Chapter 15 | Verse 25] But she came and worshiped him, saying, Lord, help me.
[ASV | EN | NT | Matthew | Chapter 15 | Verse 26] And he answered and said, It is not meet to take the children’s bread and cast it to the dogs.
[ASV | EN | NT | Matthew | Chapter 15 | Verse 27] But she said, Yea, Lord: for even the dogs eat of the crumbs which fall from their masters’ table.
[ASV | EN | NT | Matthew | Chapter 15 | Verse 28] Then Jesus answered and said unto her, O woman, great is thy faith: be it done unto thee even as thou wilt. And her daughter was healed from that hour.
[ASV | EN | NT | Matthew | Chapter 15 | Verse 29] And Jesus departed thence, and came nigh unto the sea of Galilee; and he went up into the mountain, and sat there.
[ASV | EN | NT | Matthew | Chapter 15 | Verse 30] And there came unto him great multitudes, having with them the lame, blind, dumb, maimed, and many others, and they cast them down at Jesus’ feet; and he healed them:
[ASV | EN | NT | Matthew | Chapter 15 | Verse 31] insomuch that the multitudes wondered, when they saw the dumb speaking, the maimed whole, the lame walking, and the blind seeing: and they glorified the God of Israel.
[ASV | EN | NT | Matthew | Chapter 15 | Verse 32] And Jesus called unto him his disciples, and said, I have compassion on the multitude, because they continue with me now three days and have nothing to eat: and I would not send them away fasting, lest haply they faint on the way.
[ASV | EN | NT | Matthew | Chapter 15 | Verse 33] And his disciples say unto him, Whence should we have so many loaves in a desert place as to fill so great a multitude?
[ASV | EN | NT | Matthew | Chapter 15 | Verse 34] And Jesus saith unto them, How many loaves have ye? And they said, Seven, and a few small fish.
[ASV | EN | NT | Matthew | Chapter 15 | Verse 35] And he commanded the multitudes to sit down on the ground;
[ASV | EN | NT | Matthew | Chapter 15 | Verse 36] and having taken the seven loaves and the fish, he gave thanks and brake, and gave to his disciples, and the disciples to the multitude.
[ASV | EN | NT | Matthew | Chapter 15 | Verse 37] And they all ate, and were filled: and they took up that which remained over of the broken pieces, seven baskets full.
[ASV | EN | NT | Matthew | Chapter 15 | Verse 38] And they that did eat were four thousand men, besides women and children.
[ASV | EN | NT | Matthew | Chapter 15 | Verse 39] And he sent away the multitudes, and entered into the boat, and came into the borders of Magdala.
