[ASV | EN | NT | Matthew | Chapter 28 | Verse 1] Now late on the sabbath day, as it began to dawn toward the first day of the week, came Mary Magdalene and the other Mary to see the sepulcher.
[ASV | EN | NT | Matthew | Chapter 28 | Verse 2] And behold, there was a great earthquake; for an angel of the Lord descended from heaven, came and rolled away the stone from the door, and sat upon it.
[ASV | EN | NT | Matthew | Chapter 28 | Verse 3] His appearance was as lightning, and his raiment white as snow:
[ASV | EN | NT | Matthew | Chapter 28 | Verse 4] and for fear of him the watchers did quake, and became as dead men.
[ASV | EN | NT | Matthew | Chapter 28 | Verse 5] And the angel answered and said unto the women, Fear not ye; for I know that ye seek Jesus, who hath been crucified.
[ASV | EN | NT | Matthew | Chapter 28 | Verse 6] He is not here; for he is risen, even as he said. Come, see the place where the Lord lay.
[ASV | EN | NT | Matthew | Chapter 28 | Verse 7] And go quickly, and tell his disciples, He is risen from the dead; and lo, he goeth before you into Galilee; there shall ye see him: lo, I have told you.
[ASV | EN | NT | Matthew | Chapter 28 | Verse 8] And they went out quickly from the tomb with fear and great joy, and ran to bring his disciples word.
[ASV | EN | NT | Matthew | Chapter 28 | Verse 9] And as they went to tell his disciples, then behold, Jesus met them, saying, All hail. And they came and took hold of his feet, and worshiped him.
[ASV | EN | NT | Matthew | Chapter 28 | Verse 10] Then saith Jesus unto them, Fear not: go tell my brethren that they depart into Galilee, and there shall they see me.
[ASV | EN | NT | Matthew | Chapter 28 | Verse 11] Now while they were going, behold, some of the guard came into the city, and told unto the chief priests all the things that were come to pass.
[ASV | EN | NT | Matthew | Chapter 28 | Verse 12] And when they were assembled with the elders, and had taken counsel, they gave much money unto the soldiers,
[ASV | EN | NT | Matthew | Chapter 28 | Verse 13] saying, Say ye, His disciples came by night, and stole him away while we slept.
[ASV | EN | NT | Matthew | Chapter 28 | Verse 14] And if this come to the governor’s ears, we will persuade him, and rid you of care.
[ASV | EN | NT | Matthew | Chapter 28 | Verse 15] So they took the money, and did as they were taught: and this saying was spread abroad among the Jews, and continueth until this day.
[ASV | EN | NT | Matthew | Chapter 28 | Verse 16] But the eleven disciples went into Galilee, unto the mountain where Jesus had appointed them.
[ASV | EN | NT | Matthew | Chapter 28 | Verse 17] And when they saw him, they worshiped him; but some doubted.
[ASV | EN | NT | Matthew | Chapter 28 | Verse 18] And Jesus came to them and spake unto them, saying, All authority hath been given unto me in heaven and on earth.
[ASV | EN | NT | Matthew | Chapter 28 | Verse 19] Go ye, and make disciples of all the nations, baptizing them into the name of the Father and of the Son and of the Holy Spirit:
[ASV | EN | NT | Matthew | Chapter 28 | Verse 20] teaching them to observe all things whatsoever I commanded you: and lo, I am with you always, even unto the end of the world. Amen.
