[ASV | EN | NT | Matthew | Chapter 26 | Verse 1] And it came to pass, when Jesus had finished all these words, he said unto his disciples,
[ASV | EN | NT | Matthew | Chapter 26 | Verse 2] Ye know that after two days the passover cometh, and the Son of man is delivered up to be crucified.
[ASV | EN | NT | Matthew | Chapter 26 | Verse 3] Then were gathered together the chief priests, and the scribes, and the elders of the people, unto the court of the high priest, who was called Caiaphas;
[ASV | EN | NT | Matthew | Chapter 26 | Verse 4] and they took counsel together that they might take Jesus by subtlety, and kill him.
[ASV | EN | NT | Matthew | Chapter 26 | Verse 5] But they said, Not during the feast, lest a tumult arise among the people.
[ASV | EN | NT | Matthew | Chapter 26 | Verse 6] Now when Jesus was in Bethany, in the house of Simon the leper,
[ASV | EN | NT | Matthew | Chapter 26 | Verse 7] there came unto him a woman having an alabaster cruse of exceeding precious ointment, and she poured it upon his head, as he sat at meat.
[ASV | EN | NT | Matthew | Chapter 26 | Verse 8] But when his disciples saw it, they had indignation, saying, To what purpose is this waste?
[ASV | EN | NT | Matthew | Chapter 26 | Verse 9] For this ointment might have been sold for much, and given to the poor.
[ASV | EN | NT | Matthew | Chapter 26 | Verse 10] But Jesus perceiving it said unto them, Why trouble ye the woman? for she hath wrought a good work upon me.
[ASV | EN | NT | Matthew | Chapter 26 | Verse 11] For ye have the poor always with you; but me ye have not always.
[ASV | EN | NT | Matthew | Chapter 26 | Verse 12] For in that she poured this ointment upon my body, she did it to prepare me for burial.
[ASV | EN | NT | Matthew | Chapter 26 | Verse 13] Verily I say unto you, Wheresoever this gospel shall be preached in the whole world, that also which this woman hath done shall be spoken of for a memorial of her.
[ASV | EN | NT | Matthew | Chapter 26 | Verse 14] Then one of the twelve, who was called Judas Iscariot, went unto the chief priests,
[ASV | EN | NT | Matthew | Chapter 26 | Verse 15] and said, What are ye willing to give me, and I will deliver him unto you? And they weighed unto him thirty pieces of silver.
[ASV | EN | NT | Matthew | Chapter 26 | Verse 16] And from that time he sought opportunity to deliver him unto them.
[ASV | EN | NT | Matthew | Chapter 26 | Verse 17] Now on the first day of unleavened bread the disciples came to Jesus, saying unto him, Where wilt thou that we should make ready for thee to eat the passover?
[ASV | EN | NT | Matthew | Chapter 26 | Verse 18] And he said, Go into the city to such a man, and say unto him, The Teacher saith, My time is at hand; I keep the passover at thy house with my disciples.
[ASV | EN | NT | Matthew | Chapter 26 | Verse 19] And the disciples did as Jesus appointed them; and they made ready the passover.
[ASV | EN | NT | Matthew | Chapter 26 | Verse 20] Now when even was come, he was sitting at meat with the twelve;
[ASV | EN | NT | Matthew | Chapter 26 | Verse 21] and as they were eating, he said, Verily I say unto you, that one of you shall betray me.
[ASV | EN | NT | Matthew | Chapter 26 | Verse 22] And they were exceeding sorrowful, and began to say unto him each of them, Is it I, Lord?
[ASV | EN | NT | Matthew | Chapter 26 | Verse 23] And he answered and said, He that dipped his hand with me in the dish, the same shall betray me.
[ASV | EN | NT | Matthew | Chapter 26 | Verse 24] The Son of man goeth, even as it is written of him: but woe unto that man through whom the Son of man is betrayed! good were it for that man if he had not been born.
[ASV | EN | NT | Matthew | Chapter 26 | Verse 25] And Judas, who betrayed him, answered and said, Is it I, Rabbi? He saith unto him, Thou hast said.
[ASV | EN | NT | Matthew | Chapter 26 | Verse 26] And as they were eating, Jesus took the bread, and gave thanks, and brake it; and he gave to the disciples, and said, Take, eat; this is my body.
[ASV | EN | NT | Matthew | Chapter 26 | Verse 27] And he took the cup, and gave thanks, and gave to them, saying, Drink ye all of it;
[ASV | EN | NT | Matthew | Chapter 26 | Verse 28] for this is my blood of the new covenant, which is poured out for many unto remission of sins.
[ASV | EN | NT | Matthew | Chapter 26 | Verse 29] But I say unto you, that I shall not drink henceforth of this fruit of the vine, until that day when I drink it new with you in my Father’s kingdom.
[ASV | EN | NT | Matthew | Chapter 26 | Verse 30] And when they had sung a hymn, they went out into the mount of Olives.
[ASV | EN | NT | Matthew | Chapter 26 | Verse 31] Then saith Jesus unto them, All ye shall be offended in me this night: for it is written, I will smite the shepherd, and the sheep of the flock shall be scattered abroad.
[ASV | EN | NT | Matthew | Chapter 26 | Verse 32] But after I am raised up, I will go before you into Galilee.
[ASV | EN | NT | Matthew | Chapter 26 | Verse 33] But Peter answered and said unto him, If all shall be offended in thee, yet I will never be offended.
[ASV | EN | NT | Matthew | Chapter 26 | Verse 34] Jesus said unto him, Verily I say unto thee, that this night, before the cock crow, thou shalt deny me thrice.
[ASV | EN | NT | Matthew | Chapter 26 | Verse 35] Peter saith unto him, Even if I must die with thee, yet will I not deny thee. And likewise also said all the disciples.
[ASV | EN | NT | Matthew | Chapter 26 | Verse 36] Then cometh Jesus with them unto a place called Gethsemane, and saith unto the disciples, Sit ye here, while I go and pray yonder.
[ASV | EN | NT | Matthew | Chapter 26 | Verse 37] And he took with him Peter and the two sons of Zebedee, and began to be sorrowful and sore troubled.
[ASV | EN | NT | Matthew | Chapter 26 | Verse 38] Then saith Jesus unto them, My soul is exceeding sorrowful, even unto death: abide ye here, and watch with me.
[ASV | EN | NT | Matthew | Chapter 26 | Verse 39] And he went forward a little, and fell on his face, and prayed, saying, My Father, if it be possible, let this cup pass away from me: nevertheless, not as I will, but as thou wilt.
[ASV | EN | NT | Matthew | Chapter 26 | Verse 40] And he cometh unto the disciples, and findeth them sleeping, and saith unto Peter, What, could ye not watch with me one hour?
[ASV | EN | NT | Matthew | Chapter 26 | Verse 41] Watch and pray, that ye enter not into temptation: the spirit indeed is willing, but the flesh is weak.
[ASV | EN | NT | Matthew | Chapter 26 | Verse 42] Again a second time he went away, and prayed, saying, My Father, if this cup cannot pass away from me, except I drink it, thy will be done.
[ASV | EN | NT | Matthew | Chapter 26 | Verse 43] And he cometh and findeth them sleeping again, for their eyes were heavy.
[ASV | EN | NT | Matthew | Chapter 26 | Verse 44] And he left them, and went away again, and prayed a third time, saying the same words.
[ASV | EN | NT | Matthew | Chapter 26 | Verse 45] Then cometh he to his disciples, and saith unto them, Sleep on now, and take your rest: behold, the hour is at hand, and the Son of man is betrayed into the hands of sinners.
[ASV | EN | NT | Matthew | Chapter 26 | Verse 46] Arise, let us be going: behold, he is at hand that betrayeth me.
[ASV | EN | NT | Matthew | Chapter 26 | Verse 47] And while he yet spake, lo, Judas, one of the twelve, came, and with him a great multitude with swords and staves, from the chief priests and elders of the people.
[ASV | EN | NT | Matthew | Chapter 26 | Verse 48] Now he that betrayed him gave them a sign, saying, Whomsoever I shall kiss, that is he: take him.
[ASV | EN | NT | Matthew | Chapter 26 | Verse 49] And straightaway he came to Jesus, and said, Hail, Rabbi; and kissed him.
[ASV | EN | NT | Matthew | Chapter 26 | Verse 50] And Jesus said unto him, Friend, wherefore art thou come? Then they came and laid hands on Jesus, and took him.
[ASV | EN | NT | Matthew | Chapter 26 | Verse 51] And behold, one of them that were with Jesus stretched out his hand, and drew his sword, and smote the servant of the high priest, and struck off his ear.
[ASV | EN | NT | Matthew | Chapter 26 | Verse 52] Then saith Jesus unto him, Put up again thy sword into its place: for all they that take the sword shall die by the sword.
[ASV | EN | NT | Matthew | Chapter 26 | Verse 53] Or thinkest thou that I cannot now beseech my Father, and he shall send me more than twelve legions of angels?
[ASV | EN | NT | Matthew | Chapter 26 | Verse 54] How then should the scriptures be fulfilled, that thus it must be?
[ASV | EN | NT | Matthew | Chapter 26 | Verse 55] In that hour said Jesus to the multitudes, Are ye come out as against a robber with swords and staves to seize me? I sat daily with you teaching in the temple, and ye took me not.
[ASV | EN | NT | Matthew | Chapter 26 | Verse 56] But all this is come to pass, that the scriptures of the prophets might be fulfilled. Then all the disciples left him, and fled.
[ASV | EN | NT | Matthew | Chapter 26 | Verse 57] And they that had taken Jesus led him away to the house of Caiaphas the high priest, where the scribes and the elders were gathered together.
[ASV | EN | NT | Matthew | Chapter 26 | Verse 58] But Peter followed him afar off, unto the court of the high priest, and entered in, and sat with the officers, to see the end.
[ASV | EN | NT | Matthew | Chapter 26 | Verse 59] Now the chief priests, and the elders, and the whole council sought false witness against Jesus, that they might put him to death;
[ASV | EN | NT | Matthew | Chapter 26 | Verse 60] and they found none: yea, though many false witnesses came, yet found they none.
[ASV | EN | NT | Matthew | Chapter 26 | Verse 61] But afterward came two false witnesses, and said, This man said, I am able to destroy the temple of God, and to build it in three days.
[ASV | EN | NT | Matthew | Chapter 26 | Verse 62] And the high priest stood up, and said unto him, Answerest thou nothing? what is it which these witness against thee?
[ASV | EN | NT | Matthew | Chapter 26 | Verse 63] But Jesus held his peace. And the high priest answered and said unto him, I adjure thee by the living God, that thou tell us whether thou art the Christ, the Son of God.
[ASV | EN | NT | Matthew | Chapter 26 | Verse 64] Jesus saith unto him, Thou hast said: nevertheless I say unto you, Henceforth ye shall see the Son of man sitting at the right hand of Power, and coming on the clouds of heaven.
[ASV | EN | NT | Matthew | Chapter 26 | Verse 65] Then the high priest rent his garments, saying, He hath spoken blasphemy: what further need have we of witnesses? behold, now ye have heard his blasphemy:
[ASV | EN | NT | Matthew | Chapter 26 | Verse 66] what think ye? They answered and said, He is worthy of death.
[ASV | EN | NT | Matthew | Chapter 26 | Verse 67] Then did they spit in his face and buffet him: and some smote him with the palms of their hands,
[ASV | EN | NT | Matthew | Chapter 26 | Verse 68] saying, Prophesy unto us, thou Christ: who is he that struck thee?
[ASV | EN | NT | Matthew | Chapter 26 | Verse 69] Now Peter was sitting without in the court: and a maid came unto him, saying, Thou also wast with Jesus the Galilean.
[ASV | EN | NT | Matthew | Chapter 26 | Verse 70] But he denied before them all, saying, I know not what thou sayest.
[ASV | EN | NT | Matthew | Chapter 26 | Verse 71] And when he was gone out into the porch, another maid saw him, and saith unto them there, This man also was with Jesus of Nazareth.
[ASV | EN | NT | Matthew | Chapter 26 | Verse 72] And again he denied with an oath, I know not the man.
[ASV | EN | NT | Matthew | Chapter 26 | Verse 73] And after a little while they that stood by came and said to Peter, Of a truth thou also art one of them; for thy speech maketh thee known.
[ASV | EN | NT | Matthew | Chapter 26 | Verse 74] Then began he to curse and to swear, I know not the man. And straightaway the cock crowed.
[ASV | EN | NT | Matthew | Chapter 26 | Verse 75] And Peter remembered the word of Jesus, which he had said unto him, Before the cock crow, thou shalt deny me thrice. And he went out, and wept bitterly.
