[ASV | EN | NT | Matthew | Chapter 14 | Verse 1] At that season Herod the tetrarch heard the report concerning Jesus,
[ASV | EN | NT | Matthew | Chapter 14 | Verse 2] and said unto his servants, This is John the Baptist; he is risen from the dead; and therefore do these powers work in him.
[ASV | EN | NT | Matthew | Chapter 14 | Verse 3] For Herod had laid hold on John, and bound him, and put him in prison for the sake of Herodias, his brother Philip’s wife.
[ASV | EN | NT | Matthew | Chapter 14 | Verse 4] For John said unto him, It is not lawful for thee to have her.
[ASV | EN | NT | Matthew | Chapter 14 | Verse 5] And when he would have put him to death, he feared the multitude, because they counted him as a prophet.
[ASV | EN | NT | Matthew | Chapter 14 | Verse 6] But when Herod’s birthday was kept, the daughter of Herodias danced in the midst, and pleased Herod.
[ASV | EN | NT | Matthew | Chapter 14 | Verse 7] Whereupon he promised with an oath to give her whatsoever she should ask.
[ASV | EN | NT | Matthew | Chapter 14 | Verse 8] And she, being put forward by her mother, saith, Give me here on a platter the head of John the Baptist.
[ASV | EN | NT | Matthew | Chapter 14 | Verse 9] And the king was grieved; but for the sake of his oaths, and of them that sat at meat with him, he commanded it to be given;
[ASV | EN | NT | Matthew | Chapter 14 | Verse 10] and he sent and beheaded John in the prison.
[ASV | EN | NT | Matthew | Chapter 14 | Verse 11] And his head was brought on a platter, and given to the damsel: and she brought it to her mother.
[ASV | EN | NT | Matthew | Chapter 14 | Verse 12] And his disciples came, and took up the body, and buried it; and they went and told Jesus.
[ASV | EN | NT | Matthew | Chapter 14 | Verse 13] And when Jesus heard it, he withdrew from thence in a boat, to a desert place apart: and when the multitudes heard thereof, they followed him on foot from the cities.
[ASV | EN | NT | Matthew | Chapter 14 | Verse 14] And Jesus came forth, and saw a great multitude, and he had compassion on them, and healed their sick.
[ASV | EN | NT | Matthew | Chapter 14 | Verse 15] And when even was come, his disciples came to him, saying, The place is desert, and the time is already past; send the multitudes away, that they may go into the villages, and buy themselves food.
[ASV | EN | NT | Matthew | Chapter 14 | Verse 16] But Jesus said unto them, They have no need to go away; give ye them to eat.
[ASV | EN | NT | Matthew | Chapter 14 | Verse 17] And they say unto him, We have here but five loaves, and two fish.
[ASV | EN | NT | Matthew | Chapter 14 | Verse 18] And he said, Bring them hither to me.
[ASV | EN | NT | Matthew | Chapter 14 | Verse 19] And he commanded the multitudes to sit down on the grass; and he took the five loaves, and the two fish, and looking up to heaven, he blessed, and brake and gave the loaves to the disciples, and the disciples to the multitudes.
[ASV | EN | NT | Matthew | Chapter 14 | Verse 20] And they all ate, and were filled: and they took up that which remained over of the broken pieces, twelve baskets full.
[ASV | EN | NT | Matthew | Chapter 14 | Verse 21] And they that did eat were about five thousand men, besides women and children.
[ASV | EN | NT | Matthew | Chapter 14 | Verse 22] And straightaway Jesus constrained the disciples to enter into the boat, and to go before him unto the other side, till he should send the multitudes away.
[ASV | EN | NT | Matthew | Chapter 14 | Verse 23] And after he had sent the multitudes away, he went up into the mountain apart to pray: and when even was come, he was there alone.
[ASV | EN | NT | Matthew | Chapter 14 | Verse 24] But the boat was now in the midst of the sea, distressed by the waves; for the wind was contrary.
[ASV | EN | NT | Matthew | Chapter 14 | Verse 25] And in the fourth watch of the night Jesus went unto them, walking upon the sea.
[ASV | EN | NT | Matthew | Chapter 14 | Verse 26] And when the disciples saw him walking on the sea, they were troubled, saying, It is a ghost; and they cried out for fear.
[ASV | EN | NT | Matthew | Chapter 14 | Verse 27] But straightaway Jesus spake unto them, saying, Be of good cheer; it is I; be not afraid.
[ASV | EN | NT | Matthew | Chapter 14 | Verse 28] And Peter answered him and said, Lord, if it be thou, bid me come unto thee upon the waters.
[ASV | EN | NT | Matthew | Chapter 14 | Verse 29] And he said, Come. And Peter went down from the boat, and walked upon the waters to go to Jesus.
[ASV | EN | NT | Matthew | Chapter 14 | Verse 30] But when he saw the strong wind, he was afraid; and beginning to sink, he cried out, saying, Lord, save me.
[ASV | EN | NT | Matthew | Chapter 14 | Verse 31] And immediately Jesus stretched forth his hand, and took hold of him, and saith unto him, O thou of little faith, wherefore didst thou doubt?
[ASV | EN | NT | Matthew | Chapter 14 | Verse 32] And when they had entered into the boat, the wind ceased.
[ASV | EN | NT | Matthew | Chapter 14 | Verse 33] And they that were in the boat came and worshiped him, saying, Of a truth thou art the Son of God.
[ASV | EN | NT | Matthew | Chapter 14 | Verse 34] And when they had crossed over, they came to the land of Gennesaret.
[ASV | EN | NT | Matthew | Chapter 14 | Verse 35] And when the men of that place knew him, they sent into all that region round about, and brought unto him all that were sick;
[ASV | EN | NT | Matthew | Chapter 14 | Verse 36] and they besought him that they might only touch the border of his garment: and as many as touched were made whole.
