[ASV | EN | NT | Matthew | Chapter 23 | Verse 1] Then spake Jesus to the multitudes and to his disciples,
[ASV | EN | NT | Matthew | Chapter 23 | Verse 2] saying, The scribes and the Pharisees sit on Moses’ seat:
[ASV | EN | NT | Matthew | Chapter 23 | Verse 3] all things therefore whatsoever they bid you observe, these observe and do: but do not ye after their works; for they say, and do not.
[ASV | EN | NT | Matthew | Chapter 23 | Verse 4] For they bind heavy burdens and grievous to be borne, and lay them on men’s shoulders; but they will not move them with their finger.
[ASV | EN | NT | Matthew | Chapter 23 | Verse 5] But all their works they do to be seen of men: and they make broad their phylacteries, and enlarge the borders of their garments,
[ASV | EN | NT | Matthew | Chapter 23 | Verse 6] and love the chief place at feasts, and the chief seats in the synagogues,
[ASV | EN | NT | Matthew | Chapter 23 | Verse 7] and the salutations in the marketplaces, and to be called of men, Rabbi, Rabbi.
[ASV | EN | NT | Matthew | Chapter 23 | Verse 8] But be not ye called Rabbi: for one is your master, even Christ, and all ye are brethren.
[ASV | EN | NT | Matthew | Chapter 23 | Verse 9] And call no man your father on the earth: for one is your Father, even he who is in heaven.
[ASV | EN | NT | Matthew | Chapter 23 | Verse 10] Neither be ye called masters: for one is your master, even the Christ.
[ASV | EN | NT | Matthew | Chapter 23 | Verse 11] But he that is greatest among you shall be your servant.
[ASV | EN | NT | Matthew | Chapter 23 | Verse 12] And whosoever shall exalt himself shall be humbled; and whosoever shall humble himself shall be exalted.
[ASV | EN | NT | Matthew | Chapter 23 | Verse 13] But woe unto you, scribes and Pharisees, hypocrites! for ye devour widows’ houses, even while for a pretense ye make long prayers: therefore ye shall receive greater condemnation.
[ASV | EN | NT | Matthew | Chapter 23 | Verse 14] Woe unto you, scribes and Pharisees, hypocrites! for ye shut the kingdom of heaven against men: for ye enter not in yourselves, neither suffer ye them that are entering in to enter.
[ASV | EN | NT | Matthew | Chapter 23 | Verse 15] Woe unto you, scribes and Pharisees, hypocrites! for ye compass sea and land to make one proselyte; and when he is become so, ye make him twofold more a son of hell than yourselves.
[ASV | EN | NT | Matthew | Chapter 23 | Verse 16] Woe unto you, ye blind guides, that say, Whosoever shall swear by the temple, it is nothing; but whosoever shall swear by the gold of the temple, he is a debtor.
[ASV | EN | NT | Matthew | Chapter 23 | Verse 17] Ye fools and blind: for which is greater, the gold, or the temple that sanctifieth the gold?
[ASV | EN | NT | Matthew | Chapter 23 | Verse 18] And, Whosoever shall swear by the altar, it is nothing; but whosoever shall swear by the gift that is upon it, he is a debtor.
[ASV | EN | NT | Matthew | Chapter 23 | Verse 19] Ye fools and blind: for which is greater, the gift, or the altar that sanctifieth the gift?
[ASV | EN | NT | Matthew | Chapter 23 | Verse 20] He therefore that sweareth by the altar, sweareth by it, and by all things thereon.
[ASV | EN | NT | Matthew | Chapter 23 | Verse 21] And he that sweareth by the temple, sweareth by it, and by him that hath dwelt therein.
[ASV | EN | NT | Matthew | Chapter 23 | Verse 22] And he that sweareth by the heaven, sweareth by the throne of God, and by him that sitteth thereon.
[ASV | EN | NT | Matthew | Chapter 23 | Verse 23] Woe unto you, scribes and Pharisees, hypocrites! for ye tithe mint and anise and cumin, and have left undone the weightier matters of the law, justice, and mercy, and faith: these ye ought to have done, and not to leave the other undone.
[ASV | EN | NT | Matthew | Chapter 23 | Verse 24] Ye blind guides, that strain out the gnat, and swallow the camel!
[ASV | EN | NT | Matthew | Chapter 23 | Verse 25] Woe unto you, scribes and Pharisees, hypocrites! for ye cleanse the outside of the cup and of the platter, but within they are full from extortion and unrighteousness.
[ASV | EN | NT | Matthew | Chapter 23 | Verse 26] Thou blind Pharisee, cleanse first the inside of the cup and of the platter, that the outside of them may become clean also.
[ASV | EN | NT | Matthew | Chapter 23 | Verse 27] Woe unto you, scribes and Pharisees, hypocrites! for ye are like unto whited sepulchers, which outwardly appear beautiful, but inwardly are full of dead men’s bones, and of all uncleanness.
[ASV | EN | NT | Matthew | Chapter 23 | Verse 28] Even so ye also outwardly appear righteous unto men, but inwardly ye are full of hypocrisy and iniquity.
[ASV | EN | NT | Matthew | Chapter 23 | Verse 29] Woe unto you, scribes and Pharisees, hypocrites! for ye build the sepulchers of the prophets, and garnish the tombs of the righteous,
[ASV | EN | NT | Matthew | Chapter 23 | Verse 30] and say, If we had been in the days of our fathers, we should not have been partakers with them in the blood of the prophets.
[ASV | EN | NT | Matthew | Chapter 23 | Verse 31] Wherefore ye witness to yourselves, that ye are sons of them that slew the prophets.
