[ASV | EN | NT | Matthew | Chapter 4 | Verse 1] Then was Jesus led up of the Spirit into the wilderness to be tempted of the devil.
[ASV | EN | NT | Matthew | Chapter 4 | Verse 2] And when he had fasted forty days and forty nights, he afterward hungered.
[ASV | EN | NT | Matthew | Chapter 4 | Verse 3] And the tempter came to him and said, If thou art the Son of God, command that these stones become bread.
[ASV | EN | NT | Matthew | Chapter 4 | Verse 4] But he answered and said, It is written, Man shall not live by bread alone, but by every word that proceedeth out of the mouth of God.
[ASV | EN | NT | Matthew | Chapter 4 | Verse 5] Then the devil taketh him into the holy city, and setteth him on the pinnacle of the temple,
[ASV | EN | NT | Matthew | Chapter 4 | Verse 6] and saith unto him, If thou art the Son of God, cast thyself down: for it is written, He shall give his angels charge concerning thee: and, On their hands they shall bear thee up, Lest haply thou dash thy foot against a stone.
[ASV | EN | NT | Matthew | Chapter 4 | Verse 7] Jesus said unto him, Again it is written, Thou shalt not make trial of the Lord thy God.
[ASV | EN | NT | Matthew | Chapter 4 | Verse 8] Again, the devil taketh him unto an exceeding high mountain, and showeth him all the kingdoms of the world, and the glory of them;
[ASV | EN | NT | Matthew | Chapter 4 | Verse 9] and he saith unto him, All these things will I give thee, if thou wilt fall down and worship me.
[ASV | EN | NT | Matthew | Chapter 4 | Verse 10] Then saith Jesus unto him, Get thee behind me, Satan: for it is written, Thou shalt worship the Lord thy God, and him only shalt thou serve.
[ASV | EN | NT | Matthew | Chapter 4 | Verse 11] Then the devil leaveth him; and behold, angels came and ministered unto him.
[ASV | EN | NT | Matthew | Chapter 4 | Verse 12] Now when Jesus heard that John was delivered up, he withdrew into Galilee;
[ASV | EN | NT | Matthew | Chapter 4 | Verse 13] and leaving Nazareth, he came and dwelt in Capernaum, which is by the sea, in the borders of Zebulun and Naphtali:
[ASV | EN | NT | Matthew | Chapter 4 | Verse 14] that it might be fulfilled which was spoken through Isaiah the prophet, saying,
[ASV | EN | NT | Matthew | Chapter 4 | Verse 15] The land of Zebulun and the land of Naphtali, Toward the sea, beyond the Jordan, Galilee of the Gentiles,
[ASV | EN | NT | Matthew | Chapter 4 | Verse 16] The people that sat in darkness Saw a great light, And to them that sat in the region and shadow of death, To them did light spring up.
[ASV | EN | NT | Matthew | Chapter 4 | Verse 17] From that time began Jesus to preach, and to say, Repent ye; for the kingdom of heaven is at hand.
[ASV | EN | NT | Matthew | Chapter 4 | Verse 18] And walking by the sea of Galilee, he saw two brethren, Simon who is called Peter, and Andrew his brother, casting a net into the sea; for they were fishers.
[ASV | EN | NT | Matthew | Chapter 4 | Verse 19] And he saith unto them, Come ye after me, and I will make you fishers of men.
[ASV | EN | NT | Matthew | Chapter 4 | Verse 20] And they straightaway left the nets, and followed him.
[ASV | EN | NT | Matthew | Chapter 4 | Verse 21] And going on from thence he saw two other brethren, James the son of Zebedee, and John his brother, in the boat with Zebedee their father, mending their nets; and he called them.
[ASV | EN | NT | Matthew | Chapter 4 | Verse 22] And they straightaway left the boat and their father, and followed him.
[ASV | EN | NT | Matthew | Chapter 4 | Verse 23] And Jesus went about all Galilee, teaching in their synagogues, and preaching the gospel of the kingdom, and healing all manner of disease and all manner of sickness among the people.
[ASV | EN | NT | Matthew | Chapter 4 | Verse 24] And the report of him went forth into all Syria: and they brought unto him all that were sick, holden with diverse diseases and torments, and possessed with demons, and epileptic, and palsied; and he healed them.
[ASV | EN | NT | Matthew | Chapter 4 | Verse 25] And there followed him great multitudes from Galilee and Decapolis and Jerusalem and Judea and from beyond the Jordan.
