[ASV | EN | NT | Matthew | Chapter 22 | Verse 1] And Jesus answered and spake unto them again in parables, saying,
[ASV | EN | NT | Matthew | Chapter 22 | Verse 2] The kingdom of heaven is likened unto a certain king, who made a marriage feast for his son,
[ASV | EN | NT | Matthew | Chapter 22 | Verse 3] and sent forth his servants to call them that were bidden to the marriage feast: and they would not come.
[ASV | EN | NT | Matthew | Chapter 22 | Verse 4] Again he sent forth other servants, saying, Tell them that are bidden, Behold, I have made ready my dinner; my oxen and my fatlings are killed, and all things are ready: come to the marriage feast.
[ASV | EN | NT | Matthew | Chapter 22 | Verse 5] But they made light of it, and went their ways, one to his own farm, another to his merchandise;
[ASV | EN | NT | Matthew | Chapter 22 | Verse 6] and the rest laid hold on his servants, and treated them shamefully, and killed them.
[ASV | EN | NT | Matthew | Chapter 22 | Verse 7] And when that king heard thereof, he was wroth; and he sent his armies, and destroyed those murderers, and burned their city.
[ASV | EN | NT | Matthew | Chapter 22 | Verse 8] Then saith he to his servants, The wedding is ready, but they that were bidden were not worthy.
[ASV | EN | NT | Matthew | Chapter 22 | Verse 9] Go ye therefore unto the partings of the highways, and as many as ye shall find, bid to the marriage feast.
[ASV | EN | NT | Matthew | Chapter 22 | Verse 10] And those servants went out into the highways, and gathered together all as many as they found, both bad and good: and the wedding was filled with guests.
[ASV | EN | NT | Matthew | Chapter 22 | Verse 11] But when the king came in to behold the guests, he saw there a man who had not on a wedding garment:
[ASV | EN | NT | Matthew | Chapter 22 | Verse 12] and he saith unto him, Friend, how camest thou in hither not having a wedding garment? And he was speechless.
[ASV | EN | NT | Matthew | Chapter 22 | Verse 13] Then said the king to the servants, Bind his feet and hands, take him away, and cast him out into the outer darkness; there shall be weeping and gnashing of teeth.
[ASV | EN | NT | Matthew | Chapter 22 | Verse 14] For many are called, but few chosen.
[ASV | EN | NT | Matthew | Chapter 22 | Verse 15] Then went the Pharisees, and took counsel how they might ensnare him in his talk.
[ASV | EN | NT | Matthew | Chapter 22 | Verse 16] And they send to him their disciples, with the Herodians, saying, Teacher, we know that thou art true, and teachest the way of God in truth, and carest not for anyone: for thou regardest not the person of men.
[ASV | EN | NT | Matthew | Chapter 22 | Verse 17] Tell us therefore, What thinkest thou? Is it lawful to give tribute unto Caesar, or not?
[ASV | EN | NT | Matthew | Chapter 22 | Verse 18] But Jesus perceived their wickedness, and said, Why make ye trial of me, ye hypocrites?
[ASV | EN | NT | Matthew | Chapter 22 | Verse 19] Show me the tribute money. And they brought unto him a denarius.
[ASV | EN | NT | Matthew | Chapter 22 | Verse 20] And he saith unto them, Whose is this image and superscription?
[ASV | EN | NT | Matthew | Chapter 22 | Verse 21] They say unto him, Caesar’s. Then saith he unto them, Render therefore unto Caesar the things that are Caesar’s; and unto God the things that are God’s.
[ASV | EN | NT | Matthew | Chapter 22 | Verse 22] And when they heard it, they marveled, and left him, and went away.
[ASV | EN | NT | Matthew | Chapter 22 | Verse 23] On that day there came to him the Sadducees, they that say that there is no resurrection: and they asked him,
[ASV | EN | NT | Matthew | Chapter 22 | Verse 24] saying, Teacher, Moses said, If a man die, having no children, his brother shall marry his wife, and raise up seed unto his brother.
[ASV | EN | NT | Matthew | Chapter 22 | Verse 25] Now there were with us seven brethren: and the first married and deceased, and having no seed left his wife unto his brother;
[ASV | EN | NT | Matthew | Chapter 22 | Verse 26] in like manner the second also, and the third, unto the seventh.
[ASV | EN | NT | Matthew | Chapter 22 | Verse 27] And after them all, the woman also died.
[ASV | EN | NT | Matthew | Chapter 22 | Verse 28] Therefore in the resurrection whose wife shall she be of the seven? for they all had her.
[ASV | EN | NT | Matthew | Chapter 22 | Verse 29] But Jesus answered and said unto them, Ye do err, not knowing the scriptures, nor the power of God.
