[ASV | EN | NT | Matthew | Chapter 8 | Verse 1] And when he was come down from the mountain, great multitudes followed him.
[ASV | EN | NT | Matthew | Chapter 8 | Verse 2] And behold, there came a leper and worshiped him, saying, Lord, if thou wilt, thou canst make me clean.
[ASV | EN | NT | Matthew | Chapter 8 | Verse 3] And Jesus stretched forth his hand, and touched him, saying, I will; be thou made clean. And straightaway his leprosy was cleansed.
[ASV | EN | NT | Matthew | Chapter 8 | Verse 4] And Jesus saith unto him, See thou tell no man; but go, show thyself to the priest, and offer the gift that Moses commanded, for a testimony unto them.
[ASV | EN | NT | Matthew | Chapter 8 | Verse 5] And when he was entered into Capernaum, there came unto him a centurion, beseeching him,
[ASV | EN | NT | Matthew | Chapter 8 | Verse 6] and saying, Lord, my servant lieth in the house sick of the palsy, grievously tormented.
[ASV | EN | NT | Matthew | Chapter 8 | Verse 7] And Jesus saith unto him, I will come and heal him.
[ASV | EN | NT | Matthew | Chapter 8 | Verse 8] And the centurion answered and said, Lord, I am not worthy that thou shouldest come under my roof; but only say the word, and my servant shall be healed.
[ASV | EN | NT | Matthew | Chapter 8 | Verse 9] For I also am a man under authority, having under myself soldiers: and I say to this one, Go, and he goeth; and to another, Come, and he cometh; and to my servant, Do this, and he doeth it.
[ASV | EN | NT | Matthew | Chapter 8 | Verse 10] And when Jesus heard it, he marveled, and said to them that followed, Verily I say unto you, I have not found so great faith, no, not in Israel.
[ASV | EN | NT | Matthew | Chapter 8 | Verse 11] And I say unto you, that many shall come from the east and the west, and shall sit down with Abraham, and Isaac, and Jacob, in the kingdom of heaven:
[ASV | EN | NT | Matthew | Chapter 8 | Verse 12] but the sons of the kingdom shall be cast forth into the outer darkness: there shall be weeping and gnashing of teeth.
[ASV | EN | NT | Matthew | Chapter 8 | Verse 13] And Jesus said unto the centurion, Go thy way; and as thou hast believed, so be it done unto thee. And his servant was healed in that hour.
[ASV | EN | NT | Matthew | Chapter 8 | Verse 14] And when Jesus was come into Peter’s house, he saw his wife’s mother lying sick of a fever.
[ASV | EN | NT | Matthew | Chapter 8 | Verse 15] And he touched her hand, and the fever left her; and she arose, and ministered unto him.
[ASV | EN | NT | Matthew | Chapter 8 | Verse 16] And when even was come, they brought unto him many possessed with demons: and he cast out the spirits with a word, and healed all that were sick:
[ASV | EN | NT | Matthew | Chapter 8 | Verse 17] that it might be fulfilled which was spoken through Isaiah the prophet, saying, He took our infirmities, and bare our diseases.
[ASV | EN | NT | Matthew | Chapter 8 | Verse 18] Now when Jesus saw great multitudes about him, he gave commandment to depart unto the other side.
[ASV | EN | NT | Matthew | Chapter 8 | Verse 19] And there came a scribe, and said unto him, Teacher, I will follow thee whithersoever thou goest.
[ASV | EN | NT | Matthew | Chapter 8 | Verse 20] And Jesus saith unto him, The foxes have holes, and the birds of the heaven have nests; but the Son of man hath not where to lay his head.
[ASV | EN | NT | Matthew | Chapter 8 | Verse 21] And another of his disciples said unto him, Lord, suffer me first to go and bury my father.
[ASV | EN | NT | Matthew | Chapter 8 | Verse 22] But Jesus said unto him, Follow me; and leave the dead to bury their own dead.
[ASV | EN | NT | Matthew | Chapter 8 | Verse 23] And when he was entered into the boat, his disciples followed him.
[ASV | EN | NT | Matthew | Chapter 8 | Verse 24] And behold, there arose a great tempest in the sea, insomuch that the boat was covered with the waves: but he was asleep.
[ASV | EN | NT | Matthew | Chapter 8 | Verse 25] And the disciples came to him, and awoke him, saying, Save us, Lord; we perish.
[ASV | EN | NT | Matthew | Chapter 8 | Verse 26] And he saith unto them, Why are ye fearful, O ye of little faith? Then he arose, and rebuked the winds and the sea; and there was a great calm.
[ASV | EN | NT | Matthew | Chapter 8 | Verse 27] And the men marveled, saying, What manner of man is this, that even the winds and the sea obey him?
[ASV | EN | NT | Matthew | Chapter 8 | Verse 28] And when he was come to the other side into the country of the Gergesenes, there met him two possessed with demons, coming forth out of the tombs, exceeding fierce, so that no man could pass by that way.
[ASV | EN | NT | Matthew | Chapter 8 | Verse 29] And behold, they cried out, saying, What have we to do with thee, Jesus, thou Son of God? art thou come hither to torment us before the time?
[ASV | EN | NT | Matthew | Chapter 8 | Verse 30] Now there was afar off from them a herd of many swine feeding.
[ASV | EN | NT | Matthew | Chapter 8 | Verse 31] And the demons besought him, saying, If thou cast us out, suffer us to go away into the herd of swine.
[ASV | EN | NT | Matthew | Chapter 8 | Verse 32] And he said unto them, Go. And they came out, and went into the herd of swine: and behold, the whole herd of swine rushed down the steep into the sea, and perished in the waters.
[ASV | EN | NT | Matthew | Chapter 8 | Verse 33] And they that fed them fled, and went away into the city, and told everything, and what was befallen to them that were possessed with demons.
[ASV | EN | NT | Matthew | Chapter 8 | Verse 34] And behold, all the city came out to meet Jesus: and when they saw him, they besought him that he would depart from their borders.
