[DRA | EN | NT | 2 Timothy | Chapter 4 | Verse 1] I charge thee, before God and Jesus Christ, who shall judge the living and the dead, by his coming, and his kingdom:
[DRA | EN | NT | 2 Timothy | Chapter 4 | Verse 2] Preach the word: be instant in season, out of season: reprove, entreat, rebuke in all patience and doctrine.
[DRA | EN | NT | 2 Timothy | Chapter 4 | Verse 3] For there shall be a time, when they will not endure sound doctrine; but, according to their own desires, they will heap to themselves teachers, having itching ears:
[DRA | EN | NT | 2 Timothy | Chapter 4 | Verse 4] And will indeed turn away their hearing from the truth, but will be turned unto fables.
[DRA | EN | NT | 2 Timothy | Chapter 4 | Verse 5] But be thou vigilant, labour in all things, do the work of an evangelist, fulfill thy ministry. Be sober.
[DRA | EN | NT | 2 Timothy | Chapter 4 | Verse 6] For I am even now ready to be sacrificed: and the time of my dissolution is at hand.
[DRA | EN | NT | 2 Timothy | Chapter 4 | Verse 7] I have fought a good fight, I have finished my course, I have kept the faith.
[DRA | EN | NT | 2 Timothy | Chapter 4 | Verse 8] As to the rest, there is laid up for me a crown of justice, which the Lord the just judge will render to me in that day: and not only to me, but to them also that love his coming. Make haste to come to me quickly.
[DRA | EN | NT | 2 Timothy | Chapter 4 | Verse 9] For Demas hath left me, loving this world, and is gone to Thessalonica:
[DRA | EN | NT | 2 Timothy | Chapter 4 | Verse 10] Crescens into Galatia, Titus into Dalmatia.
[DRA | EN | NT | 2 Timothy | Chapter 4 | Verse 11] Only Luke is with me. Take Mark, and bring him with thee: for he is profitable to me for the ministry.
[DRA | EN | NT | 2 Timothy | Chapter 4 | Verse 12] But Tychicus I have sent to Ephesus.
[DRA | EN | NT | 2 Timothy | Chapter 4 | Verse 13] The cloak that I left at Troas, with Carpus, when thou comest, bring with thee, and the books, especially the parchments.
[DRA | EN | NT | 2 Timothy | Chapter 4 | Verse 14] Alexander the coppersmith hath done me much evil: the Lord will reward him according to his works:
[DRA | EN | NT | 2 Timothy | Chapter 4 | Verse 15] Whom do thou also avoid, for he hath greatly withstood our words.
[DRA | EN | NT | 2 Timothy | Chapter 4 | Verse 16] At my first answer no man stood with me, but all forsook me: may it not be laid to their charge.
[DRA | EN | NT | 2 Timothy | Chapter 4 | Verse 17] But the Lord stood by me, and strengthened me, that by me the preaching may be accomplished, and that all the Gentiles may hear: and I was delivered out of the mouth of the lion.
[DRA | EN | NT | 2 Timothy | Chapter 4 | Verse 18] The Lord hath delivered me from every evil work: and will preserve me unto his heavenly kingdom, to whom be glory for ever and ever. Amen.
[DRA | EN | NT | 2 Timothy | Chapter 4 | Verse 19] Salute Prisca and Aquila, and the household of Onesiphorus.
[DRA | EN | NT | 2 Timothy | Chapter 4 | Verse 20] Erastus remained at Corinth. And Trophimus I left sick at Miletus.
[DRA | EN | NT | 2 Timothy | Chapter 4 | Verse 21] Make haste to come before winter Eubulus and Pudens, and Linus and Claudia, and all the brethren, salute thee.
[DRA | EN | NT | 2 Timothy | Chapter 4 | Verse 22] The Lord Jesus Christ be with thy spirit. Grace be with you. Amen.
