[DRA | EN | NT | 2 Timothy | Chapter 1 | Verse 1] Paul, an apostle of Jesus Christ, by the will of God, according to the promise of life, which is in Christ Jesus.
[DRA | EN | NT | 2 Timothy | Chapter 1 | Verse 2] To Timothy my dearly beloved son, grace, mercy, and peace, from God the Father, and from Christ Jesus our Lord.
[DRA | EN | NT | 2 Timothy | Chapter 1 | Verse 3] I give thanks to God, whom I serve from my forefathers with a pure conscience, that without ceasing, I have a remembrance of thee in my prayers, night and day.
[DRA | EN | NT | 2 Timothy | Chapter 1 | Verse 4] Desiring to see thee, being mindful of thy tears, that I may be filled with joy,
[DRA | EN | NT | 2 Timothy | Chapter 1 | Verse 5] Calling to mind that faith which is in thee unfeigned, which also dwelt first in thy grandmother Lois, and in thy mother Eunice, and I am certain that in thee also.
[DRA | EN | NT | 2 Timothy | Chapter 1 | Verse 6] For which cause I admonish thee, that thou stir up the grace of God which is in thee, by the imposition of my hands.
[DRA | EN | NT | 2 Timothy | Chapter 1 | Verse 7] For God hath not given us the spirit of fear: but of power, and of love, and of sobriety.
[DRA | EN | NT | 2 Timothy | Chapter 1 | Verse 8] Be not thou therefore ashamed of the testimony of our Lord, nor of me his prisoner: but labour with the gospel, according to the power of God,
[DRA | EN | NT | 2 Timothy | Chapter 1 | Verse 9] Who hath delivered us and called us by his holy calling, not according to our works, but according to his own purpose and grace, which was given us in Christ Jesus before the times of the world.
[DRA | EN | NT | 2 Timothy | Chapter 1 | Verse 10] But is now made manifest by the illumination of our Saviour Jesus Christ, who hath destroyed death, and hath brought to light life and incorruption by the gospel:
[DRA | EN | NT | 2 Timothy | Chapter 1 | Verse 11] Wherein I am appointed a preacher, and an apostle, and teacher of the Gentiles.
[DRA | EN | NT | 2 Timothy | Chapter 1 | Verse 12] For which cause I also suffer these things: but I am not ashamed. For I know whom I have believed, and I am certain that he is able to keep that which I have committed unto him, against that day.
[DRA | EN | NT | 2 Timothy | Chapter 1 | Verse 13] Hold the form of sound words, which thou hast heard of me in faith, and in the love which is in Christ Jesus.
[DRA | EN | NT | 2 Timothy | Chapter 1 | Verse 14] Keep the good thing committed to thy trust by the Holy Ghost, who dwelleth in us.
[DRA | EN | NT | 2 Timothy | Chapter 1 | Verse 15] Thou knowest this, that all they who are in Asia, are turned away from me: of whom are Phigellus and Hermogenes.
[DRA | EN | NT | 2 Timothy | Chapter 1 | Verse 16] The Lord give mercy to the house of Onesiphorus: because he hath often refreshed me, and hath not been ashamed of my chain:
[DRA | EN | NT | 2 Timothy | Chapter 1 | Verse 17] But when he was come to Rome, he carefully sought me, and found me.
[DRA | EN | NT | 2 Timothy | Chapter 1 | Verse 18] The Lord grant unto him to find mercy of the Lord in that day: and in how many things he ministered unto me at Ephesus, thou very well knowest.
