[IRV | MR | OT | Deuteronomy | Chapter 5 | Verse 1] मोशेने सर्व इस्राएल लोकांस एकत्र बोलवून सांगितले, “इस्राएल लोकहो, आज मी जे विधी आणि नियम सांगतो ते ऐका. तुम्ही ते शिका आणि त्यांचे काटेकोरपणे पालन करा.
[IRV | MR | OT | Deuteronomy | Chapter 5 | Verse 2] होरेब पर्वताजवळ असताना आमचा देव परमेश्वर ह्याने आपल्याबरोबर करार केला होता.
[IRV | MR | OT | Deuteronomy | Chapter 5 | Verse 3] हा पवित्र करार परमेश्वराने आपल्या पूर्वजांशी नाही तर आपल्याशीच आज ह्यात असणाऱ्या आपल्या सर्वांशी केला होता.
[IRV | MR | OT | Deuteronomy | Chapter 5 | Verse 4] त्या पर्वतावर प्रत्यक्ष आपल्यासमोर उभे राहून, अग्नीतून परमेश्वराने आपल्याशी तोंडोतोंड भाषण केले.
[IRV | MR | OT | Deuteronomy | Chapter 5 | Verse 5] पण त्या अग्नीच्या भीतीने तुम्ही तो पर्वत चढला नाही. तेव्हा त्याचे म्हणणे तुमच्यापर्यंत पोचवायला मी तुम्हा दोघांच्यामध्ये उभा राहिलो. तेव्हा परमेश्वर म्हणाला,
[IRV | MR | OT | Deuteronomy | Chapter 5 | Verse 6] मिसर देशामध्ये तुम्ही गुलामीत होता तेथून मी तुम्हास बाहेर काढले, तो मी परमेश्वर, तुमचा देव आहे.
[IRV | MR | OT | Deuteronomy | Chapter 5 | Verse 7] माझ्याखेरीज तुला अन्य देव नसावेत.
[IRV | MR | OT | Deuteronomy | Chapter 5 | Verse 8] तुम्ही आपणासाठी कोरीव मूर्ती करु नका, वर आकाश, खाली पृथ्वी किंवा पाणी यातील कोणाचीही प्रतिमा करु नका.
[IRV | MR | OT | Deuteronomy | Chapter 5 | Verse 9] त्यांच्यापुढे झुकू नका किंवा त्यांची सेवा करु नका. कारण मी तुमचा देव परमेश्वर ईर्ष्यावान आहे. जे माझा द्वेष करतात, त्यांच्या अन्यायाबद्दल मी शासन करतो त्यांच्या मुलांना एवढेच नव्हे तर त्याच्या चार पिढ्यांना शासन करीन.
[IRV | MR | OT | Deuteronomy | Chapter 5 | Verse 10] पण जे माझ्यावर प्रेम करतील आणि माझ्या आज्ञा पाळतील त्यांच्यावर मी दया करीन. त्यांच्या हजारो पिढ्यांवर माझी कृपा राहील.
[IRV | MR | OT | Deuteronomy | Chapter 5 | Verse 11] तुमचा देव परमेश्वर ह्याचे नाव व्यर्थ घेवू नका. जो परमेश्वराचे नाव व्यर्थ घेईल त्याची तो गय करणार नाही.
[IRV | MR | OT | Deuteronomy | Chapter 5 | Verse 12] शब्बाथ दिवस तुमचा देव परमेश्वर ह्याच्या आज्ञेप्रमाणे पवित्र दिवस म्हणून पाळावा.
[IRV | MR | OT | Deuteronomy | Chapter 5 | Verse 13] सहा दिवस तुम्ही श्रम करून आपले सर्व काम करा.
[IRV | MR | OT | Deuteronomy | Chapter 5 | Verse 14] पण सातवा दिवस हा तुमचा देव परमेश्वरा ह्याच्या सन्मानार्थ शब्बाथाचा दिवस आहे. म्हणून त्यादिवशी कोणीही काम करता कामा नये. तुम्ही तुमची मुले, मुली, किंवा दासदासी, परके, एवढेच नव्हे तर तुमचे बैल, गाढव इत्यादी पशू यांनी सुद्धा काम करु नये. तुमच्या गुलामांनाही तुमच्या सारखाच विसावा घेता आला पाहिजे.
