[IRV | MR | OT | Proverbs | Chapter 15 | Verse 1] शांतीच्या उत्तराने राग निघून जातो, पण कठोर शब्दामुळे राग उत्तेजित होतो.
[IRV | MR | OT | Proverbs | Chapter 15 | Verse 2] सुज्ञाची जिव्हा सुज्ञानाची प्रशंसा करते, पण मूर्खाचे मुख मूर्खपणा ओतून टाकते.
[IRV | MR | OT | Proverbs | Chapter 15 | Verse 3] परमेश्वराचे नेत्र सर्वत्र असतात, ते चांगले आणि वाईट पाहत असतात.
[IRV | MR | OT | Proverbs | Chapter 15 | Verse 4] आरोग्यदायी जीभ जीवनाचा वृक्ष आहे, परंतु कपटी जीभ आत्म्याला चिरडणारी आहे.
[IRV | MR | OT | Proverbs | Chapter 15 | Verse 5] मूर्ख आपल्या वडिलांचे शिक्षण तुच्छ लेखतो, पण जो विवेकी आहे तो चुकीतून सुधारतो.
[IRV | MR | OT | Proverbs | Chapter 15 | Verse 6] नीतिमानाच्या घरात मोठे खजिने आहेत, पण दुष्टाची कमाई त्यास त्रास देते.
[IRV | MR | OT | Proverbs | Chapter 15 | Verse 7] ज्ञानाचे ओठ विद्येविषयीचा प्रसार करते, पण मूर्खाचे हृदय असे नाही.
[IRV | MR | OT | Proverbs | Chapter 15 | Verse 8] दुष्टाच्या अर्पणाचा परमेश्वर द्वेष करतो, पण सरळांची प्रार्थना त्याचा आनंद आहे.
[IRV | MR | OT | Proverbs | Chapter 15 | Verse 9] दुष्टांच्या मार्गाचा परमेश्वरास वीट आहे, पण जे नीतीचा पाठलाग करतात त्यांच्यावर तो प्रीती करतो.
[IRV | MR | OT | Proverbs | Chapter 15 | Verse 10] जो कोणी मार्ग सोडतो त्याच्यासाठी कठोर शासन तयार आहे, आणि जो कोणी सुधारणेचा तिरस्कार करतो तो मरेल.
[IRV | MR | OT | Proverbs | Chapter 15 | Verse 11] अधोलोक आणि विनाशस्थान परमेश्वरापुढे उघडे आहे; तर मग मनुष्यजातीच्या वंशाची अंतःकरणे त्याच्या दृष्टीपुढे किती जास्त असली पाहिजेत?
