[IRV | MR | OT | Proverbs | Chapter 4 | Verse 1] मुलांनो, वडिलांचे शिक्षण ऐका, आणि सुज्ञान समजण्यासाठी त्याकडे लक्ष द्या.
[IRV | MR | OT | Proverbs | Chapter 4 | Verse 2] मी तुम्हास चांगला सल्ला देतो; माझी शिकवण कधीही विसरु नका.
[IRV | MR | OT | Proverbs | Chapter 4 | Verse 3] जेव्हा मी माझ्या वडिलाचा मुलगा होतो, माझ्या आईच्या दृष्टीने सुकुमार व एकुलता एक होतो,
[IRV | MR | OT | Proverbs | Chapter 4 | Verse 4] त्यांनी मला शिकवले आणि मला म्हणाले, “तुझे मन माझी वचने घट्ट धरून ठेवो; माझ्या आज्ञा पाळ आणि जिवंत राहा.
[IRV | MR | OT | Proverbs | Chapter 4 | Verse 5] ज्ञान आणि सुज्ञता संपादन कर; माझे शब्द विसरु नकोस आणि माझ्या मुखातले शब्द नाकारू नकोस;
[IRV | MR | OT | Proverbs | Chapter 4 | Verse 6] ज्ञानाचा त्याग करू नकोस ते तुझे राखण करील; त्याच्यावर प्रीती कर आणि ते तुझे रक्षण करील.
[IRV | MR | OT | Proverbs | Chapter 4 | Verse 7] ज्ञान हे सर्वात महत्वाची गोष्ट आहे म्हणून ज्ञान संपादन कर, आणि आपले सर्वस्व खर्चून सुज्ञता मिळव.
[IRV | MR | OT | Proverbs | Chapter 4 | Verse 8] ज्ञान हृदयात जतन करून ठेव आणि ते तुला उंचावेल, जेव्हा तू त्यास आलिंगन देशील तर ते तुझा सन्मान करील.
[IRV | MR | OT | Proverbs | Chapter 4 | Verse 9] ते तुझ्या शिरावर सन्मानाचे वेष्टन देईल; ते तुला सुंदर मुकुट देईल.”
[IRV | MR | OT | Proverbs | Chapter 4 | Verse 10] माझ्या मुला, ऐक आणि माझ्या वचनाकडे लक्ष दे, आणि तुझ्या आयुष्याची वर्षे पुष्कळ होतील.
[IRV | MR | OT | Proverbs | Chapter 4 | Verse 11] मी तुला ज्ञानाचा मार्ग दाखविला आहे; मी तुला सरळ मार्गाने घेऊन जात आहे.
[IRV | MR | OT | Proverbs | Chapter 4 | Verse 12] जेव्हा तू चालशील, तेव्हा तुझ्या मार्गात कोणीही उभा राहणार नाही. आणि जर तू धावशील, तर तू अडखळणार नाहीस.
[IRV | MR | OT | Proverbs | Chapter 4 | Verse 13] शिस्त घट्ट धरून ठेव, ती सोडून देऊ नको; ते सांभाळून ठेव, कारण ते तुझे जीवन आहे.
[IRV | MR | OT | Proverbs | Chapter 4 | Verse 14] दुष्टांचे मार्ग आचरणात आणू नको, आणि जे वाईट करतात त्यांच्या मार्गाने चालू नको.
[IRV | MR | OT | Proverbs | Chapter 4 | Verse 15] ते टाळ, त्याजवळ जाऊ नकोस; त्यापासून मागे फीर आणि दुसऱ्या मार्गाने जा.
[IRV | MR | OT | Proverbs | Chapter 4 | Verse 16] कारण त्यांनी वाईट केल्याशिवाय त्यांना चैन पडत नाही आणि कोणाला अडखळून पाडल्याशिवाय त्यांना झोप लागत नाही.
[IRV | MR | OT | Proverbs | Chapter 4 | Verse 17] कारण ते दुष्टाईने मिळवलेली भाकर खातात आणि हिंसेचे मद्य पितात.
[IRV | MR | OT | Proverbs | Chapter 4 | Verse 18] परंतु योग्य करणाऱ्याचा मार्ग जो उदयाच्या प्रकाशासारखा आहे; मध्यान्हापर्यंत अधिकाधिक प्रकाशणाऱ्यासारखा आहे.
[IRV | MR | OT | Proverbs | Chapter 4 | Verse 19] पण दुष्टाचे मार्ग अंधकारासारखे आहेत, ते कशाशी अडखळले हे त्यांना समजत नाही.
[IRV | MR | OT | Proverbs | Chapter 4 | Verse 20] माझ्या मुला, माझ्या वचनाकडे लक्ष दे. माझे सांगणे ऐक.
[IRV | MR | OT | Proverbs | Chapter 4 | Verse 21] ती तुझ्या डोळ्यापासून जाऊ देऊ नकोस; ती तुझ्या अंतःकरणात ठेव.
[IRV | MR | OT | Proverbs | Chapter 4 | Verse 22] कारण ज्यांना माझी वचने सापडतात त्यांस ती जीवन देतात, आणि त्यांच्या सर्व देहाला आरोग्य देतात.
[IRV | MR | OT | Proverbs | Chapter 4 | Verse 23] तुझे अंतःकरण सुरक्षित ठेव आणि सर्व दक्षतेने त्याचे संरक्षण कर, कारण त्यातूनच जीवनाचा झरा वाहतो.
[IRV | MR | OT | Proverbs | Chapter 4 | Verse 24] वाकडे बोलणे तुझ्यापासून दूर ठेव, आणि दूषित बोलणे सोडून दे.
[IRV | MR | OT | Proverbs | Chapter 4 | Verse 25] तुझे डोळे नीट समोर पाहोत, आणि तुझ्या पापण्या तुझ्यापुढे सरळ राहोत.
[IRV | MR | OT | Proverbs | Chapter 4 | Verse 26] तुझ्या पावलांसाठी सपाट वाट कर; मग तुझे सर्व मार्ग सुरक्षित होतील.
[IRV | MR | OT | Proverbs | Chapter 4 | Verse 27] तू उजवीकडे किंवा डावीकडे दूर वळू नको; तू आपला पाय वाईटापासून राख.
