[IRV | MR | OT | Proverbs | Chapter 25 | Verse 1] ही शलमोनाची आणखी काही नीतिसूत्रे आहेत. यहूदाचा राजा हिज्कीया याच्या मनुष्यांनी याचा नक्कल केली.
[IRV | MR | OT | Proverbs | Chapter 25 | Verse 2] काही गोष्टी गुपित ठेवणे यामध्ये देवाचे गौरव आहे, पण त्या गोष्टी शोधून काढणे यामध्ये राजाचे गौरव आहे.
[IRV | MR | OT | Proverbs | Chapter 25 | Verse 3] जसे उंचीमुळे आकाशाचा आणि खोलीमुळे पृथ्वीचा, तसे राजाचे मन गूढ आहे.
[IRV | MR | OT | Proverbs | Chapter 25 | Verse 4] रुप्यातला गाळ काढून टाक, आणि धातू कामगार रुप्याचा उपयोग त्याच्या कामासाठी करू शकेल.
[IRV | MR | OT | Proverbs | Chapter 25 | Verse 5] त्याचप्रमाणे राजाच्या सानिध्यापासून दुष्टांना दूर कर म्हणजे त्याचे राजासन जे काही चांगले आहे त्यांनी भक्कम होईल.
[IRV | MR | OT | Proverbs | Chapter 25 | Verse 6] राजासमोर स्वत:ची प्रतिष्ठा मिरवू नको. आणि थोर अधिकाऱ्यांच्या जागी उभा राहू नको.
[IRV | MR | OT | Proverbs | Chapter 25 | Verse 7] कारण तुझ्यासमोर येणाऱ्या अधिपतीपुढे तुझा पाणउतारा करण्यापेक्षा, “वर येऊन बस” असे तुला म्हणावे हे अधिक चांगले आहे.
[IRV | MR | OT | Proverbs | Chapter 25 | Verse 8] फिर्याद करायला जाण्याची घाई करू नको. ती तू केलीस तर शेवटी तुझ्या शेजाऱ्याने तुला लज्जित केले तर परिणामी काय करू असे तुला होऊन जाईल.
[IRV | MR | OT | Proverbs | Chapter 25 | Verse 9] तुमचे आणि तुमच्या शेजाऱ्याचे वाद आपसात चर्चा करून मिटव, आणि दुसऱ्याच्या गुप्त गोष्टी उघड करू नको.
[IRV | MR | OT | Proverbs | Chapter 25 | Verse 10] केली तर कदाचित ऐकणारा तुझी अप्रतिष्ठा करील, व हे दूषण तुला लागून राहील.
[IRV | MR | OT | Proverbs | Chapter 25 | Verse 11] जसे रुपेरी तबकात सोन्याचे सफरचंद, तसे निवडक चांगले शब्द बोलणे.
[IRV | MR | OT | Proverbs | Chapter 25 | Verse 12] जसे सोन्याची अंगठी किंवा दागिना शुद्ध सोन्यापासून करतात, तसाच दोष देणारा सुज्ञ ऐकणाऱ्याच्या कानांना आहे.
[IRV | MR | OT | Proverbs | Chapter 25 | Verse 13] कापणीच्या समयी जसे बर्फाचे पेय, तसा विश्वासू दूत त्यास पाठवणाऱ्याला आहे कारण तो आपल्या धन्याचा जीव गार करतो.
[IRV | MR | OT | Proverbs | Chapter 25 | Verse 14] जे लोक भेटी देण्याचे वचन देतात पण देत मात्र कधीच नाहीत, ते पाऊस न आणणारे ढग आणि वारा यांसारखे आहेत.
[IRV | MR | OT | Proverbs | Chapter 25 | Verse 15] धीर धरल्याने राज्य करणाऱ्याचे मन वळते, आणि मऊ जीभ हाड फोडते.
[IRV | MR | OT | Proverbs | Chapter 25 | Verse 16] जर तुला मध सापडला तर तुला पुरे इतकाच खा; जास्त खाल्ला तर तू ओकून टाकशील.
[IRV | MR | OT | Proverbs | Chapter 25 | Verse 17] शेजाऱ्याच्या घरात सारखे जाऊ नका, जर गेलात तर तो कंटाळून तुमचा तिरस्कार करायला लागेल.
[IRV | MR | OT | Proverbs | Chapter 25 | Verse 18] जो कोणी मनुष्य आपल्या शेजाऱ्याविरूद्ध खोटी साक्ष देतो. जसे युद्घात सोटा, तलवार किंवा तीक्ष्ण बाण वापरतात यांसारखा तो आहे.
[IRV | MR | OT | Proverbs | Chapter 25 | Verse 19] संकटकाळी अविश्वासणाऱ्याच्या बोलण्यावर विश्वास ठेवणे, हे तुटलेल्या दाताने खाणे किंवा लचकलेल्या पायाने चालणे ह्यासारखे आहे.
[IRV | MR | OT | Proverbs | Chapter 25 | Verse 20] जो कोणी दु:खी हृदयापुढे गीत गातो, तो थंड हवामानात अंगावरील कपडे काढून टाकण्यासारखा, आणि सोड्यावर टाकलेल्या शिरक्यासारखा आहे.
[IRV | MR | OT | Proverbs | Chapter 25 | Verse 21] तुमचा शत्रू जर भुकेला असला तर त्यास खायला अन्न दे आणि तो जर तान्हेला असला तर त्यास प्यायला पाणी दे;
[IRV | MR | OT | Proverbs | Chapter 25 | Verse 22] असे केल्याने त्याच्या मस्तकावर तू जळत्या निखाऱ्याची रास ठेवशील, आणि परमेश्वर तुम्हास त्याचे प्रतिपळ देईल.
