[IRV | MR | OT | Proverbs | Chapter 10 | Verse 1] ही शलमोनाची नितीसूत्रे आहेत. शहाणा मुलगा आपल्या वडिलांना सुखी करतो, पण मूर्ख मुलगा आपल्या आईला दु:खी करतो.
[IRV | MR | OT | Proverbs | Chapter 10 | Verse 2] दुष्टाईने गोळा केलेली संपत्ती ही कवडी मोलाची असते. पण धार्मिकता मरणापासून दूर ठेवते.
[IRV | MR | OT | Proverbs | Chapter 10 | Verse 3] परमेश्वर चांगल्यांना भुकेले राहू देत नाही, परंतु तो वाईटाची कामना निष्फळ करतो.
[IRV | MR | OT | Proverbs | Chapter 10 | Verse 4] आळशी हात मनुष्याच्या गरीबीस कारण होतात. पण उद्योग्याचा हात संपत्ती मिळवतो.
[IRV | MR | OT | Proverbs | Chapter 10 | Verse 5] उन्हाळ्यात जो मुलगा पीक जमा करतो तो शहाणा आहे, परंतु जो मुलगा हंगामात झोपतो त्यास ते लज्जास्पद आहे.
[IRV | MR | OT | Proverbs | Chapter 10 | Verse 6] नितीमानाच्या मस्तकी आशीर्वाद असतात, पण बलात्कार दुष्टाचे मुख झाकतो.
[IRV | MR | OT | Proverbs | Chapter 10 | Verse 7] नितीमानाची जेव्हा आपण आठवण करतो, तेव्हा ते आपणास आनंदित करते; पण वाईट करणाऱ्याचे नाव नष्ट होते.
[IRV | MR | OT | Proverbs | Chapter 10 | Verse 8] जो समजदार आहे तो आज्ञा मान्य करतो, परंतु बडबड्या मूर्खाची अधोगती होते.
[IRV | MR | OT | Proverbs | Chapter 10 | Verse 9] जो कोणी प्रामाणिकपणे चालतो तो सुरक्षितपणे चालतो, परंतु जो कोणी त्याचे मार्ग वाकडे करतो तो कळून येईल.
[IRV | MR | OT | Proverbs | Chapter 10 | Verse 10] जो कोणी डोळे मिचकावतो तो दुःखास कारण होतो, बडबड्या मूर्खाची अधोगती होते.
[IRV | MR | OT | Proverbs | Chapter 10 | Verse 11] नितीमानाचे मुख जीवनाचा झरा आहे, परंतु बलात्कार दुष्टाचे मुख झाकतो.
[IRV | MR | OT | Proverbs | Chapter 10 | Verse 12] द्वेष भांडण उत्पन्न करतो; परंतु प्रीती सर्व अपराधांवर झाकण घालते.
[IRV | MR | OT | Proverbs | Chapter 10 | Verse 13] विवेकशीलाच्या वाणीत ज्ञान सापडते, परंतु जो अक्कलशून्य असतो त्याच्या पाठीस काठीच योग्य आहे.
[IRV | MR | OT | Proverbs | Chapter 10 | Verse 14] शहाणे माणसे ज्ञान संग्रह करतात, परंतु मूर्खाचे मुख म्हणजे अरिष्ट जवळ आणते.
[IRV | MR | OT | Proverbs | Chapter 10 | Verse 15] श्रीमंताची संपत्ती हे त्याचे बळकट नगर आहे; गरिबांचा नाश त्यांच्या दारिद्र्यात होतो.
[IRV | MR | OT | Proverbs | Chapter 10 | Verse 16] नीतिमानाचे वेतन जीवनाकडे घेऊन जाणारे आहे; दुर्जनाचा फायदा त्यास पापाकडे घेऊन जाणारा आहे.
[IRV | MR | OT | Proverbs | Chapter 10 | Verse 17] जो कोणी शिस्तीचे अनुसरण करतो तो जीवनाच्या मार्गात आहे, पण जो दोषारोपाला नकार देतो तो चुकीच्या मार्गाने जातो.
[IRV | MR | OT | Proverbs | Chapter 10 | Verse 18] जो कोणी द्वेष लपवून ठेवतो तो लबाड ओठांचा आहे, आणि जो कोणी निंदा पसरवतो तो मूर्ख आहे.
[IRV | MR | OT | Proverbs | Chapter 10 | Verse 19] जेव्हा पुष्कळ वाचाळता असते, तेथे पापाला कमतरता नाही, परंतु तो जे काही बोलतो ते काळजीपूर्वक आहे, तो सुज्ञ आहे.
[IRV | MR | OT | Proverbs | Chapter 10 | Verse 20] जो कोणी चांगले करतो त्याची जिव्हा शुध्द रुप्यासारखी आहे; पण तेथे दुष्टाच्या हृदयात कवडी किंमत आहे.
[IRV | MR | OT | Proverbs | Chapter 10 | Verse 21] नीतिमानाचे ओठ पुष्कळांचे पोषण करतात, पण मूर्ख मरतात कारण त्यांच्यात बुद्धीचा अभाव असतो.
[IRV | MR | OT | Proverbs | Chapter 10 | Verse 22] परमेश्वराचे आशीर्वाद चांगली संपत्ती आणते, आणि त्यामध्ये तो अधिक दुःख देत नाही.
[IRV | MR | OT | Proverbs | Chapter 10 | Verse 23] दुष्कर्म करणे मूर्खाला खेळ असे आहे, परंतु सुज्ञ मनुष्यास ज्ञानात आनंद आहे.
[IRV | MR | OT | Proverbs | Chapter 10 | Verse 24] दुष्ट ज्याला भितो ते त्याच्यावर येईल, पण नीतिमानाची इच्छा मान्य होईल.
[IRV | MR | OT | Proverbs | Chapter 10 | Verse 25] दुष्ट वावटळीसारखे आहेत ती येऊन जाते आणि तसा तो नाहीसा होतो, पण जो चांगले करतो तो सर्वकाळ टिकणाऱ्या पायासारखा आहे.
[IRV | MR | OT | Proverbs | Chapter 10 | Verse 26] जशी आंब दातांना आणि जसा धूर डोळ्यांना, तसा आळशी त्यास पाठवणाऱ्यांना आहे.
[IRV | MR | OT | Proverbs | Chapter 10 | Verse 27] परमेश्वराचे भय आयुष्याचे दिवस वाढवते, पण दुष्टाचे वर्ष कमी होतील.
[IRV | MR | OT | Proverbs | Chapter 10 | Verse 28] नीतिमानाची आशा त्यांचा आनंद होईल, पण दुष्टाची वर्षे कमी होतील.
[IRV | MR | OT | Proverbs | Chapter 10 | Verse 29] जो कोणी प्रामाणिक आहे परमेश्वर त्याचे रक्षण करील, दुष्कर्म करणाऱ्यांना तो नाशकारक आहे.
[IRV | MR | OT | Proverbs | Chapter 10 | Verse 30] नीतिमान कधीही उलथून टाकले जाणार नाहीत, परंतु दुष्ट देशात राहणार नाहीत.
[IRV | MR | OT | Proverbs | Chapter 10 | Verse 31] नीतिमानाच्या मुखातून ज्ञानाचे फळ निघते, पण कपटी जीभ कापली जाईल.
[IRV | MR | OT | Proverbs | Chapter 10 | Verse 32] नीतिमानाला जे काही स्वीकारणीय ते त्यांच्या ओठास कळते, पण दुष्टाच्या मुखास, जे कुटिल बोलणे आहे ते समजते.
