[IRV | ML | OT | Song of Solomon | Chapter 5 | Verse 1] എന്റെ സഹോദരീ, എന്റെ കാന്തേ, ഞാൻ എന്റെ തോട്ടത്തിൽ വന്നിരിക്കുന്നു; ഞാൻ എന്റെ മൂറും സുഗന്ധവർഗ്ഗവും പെറുക്കി; ഞാൻ എന്റെ തേൻകട്ട തേനോടുകൂടെ തിന്നും എന്റെ വീഞ്ഞു പാലോടുകൂടെ കുടിച്ചും ഇരിക്കുന്നു; സ്നേഹിതന്മാരേ തിന്നുവിൻ; പ്രിയരേ, കുടിച്ചു മത്തരാകുവിൻ!
[IRV | ML | OT | Song of Solomon | Chapter 5 | Verse 2] ഞാൻ ഉറങ്ങുന്നു എങ്കിലും എന്റെ ഹൃദയം ഉണർന്നിരിക്കുന്നു. വാതില്ക്കൽ മുട്ടുന്ന എന്റെ പ്രിയന്റെ സ്വരം: എന്റെ സഹോദരീ, എന്റെ പ്രിയേ, എന്റെ പ്രാവേ, എന്റെ നിഷ്കളങ്കേ, തുറക്കുക; എന്റെ ശിരസ്സു മഞ്ഞുകൊണ്ടും കുറുനിരകൾ രാത്രിയിൽ പെയ്യുന്ന തുള്ളികൊണ്ടും നനെഞ്ഞിരിക്കുന്നു.
[IRV | ML | OT | Song of Solomon | Chapter 5 | Verse 3] എന്റെ അങ്കി ഞാൻ ഊരിയിരിക്കുന്നു; അതു വീണ്ടും ധരിക്കുന്നതു എങ്ങനെ? ഞാൻ കാലുകളെ കഴുകിയിരിക്കുന്നു; അവയെ മലിനമാക്കുന്നതു എങ്ങനെ?
[IRV | ML | OT | Song of Solomon | Chapter 5 | Verse 4] എന്റെ പ്രിയൻ ദ്വാരത്തിൽ കൂടി കൈ നീട്ടി; എന്റെ ഉള്ളം അവനെച്ചൊല്ലി ഉരുകിപ്പോയി.
[IRV | ML | OT | Song of Solomon | Chapter 5 | Verse 5] എന്റെ പ്രിയന്നു തുറക്കേണ്ടതിന്നു ഞാൻ എഴുന്നേറ്റു; എന്റെ കൈ മൂറും, എന്റെ വിരൽ മൂറിൻ തൈലവും തഴുതുപിടികളിന്മേൽ പൊഴിച്ചു.
[IRV | ML | OT | Song of Solomon | Chapter 5 | Verse 6] ഞാൻ എന്റെ പ്രിയന്നു വേണ്ടി തുറന്നു എന്റെ പ്രിയനോ പൊയ്ക്കളഞ്ഞിരുന്നു; അവൻ സംസാരിച്ചപ്പോൾ ഞാൻ വിവശയായിരുന്നു; ഞാൻ അന്വേഷിച്ചു അവനെ കണ്ടില്ല; ഞാൻ അവനെ വിളിച്ചു; അവൻ ഉത്തരം പറഞ്ഞില്ല.
[IRV | ML | OT | Song of Solomon | Chapter 5 | Verse 7] നഗരത്തിൽ ചുറ്റി സഞ്ചരിക്കുന്ന കാവല്ക്കാർ എന്നെ കണ്ടു; അവർ എന്നെ അടിച്ചു, മുറിവേല്പിച്ചു; മതിൽകാവല്ക്കാർ എന്റെ മൂടുപടം എടുത്തുകളഞ്ഞു.
[IRV | ML | OT | Song of Solomon | Chapter 5 | Verse 8] യെരൂശലേംപുത്രിമാരേ, നിങ്ങൾ എന്റെ പ്രിയനെ കണ്ടെങ്കിൽ ഞാൻ പ്രേമപരവശയായിരിക്കുന്നു എന്നു അവനോടു അറിയിക്കേണം എന്നു ഞാൻ നിങ്ങളോടു ആണയിടുന്നു.
[IRV | ML | OT | Song of Solomon | Chapter 5 | Verse 9] സ്ത്രീകളിൽ അതി സുന്ദരിയായുള്ളോവേ, നിന്റെ പ്രിയന്നു മറ്റു പ്രിയന്മാരെക്കാൾ എന്തു വിശേഷതയുള്ളു? നീ ഇങ്ങനെ ഞങ്ങളോടു ആണയിടേണ്ടതിന്നു നിന്റെ പ്രിയന്നു മറ്റു പ്രിയന്മാരെക്കാൾ എന്തു വിശേഷതയുള്ളു.
[IRV | ML | OT | Song of Solomon | Chapter 5 | Verse 10] എന്റെ പ്രിയൻ വെണ്മയും ചുവപ്പും ഉള്ളവൻ, പതിനായിരംപേരിൽ അതിശ്രേഷ്ഠൻ തന്നേ.
[IRV | ML | OT | Song of Solomon | Chapter 5 | Verse 11] അവന്റെ ശിരസ്സു അതിവിശേഷമായ തങ്കം; അവന്റെ കുറുനിരകൾ ചുരുണ്ടും കാക്കയെപ്പോലെ കറുത്തും ഇരിക്കുന്നു.
[IRV | ML | OT | Song of Solomon | Chapter 5 | Verse 12] അവന്റെ കണ്ണു നീർത്തോടുകളുടെ അരികത്തുള്ള പ്രാവുകൾക്കു തുല്യം; അതു പാലുകൊണ്ടു കഴുകിയതും ചേർച്ചയായി പതിച്ചതും ആകുന്നു.
[IRV | ML | OT | Song of Solomon | Chapter 5 | Verse 13] അവന്റെ കവിൾ സുഗന്ധസസ്യങ്ങളുടെ തടവും നറുന്തൈകളുടെ വാരവും, അവന്റെ അധരം താമരപ്പൂവുംപോലെ ഇരിക്കുന്നു; അതു മൂറിൻ തൈലം പൊഴിച്ചുകൊണ്ടിരിക്കുന്നു;
[IRV | ML | OT | Song of Solomon | Chapter 5 | Verse 14] അവന്റെ കൈകൾ ഗോമേദകം പതിച്ചിരിക്കുന്ന സ്വർണ്ണനാളങ്ങൾ; അവന്റെ ഉദരം നീലരത്നം പതിച്ച ദന്ത നിർമ്മിതം.
[IRV | ML | OT | Song of Solomon | Chapter 5 | Verse 15] അവന്റെ തുട തങ്കച്ചുവട്ടിൽ നിർത്തിയ വെൺകൽത്തൂൺ; അവന്റെ രൂപം ലെബാനോനെപ്പോലെ, ദേവദാരുപോലെ തന്നേ ഉൽകൃഷ്ടമാകുന്നു.
[IRV | ML | OT | Song of Solomon | Chapter 5 | Verse 16] അവന്റെ വായ് ഏറ്റവും മധുരമുള്ളതു; അവൻ സർവ്വാംഗസുന്ദരൻ തന്നേ; യെരൂശലേംപുത്രിമാരേ, ഇവനത്രേ എന്റെ പ്രിയൻ; ഇവനത്രേ എന്റെ സ്നേഹിതൻ.
