[IRV | UR | OT | 2 Samuel | Chapter 22 | Verse 1] जब ख़ुदावन्द ने दाऊद को उसके सब दुश्मनों और साऊल के हाथ से रिहाई दी तो उसने ख़ुदावन्द के सामने इस मज़मून का हम्द सुनाया।
[IRV | UR | OT | 2 Samuel | Chapter 22 | Verse 2] वह कहने लगा, ख़ुदावन्द मेरी चट्टान और मेरा किला' और मेरा छुड़ाने वाला है।
[IRV | UR | OT | 2 Samuel | Chapter 22 | Verse 3] ख़ुदा मेरी चट्टान है, मैं उसी पर भरोसा रख्खूँगा, वही मेरी ढाल और मेरी नजात का सींग है, मेरा ऊँचा बुर्ज और मेरी पनाह है, मेरे नजात देने वाले! तूही मुझे ज़ुल्म से बचाता है।
[IRV | UR | OT | 2 Samuel | Chapter 22 | Verse 4] मैं ख़ुदावन्द को जो ता'रीफ़ के लायक़ है पुकारूँगा, यूँ मैं अपने दुश्मनों से बचाया जाऊँगा।
[IRV | UR | OT | 2 Samuel | Chapter 22 | Verse 5] क्यूँकि मौत की मौजों ने मुझे घेरा, बेदीनी के सैलाबों ने मुझे डराया।
[IRV | UR | OT | 2 Samuel | Chapter 22 | Verse 6] पाताल की रस्सियाँ मेरे चारो तरफ़ थीं मौत के फंदे मुझ पर आते थे।
[IRV | UR | OT | 2 Samuel | Chapter 22 | Verse 7] अपनी मुसीबत में मैंने ख़ुदावन्द को पुकारा, मैं अपने ख़ुदा के सामने चिल्लाया। उसने अपनी हैकल में से मेरी आवाज़ सुनी और मेरी फ़रयाद उसके कान में पहुँची।
[IRV | UR | OT | 2 Samuel | Chapter 22 | Verse 8] तब ज़मीन हिल गई और काँप उठी और आसमान की बुनियादों ने जुम्बिश खाई और हिल गयीं, इसलिए कि वह ग़ुस्सा हुआ।
[IRV | UR | OT | 2 Samuel | Chapter 22 | Verse 9] उसके नथुनों से धुवाँ उठा और उसके मुँह से आग निकल कर भस्म करने लगी, कोयले उससे दहक उठे।
[IRV | UR | OT | 2 Samuel | Chapter 22 | Verse 10] उसने आसमानों को भी झुका दिया और नीचे उतर आया और उसके पाँव तले गहरा अँधेरा था।
[IRV | UR | OT | 2 Samuel | Chapter 22 | Verse 11] वह करूबी पर सवार होकर उदा और हवा के बाज़ुओं पर दिखाई दिया।
