[IRV | UR | OT | 2 Samuel | Chapter 4 | Verse 1] जब साऊल के बेटे इश्बोसत ने सुना कि अबनेर हब्रून में मर गया तो उसके हाथ ढीले पड़ गए, और सब इस्राईली घबरा गए।
[IRV | UR | OT | 2 Samuel | Chapter 4 | Verse 2] और साऊल के बेटे इश्बोसत के दो आदमी थे जो फ़ौजों के सरदार थे, एक का नाम बा'ना और दूसरे का रेकाब था, यह दोनों बिनयमीन की नसल के बैरूती रिम्मोंन के बेटे थे, क्यूँकि बैरूत भी बनी बिनयमीन का गिना जाता है।
[IRV | UR | OT | 2 Samuel | Chapter 4 | Verse 3] और बैरूती जित्तीम को भाग गए थे चुनाँचे आज के दिन तक वह वहीं रहते हैं।
[IRV | UR | OT | 2 Samuel | Chapter 4 | Verse 4] और साऊल के बेटे यूनतन का एक लंगड़ा बेटा था, जब साऊल और यूनतन की ख़बर यज़र'एल से पहुँची तो एह पाँच बरस का था, तब उसकी दाया उसको उठा कर भागी और और उसने जो भागने में जल्दी की तो ऐसा हुआ कि वह गिर पड़ा और वह लंगड़ा हो गया उसका नाम मिफ़ीबोसत था।
[IRV | UR | OT | 2 Samuel | Chapter 4 | Verse 5] और बैरूती रिम्मोन के बेटे रेकाब और बा'ना चले और कड़ी धूप के वक़्त इश्बोसत के घर आए जब दोपहर को आराम कर रहा था।
[IRV | UR | OT | 2 Samuel | Chapter 4 | Verse 6] तब वह वहाँ घर के अन्दर गेंहूँ लेने के बहाने से घुसे और उसके पेट में मारा और रेकाब और उसका भाई बा'ना भाग निकले।
[IRV | UR | OT | 2 Samuel | Chapter 4 | Verse 7] जब वह घर में घुसे तो वह अपनी आरामगाह में अपने बिस्तर पर सोता था, तब उन्होंने उसे मारा और क़त्ल किया और उसका सिर काट दिया और उसका सिर लेकर तमाम रात मैदान की राह चले।
[IRV | UR | OT | 2 Samuel | Chapter 4 | Verse 8] और इश्बोसत का सिर हब्रून में दाऊद के पास ले आए और बादशाह से कहा, “तेरा दुश्मन साऊल जो तेरी जान का तालिब था यह उसके बेटे इश्बोसत का सिर है, इसलिए ख़ुदावन्द ने आज के दिन मेरे मालिक बादशाह का बदला साऊल और उसकी नसल से लिया।”
[IRV | UR | OT | 2 Samuel | Chapter 4 | Verse 9] तब दाऊद ने रेकाब और उसके भाई बा'ना को बैरूती रिममोन के बेटे थे जवाब दिया कि “ख़ुदावन्द की हयात की क़सम जिसने मेरी जान को हर मुसीबत से रिहाई दी है।
[IRV | UR | OT | 2 Samuel | Chapter 4 | Verse 10] जब एक शख्स़ ने मुझसे कहा कि देख साऊल मर गया और समझा कि ख़ुशख़बरी देता है तो मैंने उसे पकड़ा और सिक़लाज में उसे क़त्ल किया यही सज़ा मैंने उसे उसकी ख़बर के बदले दिया।
[IRV | UR | OT | 2 Samuel | Chapter 4 | Verse 11] तब जब बदकारों ने एक सच्चे इंसान को उसी के घर में उसके बिस्तर पर क़त्ल किया है, तो क्या मैं अब उसके ख़ून का बदला तुमसे ज़रूर न लूँ और तुमको ज़मीन पर से मिटा न डालूँ?”
[IRV | UR | OT | 2 Samuel | Chapter 4 | Verse 12] तब दाऊद ने अपने जवानों को हुक्म दिया, और उन्होंने उनको क़त्ल किया और उनके हाथ और पाँव काट डाले, और उनको हब्रून में तालाब के पास टाँग दिया और इश्बोसत के सिर को लेकर उन्होंने हब्रून में अबनेर की क़ब्र में दफ़न किया।
