[YLT | EN | OT | Ecclesiastes | Chapter 6 | Verse 1] There is an evil that I have seen under the sun, and it [is] great on man:
[YLT | EN | OT | Ecclesiastes | Chapter 6 | Verse 2] A man to whom God giveth wealth, and riches, and honour, and there is no lack to his soul of all that he desireth, and God giveth him not power to eat of it, but a stranger eateth it; this [is] vanity, and it [is] an evil disease.
[YLT | EN | OT | Ecclesiastes | Chapter 6 | Verse 3] If a man doth beget a hundred, and live many years, and is great, because they are the days of his years, and his soul is not satisfied from the goodness, and also he hath not had a grave, I have said, 'Better than he [is] the untimely birth.'
[YLT | EN | OT | Ecclesiastes | Chapter 6 | Verse 4] For in vanity he came in, and in darkness he goeth, and in darkness his name is covered,
[YLT | EN | OT | Ecclesiastes | Chapter 6 | Verse 5] Even the sun he hath not seen nor known, more rest hath this than that.
[YLT | EN | OT | Ecclesiastes | Chapter 6 | Verse 6] And though he had lived a thousand years twice over, yet good he hath not seen; to the same place doth not every one go?
[YLT | EN | OT | Ecclesiastes | Chapter 6 | Verse 7] All the labour of man [is] for his mouth, and yet the soul is not filled.
[YLT | EN | OT | Ecclesiastes | Chapter 6 | Verse 8] For what advantage [is] to the wise above the fool? What to the poor who knoweth to walk before the living?
[YLT | EN | OT | Ecclesiastes | Chapter 6 | Verse 9] Better [is] the sight of the eyes than the going of the soul. This also [is] vanity and vexation of spirit.
[YLT | EN | OT | Ecclesiastes | Chapter 6 | Verse 10] What [is] that which hath been? already is its name called, and it is known that it [is] man, and he is not able to contend with him who is stronger than he.
[YLT | EN | OT | Ecclesiastes | Chapter 6 | Verse 11] For there are many things multiplying vanity; what advantage [is] to man?
[YLT | EN | OT | Ecclesiastes | Chapter 6 | Verse 12] For who knoweth what [is] good for a man in life, the number of the days of the life of his vanity, and he maketh them as a shadow? for who declareth to man what is after him under the sun?
