[KJV | EN | OT | Hosea | Chapter 13 | Verse 1] When Ephraim spake trembling, he exalted himself in Israel; But when he offended in Baal, he died.
[KJV | EN | OT | Hosea | Chapter 13 | Verse 2] And now they sin more and more, And have made them molten images of their silver, And idols according to their own understanding, All of it the work of the craftsmen: They say of them, Let the men that sacrifice kiss the calves.
[KJV | EN | OT | Hosea | Chapter 13 | Verse 3] Therefore they shall be as the morning cloud, And as the early dew that passeth away, As the chaff that is driven with a whirlwind out of the floor, And as the smoke out of the chimney.
[KJV | EN | OT | Hosea | Chapter 13 | Verse 4] Yet I am the Lord thy God from the land of Egypt, And thou shalt know no god but me: For there is no saviour beside me.
[KJV | EN | OT | Hosea | Chapter 13 | Verse 5] I did know thee in the wilderness, In the land of great drought.
[KJV | EN | OT | Hosea | Chapter 13 | Verse 6] According to their pasture, so were they filled; They were filled, and their heart was exalted; Therefore have they forgotten me.
[KJV | EN | OT | Hosea | Chapter 13 | Verse 7] Therefore I will be unto them as a lion: As a leopard by the way will I observe them:
[KJV | EN | OT | Hosea | Chapter 13 | Verse 8] I will meet them as a bear that is bereaved of her whelps, And will rent the caul of their heart, And there will I devour them like a lion: The wild beast shall tear them.
[KJV | EN | OT | Hosea | Chapter 13 | Verse 9] O Israel, thou hast destroyed thyself; but in me is thine help.
[KJV | EN | OT | Hosea | Chapter 13 | Verse 10] I will be thy king: where is any other that may save thee in all thy cities? And thy judges of whom thou saidst, Give me a king and princes?
[KJV | EN | OT | Hosea | Chapter 13 | Verse 11] I gave thee a king in mine anger, And took him away in my wrath.
[KJV | EN | OT | Hosea | Chapter 13 | Verse 12] The iniquity of Ephraim is bound up; his sin is hid.
[KJV | EN | OT | Hosea | Chapter 13 | Verse 13] The sorrows of a travailing woman shall come upon him: He is an unwise son; For he should not stay long in the place of the breaking forth of children.
[KJV | EN | OT | Hosea | Chapter 13 | Verse 14] I will ransom them from the power of the grave; I will redeem them from death: O death, I will be thy plagues; O grave, I will be thy destruction: Repentance shall be hid from mine eyes.
[KJV | EN | OT | Hosea | Chapter 13 | Verse 15] Though he be fruitful among his brethren, An east wind shall come, the wind of the Lord shall come up from the wilderness, And his spring shall become dry, and his fountain shall be dried up: He shall spoil the treasure of all pleasant vessels.
