[KJV | EN | OT | Hosea | Chapter 4 | Verse 1] Hear the word of the Lord, ye children of Israel: For the Lord hath a controversy with the inhabitants of the land, Because there is no truth, nor mercy, nor knowledge of God in the land.
[KJV | EN | OT | Hosea | Chapter 4 | Verse 2] By swearing, and lying, and killing, and stealing, and committing adultery, they break out, And blood toucheth blood.
[KJV | EN | OT | Hosea | Chapter 4 | Verse 3] Therefore shall the land mourn, And every one that dwelleth therein shall languish, With the beasts of the field, and with the fowls of heaven; Yea, the fishes of the sea also shall be taken away.
[KJV | EN | OT | Hosea | Chapter 4 | Verse 4] Yet let no man strive, nor reprove another: For thy people are as they that strive with the priest.
[KJV | EN | OT | Hosea | Chapter 4 | Verse 5] Therefore shalt thou fall in the day, And the prophet also shall fall with thee in the night, And I will destroy thy mother.
[KJV | EN | OT | Hosea | Chapter 4 | Verse 6] My people are destroyed for lack of knowledge, Because thou hast rejected knowledge, I will also reject thee, that thou shalt be no priest to me: Seeing thou hast forgotten the law of thy God, I will also forget thy children.
[KJV | EN | OT | Hosea | Chapter 4 | Verse 7] As they were increased, so they sinned against me: Therefore will I change their glory into shame.
[KJV | EN | OT | Hosea | Chapter 4 | Verse 8] They eat up the sin of my people, And they set their heart on their iniquity.
[KJV | EN | OT | Hosea | Chapter 4 | Verse 9] And there shall be, like people, like priest: And I will punish them for their ways, And reward them their doings.
[KJV | EN | OT | Hosea | Chapter 4 | Verse 10] For they shall eat, and not have enough: They shall commit whoredom, and shall not increase: Because they have left off to take heed to the Lord.
[KJV | EN | OT | Hosea | Chapter 4 | Verse 11] Whoredom and wine and new wine take away the heart.
[KJV | EN | OT | Hosea | Chapter 4 | Verse 12] My people ask counsel at their stocks, And their staff declareth unto them: For the spirit of whoredoms hath caused them to err, And they have gone a whoring from under their God.
[KJV | EN | OT | Hosea | Chapter 4 | Verse 13] They sacrifice upon the tops of the mountains, And burn incense upon the hills, Under oaks and poplars and elms, Because the shadow thereof is good: Therefore your daughters shall commit whoredom, And your spouses shall commit adultery.
[KJV | EN | OT | Hosea | Chapter 4 | Verse 14] I will not punish your daughters when they commit whoredom, Nor your spouses when they commit adultery: For themselves are separated with whores, And they sacrifice with harlots: Therefore the people that doth not understand shall fall.
[KJV | EN | OT | Hosea | Chapter 4 | Verse 15] Though thou, Israel, play the harlot, Yet let not Judah offend; And come not ye unto Gilgal, Neither go ye up to Beth-aven, Nor swear, The Lord liveth.
[KJV | EN | OT | Hosea | Chapter 4 | Verse 16] For Israel slideth back as a backsliding heifer: Now the Lord will feed them as a lamb in a large place.
[KJV | EN | OT | Hosea | Chapter 4 | Verse 17] Ephraim is joined to idols: Let him alone.
[KJV | EN | OT | Hosea | Chapter 4 | Verse 18] Their drink is sour; they have committed whoredom continually: Her rulers with shame do love, Give ye.
[KJV | EN | OT | Hosea | Chapter 4 | Verse 19] The wind hath bound her up in her wings, And they shall be ashamed because of their sacrifices.
